#{"t_start": 1624360407.5511897, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,518,5.908434
2.0,808,6.411309
2.0,814,6.881001
0.0,539,7.21032
0.0,517,7.565373
3.0,1022,8.159943
0.0,540,8.504672
2.0,902,9.099546
0.0,543,9.40776
1.0,632,9.852685
2.0,833,10.32237
0.0,493,10.643305
0.0,532,10.948577
0.0,513,11.333189
3.0,1093,12.014463
1.0,697,12.452485
1.0,709,12.878951
0.0,517,13.283142
1.0,715,13.692029
0.0,534,14.014742
1.0,637,14.385801
1.0,622,14.802329
0.0,514,15.097579
2.0,814,15.631023
2.0,826,16.171729
0.0,529,16.473819
0.0,539,16.778961
3.0,1010,17.416657
1.0,681,17.832639
3.0,947,18.453104
0.0,535,18.760055
3.0,936,19.376966
3.0,1041,20.035395
0.0,533,20.33741
5.0,1402,21.241113
4.0,1139,21.9768
0.0,512,22.271482
0.0,520,22.664361
0.0,525,22.967638
2.0,815,23.50694
1.0,621,23.861996
4.0,1204,24.585797
4.0,1212,25.286239
0.0,535,25.592467
3.0,1020,26.230514
1.0,619,26.636467
2.0,924,27.160144
0.0,517,27.516303
4.0,1200,28.265816
1.0,711,28.71262
0.0,521,29.025545
1.0,693,29.454856
1.0,715,29.889287
2.0,902,30.431196
0.0,540,30.735093
2.0,810,31.217344
3.0,1026,31.867398
1.0,634,32.248166
1.0,720,32.700593
1.0,648,35.468438
1.0,651,35.8348
2.0,892,36.392033
5.0,1354,37.217789
1.0,629,37.638133
0.0,525,37.932014
7.0,1316,38.716102
0.0,522,39.036985
0.0,519,39.33389
2.0,829,39.886445
0.0,519,40.275413
3.0,923,40.838799
1.0,701,41.220099
0.0,525,41.562834
1.0,640,41.935495
2.0,888,42.488203
3.0,1023,43.094484
1.0,637,43.480587
0.0,509,43.848277
3.0,1012,44.448316
3.0,1016,45.044742
0.0,531,45.353024
2.0,844,45.829034
3.0,998,46.389479
2.0,822,46.94411
0.0,527,47.24341
0.0,519,47.593185
0.0,528,47.897099
0.0,533,48.261214
0.0,530,48.563757
4.0,1140,49.267767
3.0,1108,50.017908
3.0,1012,50.605225
10.0,1778,51.780492
0.0,508,52.141423
1.0,708,52.579664
0.0,535,52.967825
2.0,909,53.502911
2.0,807,53.992249
1.0,702,54.472902
3.0,1016,55.128338
0.0,519,55.421234
1.0,700,55.860502
2.0,819,56.402378
1.0,694,56.797963
2.0,816,57.349606
1.0,692,57.835345
0.0,521,58.128189
2.0,739,58.579166
2.0,806,59.041472
0.0,523,59.390406
0.0,508,59.756524
1.0,628,60.150991
0.0,525,60.527225
0.0,500,60.814854
1.0,694,61.283007
0.0,540,61.587393
1.0,615,61.972595
0.0,519,62.282943
0.0,515,62.634117
1.0,708,65.961506
0.0,527,66.331618
0.0,509,66.642591
0.0,509,66.998498
2.0,894,67.512027
1.0,718,67.997524
1.0,710,68.411417
2.0,813,68.891627
0.0,511,69.265383
0.0,516,69.559984
1.0,707,70.014331
2.0,909,70.609815
0.0,525,70.905684
1.0,697,71.371765
0.0,533,71.668879
1.0,643,72.12033
0.0,508,72.412813
1.0,706,72.871699
0.0,513,73.162237
1.0,719,73.674755
0.0,529,74.037423
5.0,1356,74.858463
0.0,525,75.149007
0.0,517,75.45937
2.0,744,75.881246
4.0,1208,76.604914
1.0,637,76.996812
