#{"t_start": 1624278736.1187875, "env_id": "AsteroidsNoFrameskip-v4"}
r,l,t
1180.0,5566,1.849793
530.0,2402,2.479697
480.0,2962,3.446357
830.0,2374,4.233836
710.0,1832,4.921176
2000.0,8088,7.880954
480.0,2052,8.411665
1420.0,10286,11.20562
1460.0,6174,19.841079
1300.0,4988,21.607672
230.0,1184,22.047522
730.0,4190,23.583769
830.0,3668,24.84434
980.0,3978,25.913225
340.0,934,26.153504
1130.0,6242,27.803504
1320.0,7848,29.860414
1280.0,5462,31.35556
1530.0,5526,38.646013
1650.0,6194,40.952855
430.0,2488,41.888878
1300.0,4522,43.559286
110.0,968,43.921851
630.0,3266,44.75792
1280.0,7164,46.681938
1350.0,6830,48.540761
830.0,4390,54.237884
730.0,3028,55.067635
480.0,2410,55.683223
830.0,3056,56.635905
880.0,4506,58.298233
1080.0,3888,59.732284
830.0,3048,60.870312
730.0,3000,61.989491
1350.0,10920,65.468162
1180.0,3094,66.283978
1180.0,6186,75.382502
310.0,1996,75.952233
730.0,4412,77.126851
1280.0,3954,78.18315
630.0,2788,78.89698
680.0,3426,79.829011
530.0,2092,80.422965
730.0,3022,81.186993
1280.0,7472,83.183703
780.0,2442,83.867219
530.0,2046,84.388862
330.0,2546,85.09828
680.0,4182,93.928779
780.0,2460,94.615534
1180.0,3510,95.512252
780.0,3520,96.447634
1510.0,6708,98.245997
780.0,2254,98.874545
730.0,1936,99.37958
380.0,3014,100.214751
1300.0,10878,103.066652
410.0,2136,103.660562
380.0,1650,104.081329
1320.0,5842,111.142355
730.0,3136,111.998622
1350.0,4866,113.271055
430.0,2138,113.816873
680.0,2280,114.460466
1370.0,6212,116.08214
880.0,4174,117.200667
580.0,2838,117.981604
1180.0,4672,119.21543
730.0,2922,120.024218
360.0,2240,129.891601
360.0,2008,130.413112
1080.0,4862,131.693061
1370.0,7180,133.608674
1030.0,5786,135.126426
930.0,3706,136.119116
1300.0,5918,137.765671
1410.0,7326,139.818622
830.0,4362,152.198226
880.0,4378,153.866215
580.0,2286,154.73097
1080.0,4270,155.932938
730.0,3072,156.775674
230.0,1262,157.102739
830.0,3240,157.987329
2000.0,5972,159.637227
210.0,1684,160.068652
880.0,2414,160.741257
780.0,4238,161.877158
630.0,2462,162.512413
360.0,2396,163.178188
1080.0,5286,170.231609
480.0,2388,171.150222
1280.0,6514,173.810538
1350.0,4484,176.018641
260.0,1354,176.699841
530.0,3246,178.32623
480.0,2282,179.476346
1280.0,4176,181.53996
530.0,2208,182.649729
380.0,2444,183.873204
1180.0,5078,186.371889
630.0,2368,187.559905
1370.0,5778,219.484966
280.0,2406,230.673063
680.0,2400,241.782559
930.0,4686,264.456483
410.0,2420,276.335492
