#{"t_start": 1622265463.00999, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.247353
98.046043,206,1.487656
489.975109,1000,2.666283
113.459319,246,2.956573
483.864999,1000,4.133759
408.058234,859,5.147905
502.951513,1000,6.319646
41.678752,83,6.416678
555.221435,1000,7.579582
519.64579,1000,8.761644
510.671148,1000,10.797958
514.711494,1000,12.944512
474.020297,1000,26.693861
390.210847,1000,58.027199
42.213704,164,61.958039
219.391144,637,81.305087
238.316993,500,96.674849
2.732774,20,96.722556
2.836368,20,96.770207
15.501458,98,100.635064
2.35194,20,100.684008
28.270525,81,104.367386
1.305943,24,104.425647
457.091775,1000,135.083034
344.557099,1000,163.851743
221.216885,481,178.990829
409.634969,1000,207.597256
330.151601,1000,238.005408
388.136358,1000,268.42881
413.292401,1000,297.009508
381.309002,1000,337.608124
433.303732,1000,366.206226
515.408699,1000,396.561181
534.769948,1000,426.997606
473.738567,1000,455.862262
575.001163,1000,486.174622
426.179827,1000,516.82603
426.065872,1000,545.560077
532.16261,1000,576.058885
603.009182,1000,604.744976
136.982748,480,619.944909
95.274979,268,638.234207
550.918959,1000,668.695208
577.990506,1000,697.253929
250.38147,369,708.683135
611.396741,1000,739.13348
546.030919,1000,767.713052
502.232669,1000,798.170933
378.705648,1000,828.771288
473.115879,1000,857.350361
471.784295,1000,887.475485
475.314058,1000,917.632111
580.794977,1000,956.383935
479.00327,1000,986.607649
629.789136,1000,1015.210794
610.139581,1000,1045.521851
474.664774,1000,1075.881506
550.566807,1000,1104.475055
465.269277,1000,1134.795244
395.571881,1000,1165.078852
607.378103,1000,1193.763913
580.01486,1000,1223.99473
674.856888,1000,1262.962625
665.22606,1000,1293.373062
402.422173,1000,1323.571839
563.857226,1000,1352.171993
461.926903,1000,1382.448536
641.502801,1000,1413.022261
697.601275,1000,1441.989413
648.325968,1000,1472.461595
720.243857,1000,1501.439333
523.506207,1000,1531.707155
385.594882,1000,1572.530339
518.630214,1000,1601.06136
681.336665,1000,1631.297476
595.664347,1000,1661.68021
532.441316,1000,1690.195028
645.360568,1000,1720.555727
652.588202,1000,1749.415798
362.199592,1000,1780.021923
664.472328,1000,1810.722081
698.010895,1000,1839.754938
561.453599,1000,1881.370801
326.558321,1000,1912.398452
585.940575,1000,1941.751281
638.316228,1000,1973.104509
709.092189,1000,2002.705225
629.220375,1000,2034.229762
737.112958,1000,2065.892068
727.440776,1000,2095.877924
616.596217,1000,2127.929828
561.254834,1000,2160.220375
