#{"t_start": 1622208109.7392395, "env_id": "AntBulletEnv-v0"}
r,l,t
113.513866,213,0.341939
490.439068,1000,1.530258
506.575103,1000,2.753849
486.444341,1000,4.726599
501.92141,1000,6.73855
509.20153,1000,8.752271
516.102281,1000,10.710654
472.896731,1000,12.729908
103.792972,245,13.229527
489.917131,1000,15.24171
488.413054,1000,17.247635
477.540063,1000,31.68917
76.540307,319,41.191494
120.508584,304,53.114826
19.791733,64,55.318765
45.117911,113,57.661808
105.945547,202,66.237799
5.21286,20,66.291231
5.3233,20,66.34323
5.363877,20,66.395503
145.622433,370,79.495347
3.116135,20,81.559912
37.530286,135,86.010561
404.765196,1000,119.566792
397.451615,1000,155.116524
442.840323,1000,190.053021
435.274027,1000,223.034404
352.575068,896,254.189059
357.073053,1000,289.241279
341.395991,1000,322.251338
449.269696,1000,356.230915
248.387529,441,374.5196
119.801679,329,385.440433
391.367874,1000,420.204787
510.678138,1000,452.792109
276.388401,428,468.299249
587.383842,1000,502.92787
200.175858,466,518.259782
28.063477,143,522.764504
306.850492,1000,557.413277
1.798898,56,559.541351
314.83406,1000,592.313802
511.188807,1000,627.183961
63.414799,119,631.388486
570.857263,1000,663.875031
103.579873,287,674.530087
516.726394,1000,722.098002
433.507006,1000,754.976438
377.216896,1000,789.48533
473.666116,1000,821.992342
99.759242,173,828.624369
303.551939,1000,863.543309
488.253581,1000,896.442456
28.215022,106,900.72023
412.25562,1000,935.414097
685.697448,1000,968.634721
422.015694,1000,1003.364548
502.869646,1000,1038.488272
421.232161,1000,1084.31449
512.025289,1000,1120.092436
177.352942,322,1130.923018
763.867121,1000,1163.862502
445.642536,1000,1199.359729
0.561785,20,1199.412501
2.871892,20,1201.561318
564.864392,1000,1234.548347
527.022551,1000,1269.912384
596.348802,1000,1305.187989
379.05787,1000,1337.860694
478.274083,1000,1372.910984
62.690107,80,1375.057369
490.865267,1000,1409.443625
46.084646,62,1411.505742
503.198194,1000,1455.49361
474.41573,1000,1490.959522
242.861184,1000,1526.3489
475.037056,1000,1559.566148
29.284813,113,1563.908118
286.874396,1000,1598.600061
269.844059,1000,1631.348917
396.244534,1000,1662.975209
576.406032,1000,1692.563564
514.022,1000,1724.275191
364.380135,1000,1760.100043
368.797153,1000,1789.912559
352.003098,1000,1821.457969
