#{"t_start": 1623097449.9704287, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.092705
-1143.119155,1000,2.095871
-1247.080482,1000,3.090418
-1342.597029,1000,4.063848
-1223.700469,1000,5.079991
-1454.851774,1000,6.069108
-1216.596965,1000,7.049884
-1070.317227,1000,8.034497
-1152.0094,1000,9.006416
-1133.423199,1000,9.982975
-1085.249614,1000,34.700458
-1296.594403,1000,53.64182
-1048.59436,1000,72.45801
-1222.905486,1000,90.167404
-1209.042776,1000,114.057438
-1244.745892,1000,140.893931
-1143.580561,1000,170.082286
-1063.481394,1000,199.30871
-1111.097843,1000,226.839657
-976.236422,1000,255.9469
-531.072142,1000,295.583443
-1132.620661,1000,322.979068
-1205.791049,1000,351.99754
-718.843986,1000,379.36374
430.647006,1000,408.056344
328.464108,1000,436.17278
167.006173,1000,463.514275
472.923601,1000,493.522395
591.316534,1000,522.626467
-874.74366,1000,549.966498
-903.256479,1000,588.09674
401.074559,1000,615.78367
492.942887,1000,644.918462
-505.547876,1000,674.118486
429.45914,1000,701.490103
211.681403,1000,730.534615
341.237591,1000,759.728795
375.849143,1000,787.276834
488.496533,1000,816.431494
282.025189,1000,844.210321
423.852763,1000,882.614608
-478.697941,1000,911.928207
360.330025,1000,939.399171
381.475954,1000,968.626387
357.979146,1000,997.905948
-163.830169,1000,1025.137362
385.794176,1000,1054.262758
245.145028,1000,1081.900195
442.967044,1000,1111.146743
300.886702,1000,1140.30021
-24.04355,1000,1176.941243
654.760058,1000,1206.115947
635.889614,1000,1235.275381
536.167265,1000,1262.79452
693.059621,1000,1291.852913
531.395255,1000,1318.949445
558.093148,1000,1348.019988
578.29829,1000,1377.141645
561.420425,1000,1404.515886
583.915498,1000,1433.632699
545.865484,1000,1471.727015
638.640831,1000,1499.232612
407.149911,1000,1528.306291
583.815863,1000,1555.688194
511.989717,1000,1584.839437
635.831071,1000,1613.685976
728.771744,1000,1641.116951
562.275278,1000,1670.175279
