#{"t_start": 1624369910.5410485, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.89814
-1143.119155,1000,3.782709
-1247.080482,1000,5.640755
-1342.597029,1000,7.467717
-1223.700469,1000,9.291153
-1454.851774,1000,11.086381
-1216.596965,1000,12.918382
-1070.317227,1000,14.761196
-1152.0094,1000,16.559801
-1133.423199,1000,18.379909
-1174.657184,1000,61.885393
-1048.602602,1000,95.040596
-335.701115,1000,129.166938
-1191.222618,1000,172.927231
-531.887541,1000,229.510107
161.44655,1000,280.918199
-609.314831,1000,335.847049
336.035785,1000,390.724387
502.415829,1000,442.166789
320.70214,1000,497.283054
358.818801,1000,568.854279
-230.193198,1000,619.82676
392.908105,1000,678.925797
456.005923,1000,730.772713
392.751129,1000,783.623241
388.88427,1000,836.158892
508.994091,1000,885.674768
513.976814,1000,938.077418
-584.834125,1000,991.979253
424.119407,1000,1042.469559
540.061978,1000,1114.353792
-131.244176,1000,1166.079269
506.845006,1000,1221.085679
602.682166,1000,1274.538902
604.783998,1000,1328.317001
528.555798,1000,1381.881244
680.354953,1000,1434.014008
515.413511,1000,1482.768575
389.853595,1000,1536.003648
615.13306,1000,1584.480632
558.766503,1000,1657.180719
460.265638,1000,1712.090337
604.993289,1000,1763.49064
487.612943,1000,1818.904365
697.569637,1000,1872.987337
635.11672,1000,1926.664016
424.923015,1000,1979.429259
653.135124,1000,2029.575749
584.064892,1000,2083.166676
719.83108,1000,2136.819531
590.471523,1000,2203.293407
714.033877,1000,2256.309403
860.021989,1000,2308.26
531.340476,1000,2357.198437
450.067176,1000,2411.802346
689.484809,1000,2461.649674
735.083586,1000,2513.632138
709.983429,1000,2565.593674
811.314205,1000,2614.675651
473.103619,1000,2671.730595
827.648755,1000,2743.97256
749.349115,1000,2792.624086
734.433405,1000,2845.181971
695.989377,1000,2894.938096
818.609143,1000,2948.348981
151.210916,1000,3001.570461
794.267437,1000,3050.61171
858.617286,1000,3103.381664
875.559104,1000,3155.435417
892.197746,1000,3207.728477
887.451722,1000,3277.101611
937.74576,1000,3329.998533
926.062677,1000,3385.481835
957.827007,1000,3438.634545
988.965771,1000,3487.515204
986.960686,1000,3543.371776
980.777847,1000,3598.328035
911.367033,1000,3652.723122
1079.512383,1000,3704.471716
1055.158851,1000,3759.88193
1016.074648,1000,3831.682322
1098.078234,1000,3885.992998
1017.104078,1000,3936.938609
1099.114605,1000,3991.650115
1134.911409,1000,4045.870751
1147.295039,1000,4097.267196
1073.672588,1000,4156.5395
1209.718972,1000,4212.69688
1145.646025,1000,4266.333113
718.206774,1000,4321.021024
1150.109953,1000,4389.171347
1134.30013,1000,4443.704474
1083.51313,1000,4498.816098
1163.178912,1000,4551.590206
1152.789237,1000,4605.507113
1137.730375,1000,4656.558605
973.428385,1000,4710.59549
1007.89388,1000,4765.706205
1334.852536,1000,4817.530345
1347.68543,1000,4876.091855
1382.062655,1000,4954.966865
650.164828,1000,5013.414687
1372.710037,1000,5065.64474
1348.836293,1000,5115.304976
1386.837716,1000,5171.764186
1432.583945,1000,5226.324337
1373.685999,1000,5277.588257
1353.133863,1000,5330.382487
1357.28889,1000,5384.304008
1430.063454,1000,5434.695129
1437.388762,1000,5501.442535
977.106241,1000,5552.05544
1364.792918,1000,5608.637785
1450.288819,1000,5662.518371
1406.152789,1000,5714.86761
1404.797964,1000,5768.453692
1468.310679,1000,5821.024106
1418.053025,1000,5879.582415
1327.505772,1000,5938.608324
1485.270973,1000,5990.654555
1452.737833,1000,6062.046508
1414.011069,1000,6115.880761
1226.27202,1000,6167.742404
1309.990356,1000,6223.7557
1477.172598,1000,6279.323914
1468.856292,1000,6329.71679
1474.273866,1000,6383.154638
1492.216003,1000,6437.704255
1517.657836,1000,6491.57377
1520.83193,1000,6546.765702
1494.925821,1000,6615.380265
1593.344698,1000,6669.646412
1534.355826,1000,6724.000218
1455.042106,1000,6774.050499
1473.124333,1000,6826.722757
1337.788766,1000,6885.133399
1490.575745,1000,6940.496979
1307.829727,1000,6994.34014
1447.413799,1000,7046.098993
1518.154169,1000,7099.499691
1543.451671,1000,7170.721114
1586.868388,1000,7221.531801
1530.849498,1000,7276.197657
1367.521075,1000,7330.668384
1486.253989,1000,7390.391415
1581.407518,1000,7447.122308
1510.111724,1000,7504.103994
1500.212076,1000,7559.463099
1584.708985,1000,7613.707873
1596.189076,1000,7665.746248
1587.698963,1000,7736.575621
1564.957255,1000,7788.213166
1573.027501,1000,7844.876515
1549.90799,1000,7898.383892
1508.639935,1000,7948.483052
1579.375275,1000,8001.545677
1577.975277,1000,8055.644324
1593.630804,1000,8107.554754
1619.959566,1000,8162.881281
1445.800223,1000,8215.132718
1621.598791,1000,8287.797402
1560.642287,1000,8342.180202
1636.152618,1000,8392.450508
1600.454701,1000,8446.462621
1683.097501,1000,8506.563718
1653.498737,1000,8563.805181
1649.794266,1000,8624.272868
1614.427023,1000,8682.867429
1659.33763,1000,8743.112873
1675.935456,1000,8798.196395
1652.109772,1000,8867.570534
1672.238873,1000,8923.154217
1690.299411,1000,8978.838628
1737.66743,1000,9031.300814
1676.035751,1000,9086.423251
1660.419836,1000,9138.592151
1590.175244,1000,9200.297742
1701.586316,1000,9263.283659
