#{"t_start": 1624369595.0227299, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.047674
-1143.119155,1000,2.066352
-1247.080482,1000,3.079165
-1342.597029,1000,4.075632
-1223.700469,1000,5.071767
-1454.851774,1000,6.052344
-1216.596965,1000,7.061921
-1070.317227,1000,8.068621
-1152.0094,1000,9.049897
-1133.423199,1000,10.041447
-992.654412,1000,35.98044
-865.514227,1000,55.920451
-999.691199,1000,75.877097
-398.958612,1000,94.549221
-475.393883,1000,114.288575
381.198145,1000,132.861454
-652.595562,1000,152.546591
313.248938,1000,172.069755
557.134477,1000,190.444445
-163.868548,1000,209.962923
609.867719,1000,236.67675
678.279257,1000,255.387151
570.770322,1000,274.552136
589.169833,1000,292.713934
542.850522,1000,312.002143
-40.222088,1000,344.15574
360.651236,1000,375.459057
413.29427,1000,408.598781
423.734225,1000,442.816218
563.844676,1000,482.571128
648.865429,1000,552.286243
475.797787,1000,603.352147
660.932356,1000,658.236394
622.762826,1000,714.510202
397.004217,1000,768.840837
579.607425,1000,824.734122
599.312328,1000,881.135156
673.805075,1000,931.813306
484.914818,1000,984.803885
-157.835434,1000,1036.245119
465.392083,1000,1112.672042
597.634485,1000,1168.71672
664.445018,1000,1221.06469
570.829734,1000,1282.663033
650.999262,1000,1341.209141
619.884033,1000,1395.600816
693.867221,1000,1456.28118
660.81427,1000,1510.212051
625.841275,1000,1565.226027
682.006665,1000,1620.85299
685.010494,1000,1691.39268
671.369145,1000,1749.442918
692.019202,1000,1810.079889
656.507132,1000,1867.384374
681.441981,1000,1921.066035
545.618028,1000,1970.795578
611.69624,1000,2025.685005
615.442153,1000,2078.495422
593.121937,1000,2128.867018
597.362185,1000,2181.109906
683.293977,1000,2255.648499
704.066156,1000,2312.980269
699.26176,1000,2368.246764
685.751612,1000,2420.071242
752.516937,1000,2475.56124
725.884119,1000,2528.87909
656.252912,1000,2578.226088
654.444929,1000,2631.039355
647.039414,1000,2687.145032
533.923046,1000,2737.6952
692.93762,1000,2812.028836
704.799025,1000,2870.054622
732.749462,1000,2931.608991
721.061869,1000,2985.445758
687.23387,1000,3035.484511
699.475088,1000,3089.630971
678.135148,1000,3143.811327
795.685258,1000,3194.730632
778.044941,1000,3250.011195
738.81364,1000,3303.52157
745.88818,1000,3384.924723
726.623508,1000,3447.983289
600.903538,1000,3505.472867
728.584928,1000,3560.852291
713.010786,1000,3617.937398
721.660609,1000,3668.878678
570.14183,1000,3732.771888
630.351222,1000,3785.647027
707.919084,1000,3841.139083
-1016.127943,1000,3899.712705
792.320081,1000,3968.017881
722.453585,1000,4029.939998
764.103356,1000,4084.408357
763.443909,1000,4137.924713
829.896824,1000,4195.031061
785.343817,1000,4249.768326
754.533347,1000,4308.081804
712.60153,1000,4366.400235
755.071206,1000,4420.882445
799.065155,1000,4475.862594
783.024539,1000,4546.593228
806.370019,1000,4606.346717
825.34717,1000,4663.274819
813.177355,1000,4719.56055
733.204715,1000,4775.365535
769.812644,1000,4830.751479
775.102946,1000,4884.290202
698.486261,1000,4939.245415
645.24799,1000,4996.211842
691.407424,1000,5049.060967
655.268203,1000,5121.723856
699.4829,1000,5173.105118
813.61898,1000,5228.536082
794.322439,1000,5284.018069
815.430807,1000,5335.7154
842.556772,1000,5392.353965
780.460789,1000,5448.248143
810.784577,1000,5500.152597
870.167733,1000,5554.847105
706.402144,1000,5606.291479
830.850748,1000,5679.107399
833.886555,1000,5735.227134
807.74241,1000,5788.484839
836.866902,1000,5850.140913
747.640466,1000,5906.04696
754.117734,1000,5958.58064
760.256829,1000,6014.563029
797.697889,1000,6071.707196
720.829183,1000,6135.210278
827.177931,1000,6191.879001
867.043014,1000,6267.070072
766.14745,1000,6324.95984
820.271641,1000,6379.141082
892.556082,1000,6432.664162
871.992056,1000,6490.72773
