#{"t_start": 1624370052.931161, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,2.071102
-1143.119155,1000,4.027742
-1247.080482,1000,6.044304
-1342.597029,1000,7.779217
-1223.700469,1000,9.720255
-1454.851774,1000,11.849081
-1216.596965,1000,13.612656
-1070.317227,1000,15.45796
-1152.0094,1000,17.573971
-1133.423199,1000,19.370941
-1224.038657,1000,91.400748
-1267.255795,1000,156.211419
-1091.378143,1000,215.834126
-939.284037,1000,266.798131
-522.28363,1000,319.23324
-1045.693788,1000,369.57209
-475.700789,1000,424.203877
-293.561153,1000,484.717777
465.847002,1000,537.245646
388.7308,1000,591.028785
87.004227,1000,658.997305
315.47056,1000,707.818922
172.642643,1000,759.279834
273.549772,1000,808.906259
390.30814,1000,860.946002
-35.636625,1000,914.308089
502.188475,1000,964.93545
553.094039,1000,1019.763134
43.370572,1000,1071.020785
390.460825,1000,1120.37505
281.838167,1000,1189.531041
505.268978,1000,1238.566608
609.918859,1000,1290.628954
587.372411,1000,1344.101493
559.293104,1000,1393.550895
471.665199,1000,1452.160454
432.250436,1000,1504.588243
482.613439,1000,1553.431195
600.266604,1000,1604.713555
602.360525,1000,1653.356835
649.991257,1000,1721.611904
497.479864,1000,1773.530263
603.369795,1000,1822.324641
525.166359,1000,1874.245553
575.401187,1000,1927.424622
617.648239,1000,1975.277569
722.526958,1000,2027.168528
583.891096,1000,2081.192663
591.234287,1000,2142.779964
576.797228,1000,2201.528528
582.422362,1000,2266.555223
613.540948,1000,2322.794998
646.601319,1000,2378.290576
544.137941,1000,2428.534323
629.136788,1000,2482.451991
647.538445,1000,2532.486983
703.596341,1000,2585.179228
649.794249,1000,2638.752051
390.445998,1000,2690.346172
552.988233,1000,2743.841461
725.546841,1000,2811.432564
668.167093,1000,2862.160385
610.975881,1000,2913.404357
653.820428,1000,2962.515266
676.566302,1000,3015.605644
663.25749,1000,3066.273002
684.774081,1000,3119.458819
679.450615,1000,3174.332973
626.091642,1000,3227.651564
539.424332,1000,3278.82397
616.838842,1000,3357.526188
670.676269,1000,3410.369601
654.726425,1000,3461.778723
702.154144,1000,3516.598294
675.821893,1000,3566.063676
664.626117,1000,3621.336055
635.776504,1000,3673.122075
644.419415,1000,3722.734309
601.990286,1000,3775.54734
720.759788,1000,3825.544264
655.224444,1000,3896.296024
697.294171,1000,3949.438101
725.265573,1000,3999.349437
616.371594,1000,4053.029127
616.603296,1000,4111.328253
647.693468,1000,4162.970267
256.11382,1000,4218.137136
541.287015,1000,4270.680994
702.900195,1000,4326.731086
719.969279,1000,4382.532498
734.292572,1000,4451.058174
703.088408,1000,4509.803979
667.392763,1000,4565.517883
694.815381,1000,4617.401057
735.784026,1000,4672.959517
768.515457,1000,4727.065603
724.570945,1000,4783.204082
740.280438,1000,4838.040233
720.066606,1000,4893.216225
725.091405,1000,4957.689232
726.947328,1000,5030.774792
753.871167,1000,5084.381824
772.389961,1000,5148.150177
720.858314,1000,5209.519132
695.388882,1000,5265.804386
141.119813,1000,5326.068691
