#{"t_start": 1624559590.3144505, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.132509
-1143.119155,1000,2.155899
-1247.080482,1000,3.141443
-1342.597029,1000,4.113505
-1223.700469,1000,5.097406
-1454.851774,1000,6.076421
-1216.596965,1000,7.074522
-1070.317227,1000,8.079467
-1152.0094,1000,9.056055
-1133.423199,1000,10.03433
-1213.488869,1000,35.588721
-1387.59484,1000,55.755796
-1328.025776,1000,92.972809
-1218.89677,1000,129.735603
-190.588246,1000,163.234504
-1108.496404,1000,194.883231
-1069.234711,1000,228.403913
-35.670634,1000,261.775724
-545.696157,1000,293.152647
116.795432,1000,326.129526
-1267.208978,1000,370.330245
197.528486,1000,401.256388
312.336264,1000,433.963048
186.120968,1000,464.88848
565.219544,1000,497.777874
659.535511,1000,530.706682
658.98142,1000,561.658293
553.57019,1000,594.693347
619.97554,1000,628.208458
487.403322,1000,659.781418
312.182182,1000,703.702066
467.834239,1000,734.579327
693.494182,1000,767.257378
668.744144,1000,800.147
650.579841,1000,831.214125
625.694318,1000,864.314073
650.255838,1000,897.751173
480.215853,1000,929.430337
761.473008,1000,963.353564
565.817872,1000,995.015404
751.990577,1000,1039.217022
237.368249,1000,1072.715869
691.10758,1000,1103.540258
559.70105,1000,1136.483542
828.708242,1000,1169.384949
701.841498,1000,1200.505836
799.33023,1000,1233.566638
853.014845,1000,1264.584237
843.230403,1000,1297.489028
863.814339,1000,1328.024974
920.363777,1000,1366.892316
939.682634,1000,1397.307978
812.086637,1000,1426.767881
903.4842,1000,1455.358308
-147.928276,1000,1485.735551
779.987776,1000,1514.403515
1020.183885,1000,1544.819715
866.357312,1000,1575.344715
1053.216959,1000,1604.136729
1017.025748,1000,1634.681306
976.9581,1000,1675.475298
1044.654172,1000,1704.168106
1145.782629,1000,1733.796591
828.948261,1000,1762.759243
1102.514632,1000,1793.39821
1042.462367,1000,1824.148786
1203.906543,1000,1852.985813
1107.076167,1000,1883.46623
1195.577854,1000,1914.067206
1135.869771,1000,1944.083434
1176.14869,1000,1983.537556
1050.652924,1000,2012.46279
1181.93465,1000,2042.806972
1173.254954,1000,2073.373289
903.610571,1000,2102.956528
932.052677,1000,2133.594708
1309.765126,1000,2164.40814
1308.925639,1000,2193.525075
1336.55035,1000,2224.659855
1342.255839,1000,2254.078117
1351.203491,1000,2294.416674
1273.521167,1000,2326.075009
1279.040524,1000,2356.101342
1334.649611,1000,2388.241412
1345.062675,1000,2420.508664
1363.686716,1000,2450.908268
1282.274494,1000,2483.33752
1427.203263,1000,2513.98427
1399.893962,1000,2546.289757
1414.285912,1000,2578.585671
1377.889057,1000,2617.963258
1402.362796,1000,2650.212525
1453.745538,1000,2682.493517
1414.260855,1000,2712.965088
1454.056679,1000,2745.360492
1393.654344,1000,2775.890011
1384.474771,1000,2808.378703
1398.33079,1000,2840.889175
1543.32049,1000,2871.429857
1446.66505,1000,2903.903789
1510.642404,1000,2945.247545
1480.176862,1000,2975.800177
1495.75041,1000,3008.115587
1322.80377,1000,3038.72219
1467.112885,1000,3071.253648
1537.315628,1000,3103.834979
1583.454591,1000,3134.51008
1598.393065,1000,3167.09819
1464.808281,1000,3199.631459
1522.993827,1000,3230.270582
1538.608981,1000,3272.384811
1336.820697,1000,3305.120695
1449.788069,1000,3339.90818
1522.645047,1000,3374.522217
1596.008822,1000,3407.162499
1631.338875,1000,3441.891789
1566.914684,1000,3476.788998
1543.966128,1000,3509.785836
1636.910988,1000,3544.949395
1601.823787,1000,3577.701578
1638.503593,1000,3623.396476
1628.596274,1000,3658.099204
1515.565441,1000,3690.70133
1511.561249,1000,3723.510148
1595.839907,1000,3757.710322
1675.29542,1000,3790.373024
1537.516803,1000,3825.170704
1687.42439,1000,3857.843322
1623.95945,1000,3892.961771
1608.730361,1000,3928.463362
1754.631275,1000,3972.178073
1707.336538,1000,4006.85564
1547.966388,1000,4041.69313
1578.607832,1000,4074.514268
1697.509828,1000,4109.527916
1743.033169,1000,4142.70478
1767.306371,1000,4177.691693
1802.137508,1000,4212.443105
1753.051927,1000,4245.300674
1794.122636,1000,4280.105652
1753.245918,1000,4326.325643
1782.008053,1000,4359.660342
1776.4688,1000,4394.824047
1753.168511,1000,4427.494371
1771.666338,1000,4462.39216
1814.461365,1000,4497.21599
1780.624714,1000,4530.182064
1765.462676,1000,4565.442172
1727.284043,1000,4600.779234
1713.346944,1000,4633.542412
1821.122141,1000,4679.215471
1838.814951,1000,4711.979483
1798.228931,1000,4746.933641
1781.586948,1000,4782.138237
1833.747168,1000,4814.844436
1752.246567,1000,4849.622763
1850.916394,1000,4884.461144
1764.430487,1000,4917.320217
1874.92263,1000,4952.375425
1778.648055,1000,4985.066528
1829.586653,1000,5030.81253
1817.09688,1000,5065.663444
1876.478184,1000,5098.496875
1864.861046,1000,5133.545625
1869.608145,1000,5168.416307
1840.457623,1000,5201.112589
1762.721928,1000,5235.958512
1859.375257,1000,5268.765078
1911.803997,1000,5303.986356
1872.00573,1000,5339.346082
1850.343495,1000,5382.9116
1850.173346,1000,5417.672174
1864.102915,1000,5452.578537
1823.987859,1000,5485.357993
1933.325969,1000,5520.269158
1832.543299,1000,5553.016268
1872.009137,1000,5587.960497
1931.027048,1000,5622.811481
1938.543593,1000,5655.558306
1933.417493,1000,5690.633694
1942.820314,1000,5736.197639
1928.301869,1000,5769.069945
1903.803524,1000,5803.795684
1941.895198,1000,5836.726802
1941.156312,1000,5872.019199
1916.090622,1000,5906.800973
1932.978066,1000,5939.597662
1993.396123,1000,5974.468009
1941.092315,1000,6009.202444
1960.816518,1000,6042.165022
