#{"t_start": 1623475875.2081525, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.933862
-1143.119155,1000,3.749928
-1247.080482,1000,5.453268
-1342.597029,1000,7.191238
-1223.700469,1000,8.975563
-1454.851774,1000,10.800627
-1216.596965,1000,12.657751
-1070.317227,1000,14.512312
-1152.0094,1000,16.302505
-1133.423199,1000,18.097769
-1228.5766,1000,98.889394
-856.85581,1000,162.015938
-1063.585251,1000,224.199914
-883.305127,1000,282.638501
-372.116068,1000,345.336499
-938.406729,1000,403.586126
-724.898812,1000,466.0957
-494.045924,1000,529.625532
108.735989,1000,586.834864
396.737698,1000,643.71548
509.951309,1000,723.507688
574.65326,1000,780.544414
528.004385,1000,841.435383
-427.757677,1000,899.247693
357.749424,1000,960.146685
598.53942,1000,1021.277406
245.063022,1000,1078.440383
434.153743,1000,1145.426974
352.743862,1000,1206.635888
423.956601,1000,1263.524562
639.521442,1000,1350.841053
682.269587,1000,1411.13488
592.436574,1000,1478.851923
345.684373,1000,1551.87916
657.49618,1000,1612.295156
568.981336,1000,1672.137916
600.704005,1000,1732.435142
627.019716,1000,1791.73632
656.838459,1000,1853.90137
618.924643,1000,1914.173574
637.172353,1000,1996.689166
849.964617,1000,2056.021362
678.833691,1000,2112.462662
858.223866,1000,2172.099059
775.30387,1000,2238.751897
561.32229,1000,2301.035811
721.579056,1000,2362.41666
772.838463,1000,2418.831583
896.199773,1000,2485.100361
886.744277,1000,2547.433799
854.660149,1000,2624.403257
1124.279746,1000,2685.727115
775.627862,1000,2748.040635
995.054894,1000,2806.62843
700.857848,1000,2862.303082
853.524379,1000,2914.0489
984.83724,1000,2969.209512
941.120891,1000,3028.796375
1029.593583,1000,3086.357489
1152.701483,1000,3144.994145
1111.507854,1000,3223.778597
866.597128,1000,3280.04346
1103.938926,1000,3340.382313
948.567007,1000,3396.972579
1163.211352,1000,3457.130138
560.289461,1000,3517.613002
1159.842565,1000,3573.883562
1212.186039,1000,3633.937737
1201.661946,1000,3693.855886
1206.054819,1000,3750.568927
1065.831057,1000,3829.103951
1089.375359,1000,3881.373256
1122.130149,1000,3938.033993
1106.023548,1000,3995.774447
1382.262651,1000,4058.99665
1234.063612,1000,4120.68052
1222.409947,1000,4182.807708
1489.146405,1000,4241.140403
1426.087266,1000,4304.039546
1302.632257,1000,4365.983913
1487.559539,1000,4460.298672
1571.725109,1000,4524.697639
1522.596356,1000,4592.267531
1447.785993,1000,4656.884584
1407.985907,1000,4722.741014
1290.534898,1000,4781.453223
1654.09709,1000,4840.929329
1545.203068,1000,4899.195202
1682.575624,1000,4967.416983
1546.252512,1000,5033.850392
1681.661626,1000,5111.388115
1573.143164,1000,5172.036475
1719.595331,1000,5231.987197
1440.49153,1000,5289.061911
1612.767662,1000,5349.059231
1705.748843,1000,5408.211032
1501.744261,1000,5470.387545
1663.773328,1000,5532.781976
1722.972048,1000,5589.258543
1823.023612,1000,5653.678118
1771.097714,1000,5742.546736
1751.49061,1000,5807.783859
1826.226342,1000,5875.592566
1793.558761,1000,5944.670083
1704.271529,1000,6011.900062
1709.486283,1000,6081.617057
1827.69059,1000,6142.234781
1836.318347,1000,6207.942696
1860.649783,1000,6280.46986
1871.938111,1000,6349.921274
1912.945492,1000,6438.101071
1912.704914,1000,6504.762072
2097.216222,1000,6573.47209
1878.436609,1000,6635.197002
1867.896457,1000,6694.781596
1941.713877,1000,6753.841151
2087.848151,1000,6815.031011
2085.242977,1000,6873.82532
1876.724005,1000,6936.62778
1997.9144,1000,6991.27431
1982.239356,1000,7067.304798
2036.61492,1000,7125.773108
2076.862584,1000,7180.788825
2055.589797,1000,7239.340546
2106.331825,1000,7297.870438
2099.520754,1000,7351.725548
2155.701141,1000,7410.271724
2130.480346,1000,7465.300366
2057.826932,1000,7523.918684
2157.471276,1000,7582.218188
2181.692148,1000,7655.031193
2141.87588,1000,7716.842857
2157.986335,1000,7780.173079
2168.472489,1000,7840.073401
2170.336559,1000,7900.132613
2206.312869,1000,7954.666122
2084.306822,1000,8015.56556
2203.239598,1000,8075.903235
2181.05695,1000,8133.611885
2212.111673,1000,8195.686462
2227.818558,1000,8271.962465
2248.185413,1000,8326.868525
2274.115954,1000,8385.227256
2276.787747,1000,8439.982444
2173.231407,1000,8498.426386
2279.22656,1000,8556.633972
2241.304071,1000,8611.3028
2307.551658,1000,8668.721739
2263.431114,1000,8726.862633
2256.547836,1000,8781.273071
2276.476654,1000,8861.069604
2177.123088,1000,8920.918265
2274.699588,1000,8984.725483
2342.14154,1000,9048.327224
2289.074971,1000,9106.427238
2387.920379,1000,9164.785254
2304.052884,1000,9222.921411
2244.896208,1000,9278.263162
2307.340391,1000,9336.203236
2324.756482,1000,9391.720531
2372.490038,1000,9472.521616
2332.831469,1000,9548.820759
2334.361194,1000,9614.979938
2392.371317,1000,9688.286071
2352.434814,1000,9762.729007
2361.01932,1000,9825.764006
2340.862296,1000,9885.658199
2381.285535,1000,9943.43101
2394.80917,1000,10004.869654
2382.311433,1000,10066.176967
2406.910164,1000,10143.789527
2299.826452,1000,10205.143695
2403.679702,1000,10265.832266
2379.407157,1000,10322.955996
2412.67635,1000,10383.934942
2268.572504,1000,10440.89769
2370.722648,1000,10501.618928
2412.462077,1000,10561.810387
2403.940493,1000,10620.366811
2345.205723,1000,10685.117852
2444.370385,1000,10769.305338
2431.25243,1000,10829.797297
2379.873818,1000,10895.707051
2469.727683,1000,10954.784601
2335.296646,1000,11017.922833
2426.427888,1000,11085.672106
2386.230005,1000,11153.077175
2366.726339,1000,11215.396584
2398.414222,1000,11278.457518
2395.044695,1000,11336.424956
2402.372743,1000,11418.490292
2381.397112,1000,11477.054176
2402.343946,1000,11539.647253
2456.931052,1000,11601.710745
2330.543225,1000,11660.208427
2410.404562,1000,11723.163734
2416.979433,1000,11785.798853
2451.579068,1000,11843.72152
2385.690986,1000,11904.813373
2427.659465,1000,11963.367024
2418.485007,1000,12044.948362
2461.215133,1000,12109.713723
2484.268074,1000,12170.645034
2415.989029,1000,12235.264089
2476.567582,1000,12297.205411
2439.416814,1000,12356.130071
2468.240745,1000,12418.953447
2492.513557,1000,12478.20528
2495.892803,1000,12539.247827
2424.954441,1000,12602.960062
2259.399321,1000,12689.551309
2437.473655,1000,12763.377132
2398.387271,1000,12837.553512
2473.234556,1000,12907.260818
2482.601056,1000,12979.681017
2464.631319,1000,13042.248218
2447.77393,1000,13106.4147
2470.506865,1000,13169.424539
2384.89398,1000,13229.611992
2427.409199,1000,13293.704239
2466.19829,1000,13378.377979
2458.909631,1000,13438.586978
2435.119355,1000,13502.562732
2475.244384,1000,13559.963396
2478.661886,1000,13619.503926
2413.140631,1000,13684.161645
2431.472926,1000,13748.590856
2563.52649,1000,13816.974819
2519.64261,1000,13885.18779
2464.80449,1000,13948.408494
2500.048104,1000,14036.965361
2546.435246,1000,14101.274045
2533.727249,1000,14169.489087
2560.046353,1000,14237.981182
2486.252861,1000,14299.788613
2435.899074,1000,14360.996792
2522.792294,1000,14421.490564
2510.238412,1000,14479.034001
2513.606326,1000,14539.658342
2544.447996,1000,14596.91772
2503.12784,1000,14675.608566
2491.350555,1000,14736.678724
2526.381336,1000,14794.709391
2520.24727,1000,14863.943353
2483.107861,1000,14928.804185
2506.902732,1000,14985.963768
2532.836042,1000,15046.521522
2507.478042,1000,15103.691736
2529.562211,1000,15164.335642
2541.068346,1000,15224.776695
2512.111779,1000,15300.803904
2436.038166,1000,15360.27064
2483.422681,1000,15420.383851
2481.384799,1000,15476.968585
2546.999818,1000,15536.941067
2478.758845,1000,15598.61115
2477.37606,1000,15669.291088
2498.449635,1000,15740.039486
2516.966506,1000,15811.132516
2474.681411,1000,15885.365317
2571.393749,1000,15976.359519
2494.207331,1000,16039.416867
