#{"t_start": 1623609425.7173235, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.899507
-1143.119155,1000,3.69938
-1247.080482,1000,5.486067
-1342.597029,1000,7.236387
-1223.700469,1000,9.002138
-1454.851774,1000,10.753603
-1216.596965,1000,12.538038
-1070.317227,1000,14.406063
-1152.0094,1000,16.149524
-1133.423199,1000,17.909711
-1162.035739,1000,58.653772
-1234.213534,1000,91.702085
-1052.627127,1000,120.119357
-1045.879188,1000,148.123683
-779.746675,1000,177.021736
123.691755,1000,204.809506
-195.79937,1000,233.938037
-212.361136,1000,263.456417
-352.075932,1000,290.915956
-102.731595,1000,320.195499
342.803638,1000,358.53676
380.809718,1000,389.392427
427.754615,1000,420.616648
174.51466,1000,451.340361
310.175566,1000,483.087582
440.064569,1000,515.336402
392.255798,1000,545.54397
545.499623,1000,577.779075
586.809286,1000,609.541312
565.308511,1000,640.142551
671.927687,1000,684.142681
872.999492,1000,714.568824
449.175725,1000,746.537145
679.631065,1000,778.252724
640.805311,1000,809.089123
908.981063,1000,840.606324
826.253967,1000,873.471041
903.429473,1000,903.097566
-326.812549,1000,935.510731
871.078548,1000,965.468384
1113.610546,1000,1008.995185
859.997912,1000,1040.984249
919.800843,1000,1070.546828
934.023326,1000,1103.282822
1112.674437,1000,1135.650636
979.833405,1000,1167.00711
1030.554284,1000,1198.587642
1021.129875,1000,1228.856112
832.669797,1000,1260.127113
1043.643439,1000,1292.584718
1022.780416,1000,1333.195345
1130.111321,1000,1364.46554
-642.630038,1000,1395.345829
1062.872194,1000,1424.855395
1050.438821,1000,1455.905279
1164.27864,1000,1485.361682
1151.423261,1000,1515.668155
1136.957261,1000,1544.58173
1013.054263,1000,1571.933605
1088.843039,1000,1600.993272
1097.574217,1000,1639.898179
591.486491,1000,1667.044763
1204.728296,1000,1695.506335
1144.229936,1000,1722.384506
1125.027353,1000,1751.031291
1084.410628,1000,1780.144281
1119.900596,1000,1807.19127
1132.825651,1000,1836.233833
1177.194621,1000,1864.838601
1283.015619,1000,1892.507679
1310.794118,1000,1931.776851
1066.685055,1000,1959.344743
1088.719547,1000,1988.030102
1352.230396,1000,2016.544392
1268.37045,1000,2043.925728
1323.613792,1000,2073.779468
1177.865374,1000,2102.765708
1340.596235,1000,2130.773597
1281.29954,1000,2159.939282
1330.033983,1000,2188.334504
1286.256768,1000,2228.119272
1340.059076,1000,2258.091855
1355.292805,1000,2286.344872
1282.163183,1000,2316.192411
1283.720267,1000,2345.851298
1377.992035,1000,2374.884771
1387.844791,1000,2404.795794
1375.131919,1000,2433.877363
1308.563497,1000,2463.999937
1322.855225,1000,2494.741363
1372.27649,1000,2533.592706
1362.570949,1000,2564.89389
1363.844841,1000,2595.268635
1371.746809,1000,2622.945224
907.688544,1000,2653.215134
1326.253896,1000,2682.700987
1226.691889,1000,2713.113825
1356.444248,1000,2743.456224
1342.682871,1000,2771.940381
1331.354769,1000,2802.518267
1378.336811,1000,2843.222736
1389.383107,1000,2871.763681
1401.097511,1000,2902.396788
-407.441689,1000,2929.835151
1408.432034,1000,2960.441593
1401.003798,1000,2990.960988
1382.213195,1000,3019.775852
1404.559969,1000,3050.161337
1435.947125,1000,3080.66563
1242.309843,1000,3109.11508
1360.878223,1000,3149.689435
1364.551851,1000,3178.087796
1448.002734,1000,3209.027346
1499.726633,1000,3238.09936
1418.178655,1000,3267.159019
1343.19829,1000,3297.257185
1380.329108,1000,3328.266947
1407.214526,1000,3356.938737
1424.736752,1000,3387.566954
1334.694957,1000,3415.883822
1381.928551,1000,3456.600571
