#{"t_start": 1622392775.5306003, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1181.007201,1000,1.091197
-1331.780166,1000,2.051818
-1315.250235,1000,3.012641
-1189.669487,1000,3.983828
-1111.401745,1000,4.983804
-1390.78232,1000,5.957719
-1331.715029,1000,6.937953
-1331.560737,1000,7.920035
-1410.964577,1000,9.246756
-1279.624824,1000,10.567217
-1229.196434,1000,47.0374
-1118.26617,1000,75.783185
-985.352962,1000,104.382166
-821.889326,1000,131.313651
-1282.468841,1000,159.874288
449.611938,1000,186.644312
265.078273,1000,215.051248
401.340358,1000,243.485053
562.460105,1000,270.217741
466.962823,1000,298.613461
509.391531,1000,335.990971
-713.218315,1000,362.553201
-30.850024,1000,390.923655
-128.991387,1000,417.477662
-644.58452,1000,445.738631
575.644478,1000,474.035603
-286.804498,1000,500.646586
246.262647,1000,528.922588
563.758299,1000,557.272774
356.577717,1000,583.854815
519.07174,1000,620.999571
666.203179,1000,647.677646
655.789254,1000,675.983388
328.04751,1000,704.323534
745.188192,1000,730.994415
-1200.777018,1000,759.323246
694.456324,1000,787.63166
693.414931,1000,814.199846
553.577237,1000,842.533076
69.04182,1000,869.136587
643.272774,1000,906.144894
727.168846,1000,934.290169
674.588271,1000,960.95451
606.681892,1000,989.286564
623.635576,1000,1017.553753
482.309719,1000,1044.276461
685.77944,1000,1072.452388
368.100045,1000,1098.982308
-267.26579,1000,1127.296772
595.206293,1000,1155.572364
640.320184,1000,1190.767623
644.419442,1000,1219.082699
450.954417,1000,1247.298956
687.962574,1000,1273.925022
654.396017,1000,1302.34342
678.073853,1000,1328.954122
675.919048,1000,1357.129876
677.759272,1000,1385.423256
697.948705,1000,1412.024595
754.140461,1000,1440.453914
731.568639,1000,1477.472852
570.926643,1000,1504.166405
662.622602,1000,1532.587848
712.159615,1000,1559.19022
742.932378,1000,1587.511145
667.933135,1000,1615.790841
754.169814,1000,1642.432375
775.677382,1000,1670.81951
671.391289,1000,1699.109239
670.173222,1000,1725.855095
653.856637,1000,1762.845991
720.703329,1000,1789.701516
737.786073,1000,1818.162235
720.713875,1000,1846.715697
716.881258,1000,1873.700295
696.821364,1000,1902.373722
721.268984,1000,1931.165077
708.914458,1000,1958.289172
530.045818,1000,1987.254232
800.08263,1000,2014.595915
770.336973,1000,2052.521534
798.487361,1000,2081.800516
820.356606,1000,2109.417015
866.673063,1000,2138.776075
619.03086,1000,2168.070965
344.839342,1000,2195.740182
811.645189,1000,2225.167002
489.186307,1000,2252.941156
797.051136,1000,2282.314708
684.372384,1000,2311.750712
855.978111,1000,2348.230368
890.161825,1000,2377.725142
888.02169,1000,2407.205977
876.86985,1000,2434.90468
878.009205,1000,2464.383083
911.600278,1000,2493.315008
-965.567894,1000,2522.85632
950.223393,1000,2552.380924
955.822235,1000,2580.126501
944.91818,1000,2609.694658
963.17869,1000,2647.914301
933.227518,1000,2675.438817
965.581106,1000,2705.497718
1017.385372,1000,2735.964296
977.734991,1000,2767.856827
1044.435656,1000,2799.737282
1040.794029,1000,2829.762376
1040.006751,1000,2861.593004
1045.584269,1000,2893.468674
964.315933,1000,2923.517655
1062.418392,1000,2966.44786
931.01721,1000,2996.266734
1132.865353,1000,3027.880854
1070.633071,1000,3059.563931
999.253133,1000,3089.45241
1106.299343,1000,3121.191251
1154.634867,1000,3153.012012
1129.219208,1000,3182.836196
1086.100988,1000,3214.568661
1094.7302,1000,3244.481581
716.841116,1000,3287.312637
773.809184,1000,3318.889135
1241.395612,1000,3348.82944
1192.984846,1000,3380.541326
1205.394312,1000,3412.354415
1173.53015,1000,3442.22231
1215.145111,1000,3473.939455
1248.533728,1000,3503.865659
1314.40478,1000,3535.718059
1226.222589,1000,3567.461134
