#{"t_start": 1623440581.4832404, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.125619
-1143.119155,1000,2.131325
-1247.080482,1000,3.129341
-1342.597029,1000,4.101455
-1223.700469,1000,5.088705
-1454.851774,1000,6.057411
-1216.596965,1000,7.052136
-1070.317227,1000,8.060109
-1152.0094,1000,9.028633
-1133.423199,1000,10.014484
-1124.340689,1000,35.520262
-910.969031,1000,54.90373
-1223.904585,1000,74.271032
-756.649054,1000,92.459207
-978.621091,1000,117.85971
346.156985,1000,147.551571
4.740457,1000,180.205346
-46.462898,1000,212.817086
-78.505855,1000,243.592206
443.721364,1000,276.20768
679.526766,1000,320.344027
-28.923497,1000,350.937073
531.450337,1000,383.312509
-66.585208,1000,413.917573
691.73472,1000,446.185659
659.994079,1000,478.34137
565.280073,1000,509.106045
270.381522,1000,541.833833
372.264526,1000,574.304673
399.048827,1000,602.510823
535.039506,1000,642.867268
546.433545,1000,671.059603
492.232693,1000,701.003664
509.048656,1000,730.925585
663.073365,1000,758.388933
618.186644,1000,788.444841
579.283238,1000,818.383711
755.431919,1000,846.617925
632.166832,1000,876.349791
620.050821,1000,904.311028
609.389288,1000,948.248072
567.651954,1000,979.207562
238.447684,1000,1008.94363
180.365144,1000,1041.288013
716.839772,1000,1073.353078
640.396616,1000,1104.112451
517.937512,1000,1133.86878
632.450364,1000,1161.835787
646.168105,1000,1193.953616
-41.147014,1000,1223.652799
-814.967559,1000,1260.535156
848.710914,1000,1290.048078
907.637075,1000,1319.590683
856.435544,1000,1347.561033
774.631119,1000,1377.017999
891.241784,1000,1404.862667
933.611848,1000,1434.388778
792.013857,1000,1464.008591
815.988613,1000,1491.826343
1007.124339,1000,1521.427181
853.373907,1000,1559.956637
1108.382147,1000,1587.801004
218.006474,1000,1617.729991
741.369105,1000,1645.73009
837.448204,1000,1675.366159
909.649384,1000,1705.135942
915.065971,1000,1733.196597
702.48939,1000,1763.008448
995.075043,1000,1792.862591
734.538777,1000,1820.854556
1017.379429,1000,1859.446276
1050.795859,1000,1887.299655
780.783337,1000,1917.084004
1007.812116,1000,1946.811728
1126.159972,1000,1974.624032
957.512494,1000,2004.398045
1114.793487,1000,2034.252837
1090.244291,1000,2062.568329
897.147919,1000,2092.660355
1015.673818,1000,2121.075099
1172.734794,1000,2160.583005
1128.310858,1000,2190.796856
1358.713548,1000,2219.350724
1227.312444,1000,2249.521817
1071.147881,1000,2279.843393
1244.152442,1000,2308.64049
1167.348651,1000,2339.041475
1199.384266,1000,2367.686231
138.548516,1000,2398.156852
1065.206586,1000,2428.525521
1146.248113,1000,2465.964054
1234.424184,1000,2496.403588
1310.197543,1000,2526.927718
1309.118865,1000,2555.390098
1226.571907,1000,2585.865154
1285.858534,1000,2614.654029
1316.197513,1000,2645.162708
1322.982395,1000,2675.89536
1338.051698,1000,2704.93739
1339.814547,1000,2735.769332
1394.218918,1000,2775.531383
1356.901491,1000,2804.489556
1394.265629,1000,2835.454025
1295.418055,1000,2864.351035
1212.180451,1000,2895.187862
1334.790158,1000,2926.023724
