#{"t_start": 1623329385.2364597, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.793605,10,0.166484
16.234271,12,0.178303
15.031333,10,0.188034
16.416746,13,0.200622
13.100375,11,0.215701
20.644974,19,0.23534
26.049,26,0.262356
20.245841,16,0.278216
17.62662,12,0.292303
14.414713,11,0.303128
11.624615,9,0.312293
13.542917,15,0.327062
17.010866,15,0.34271
14.696951,11,0.353449
20.485367,17,0.370347
16.288748,19,0.38833
12.73981,10,0.399123
16.484992,17,0.415508
21.157111,19,0.43405
11.733625,9,0.442942
18.425616,16,0.459319
14.044758,12,0.470927
12.904386,9,0.479999
21.775359,25,0.504098
18.13742,16,0.520208
16.235862,13,0.532716
20.18995,18,0.549972
20.441447,20,0.568796
21.079425,18,0.586925
15.772246,16,0.601849
16.465868,12,0.614003
19.387604,13,0.626344
14.91054,15,0.641296
11.825213,8,0.649154
22.249568,21,0.669898
12.557604,7,0.676888
14.498716,10,0.68749
15.221385,10,0.697167
17.065262,13,0.70963
18.343303,15,0.723739
16.014664,20,0.743863
21.066996,21,0.763451
17.815033,18,0.779949
14.749017,10,0.789573
13.833188,14,0.804447
15.76156,12,0.81602
14.731871,10,0.825674
15.53272,16,0.84098
18.063916,12,0.853419
17.13351,16,0.869085
15.028935,12,0.880654
15.583932,10,0.890361
14.926979,13,0.903784
14.594475,10,0.913456
21.287167,23,0.936001
25.25964,25,0.959553
17.688154,17,0.976565
19.979537,14,0.990427
20.241776,20,1.009691
22.452088,22,1.030636
15.22992,14,1.045776
15.561602,12,1.057482
15.854488,11,1.068022
14.694662,11,1.078701
16.777534,15,1.094114
21.740329,21,1.114664
16.000698,11,1.125494
15.970883,13,1.138366
15.011743,14,1.152942
16.97483,14,1.166814
15.412356,11,1.178281
19.958573,18,1.19568
14.458225,10,1.206598
12.875089,8,1.214672
21.222915,22,1.235812
17.343321,17,1.252413
22.507345,21,1.273117
19.965765,16,1.288525
17.00297,16,1.304382
14.155685,14,1.317589
20.454124,22,1.339033
22.540547,24,1.362563
16.498976,14,1.375968
13.232048,9,1.384761
18.431843,14,1.39941
13.036908,11,1.41017
12.557699,8,1.418096
16.241325,12,1.430396
13.767015,15,1.445613
13.750421,11,1.456415
21.602117,25,1.480176
16.518397,15,1.495445
20.126714,17,1.512743
18.887915,18,1.529936
12.931641,9,1.538844
16.063675,16,1.554993
11.381064,6,1.562179
20.786456,17,1.578338
17.291431,13,1.590916
11.87418,9,1.599822
15.056865,12,1.612453
17.52418,14,1.626395
19.410656,15,1.64088
19.512118,20,1.659683
18.606698,15,1.675071
15.170242,14,1.689103
15.846393,13,1.701836
16.939121,16,1.71706
18.097002,15,1.73271
18.591697,15,1.747942
15.798155,11,1.75872
19.189215,16,1.774222
15.473145,12,1.786864
14.665091,11,1.797554
17.626096,14,1.811817
15.814244,15,1.826355
13.561321,9,1.836523
18.380977,16,1.852091
18.850709,15,1.866398
18.555808,16,1.882106
19.174275,16,1.898391
13.866678,15,1.912455
15.103259,11,1.922844
16.799843,12,1.935052
12.069285,8,1.943828
14.094693,11,1.95427
15.071269,10,1.964046
17.108994,13,1.976326
15.704162,11,1.987883
17.923011,15,2.002561
16.663106,13,2.015283
18.448936,16,2.030432
15.854704,14,2.04465
13.121975,9,2.053296
19.708253,15,2.068176
14.785155,13,2.080567
15.410177,13,2.093914
12.01415,8,2.101886
13.115219,9,2.110665
13.515552,10,2.120257
19.496451,15,2.136163
13.657553,11,2.146866
16.15336,13,2.159326
15.146525,12,2.170785
16.880131,16,2.188013
15.72985,10,2.197605
15.047101,12,2.209307
23.550402,21,2.229132
13.844527,10,2.24027
18.508126,21,2.260929
15.701478,12,2.272574
20.315794,20,2.292312
11.752762,6,2.299616
19.184752,19,2.318244
15.909348,16,2.333787
19.713685,13,2.346508
18.567758,15,2.362242
13.459236,9,2.371309
16.649407,12,2.383699
15.54154,13,2.396383
12.233032,7,2.404398
16.925417,13,2.41721
19.277413,14,2.430871
23.15519,24,2.454387
13.022133,10,2.465392
17.888274,12,2.477209
13.874252,11,2.488055
17.67417,15,2.502675
16.576359,12,2.516219
17.068322,11,2.526971
11.819122,7,2.534133
13.512071,8,2.542174
15.34965,12,2.554826
16.649445,13,2.567523
14.893398,13,2.580494
17.237859,16,2.596072
16.973785,11,2.607944
20.562158,18,2.625291
16.17149,12,2.637932
15.516634,11,2.648852
17.591819,16,2.6655
18.439264,15,2.680252
17.902042,12,2.691935
15.848925,11,2.703558
14.291539,10,2.714525
15.78139,17,2.730882
23.178287,26,2.755876
20.278243,17,2.772822
20.130294,18,2.791249
21.257322,19,2.809995
27.754063,26,2.835987
14.595824,12,2.847886
19.061494,15,2.863725
18.051953,23,2.886337
15.143473,10,2.897123
20.422059,19,2.915921
22.406842,19,2.935606
16.982563,14,2.949403
16.699755,13,2.962824
13.635649,17,2.979292
10.708197,7,2.987272
16.14046,15,3.001915
19.09955,15,3.016712
15.095507,11,3.028074
18.002233,15,3.043539
14.441023,10,3.053359
16.588191,14,3.066879
12.743272,8,3.074811
19.705719,25,3.100691
20.342845,18,3.118335
13.811686,10,3.128306
14.213225,10,3.138124
20.855985,16,3.155644
19.550199,15,3.17045
14.219865,15,3.18494
13.166796,9,3.19389
16.208299,18,3.212826
12.752189,8,3.221666
20.422867,18,3.23955
29.831265,31,3.269747
19.299803,16,3.286693
20.04135,20,3.305749
17.198963,13,3.318523
12.044443,8,3.326535
14.389788,11,3.338056
16.834349,13,3.351173
17.102028,13,3.363724
13.2783,9,3.37255
15.363603,12,3.385054
16.341228,18,3.402354
19.256701,21,3.423165
15.733446,15,3.43763
18.580706,16,3.454099
14.038709,9,3.4631
12.424996,8,3.47113
21.118564,20,3.491246
