#{"t_start": 1623329794.7005353, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.793605,10,0.082027
16.234271,12,0.098183
15.031333,10,0.111554
16.416746,13,0.128946
13.100375,11,0.145632
20.644974,19,0.172986
26.049,26,0.214742
20.245841,16,0.24085
17.62662,12,0.262506
14.414713,11,0.280269
11.624615,9,0.295614
13.542917,15,0.320317
17.010866,15,0.34555
14.696951,11,0.363986
20.485367,17,0.391665
16.288748,19,0.421904
12.73981,10,0.439312
16.484992,17,0.466621
21.157111,19,0.497617
11.733625,9,0.512657
18.425616,16,0.539931
14.044758,12,0.559679
12.904386,9,0.574626
21.775359,25,0.615438
18.13742,16,0.64201
16.235862,13,0.663491
20.18995,18,0.692616
20.441447,20,0.725049
21.079425,18,0.755116
15.772246,16,0.780846
16.465868,12,0.800911
19.387604,13,0.821964
14.91054,15,0.846979
11.825213,8,0.861084
22.249568,21,0.895961
12.557604,7,0.908054
14.498716,10,0.926025
15.221385,10,0.942236
17.065262,13,0.963431
18.343303,15,0.987086
16.014664,20,1.020979
21.066996,21,1.053852
17.815033,18,1.082424
14.749017,10,1.098642
13.833188,14,1.123253
15.76156,12,1.14263
14.731871,10,1.159544
15.53272,16,1.185153
18.063916,12,1.206244
17.13351,16,1.232135
15.028935,12,1.25225
15.583932,10,1.268773
14.926979,13,1.290797
14.594475,10,1.30724
21.287167,23,1.344824
25.25964,25,1.385213
17.688154,17,1.414135
19.979537,14,1.437523
20.241776,20,1.47075
22.452088,22,1.506341
15.22992,14,1.531969
15.561602,12,1.552109
15.854488,11,1.569718
14.694662,11,1.588019
16.777534,15,1.613895
21.740329,21,1.648299
16.000698,11,1.663611
15.970883,13,1.680691
15.011743,14,1.700382
16.97483,14,1.719203
15.412356,11,1.734509
19.958573,18,1.761445
14.458225,10,1.778887
12.875089,8,1.792077
21.222915,22,1.827346
17.343321,17,1.855185
22.507345,21,1.889388
19.965765,16,1.915338
17.00297,16,1.941139
14.155685,14,1.963397
20.454124,22,1.999316
22.540547,24,2.03941
16.498976,14,2.061993
13.232048,9,2.076563
18.431843,14,2.100908
13.036908,11,2.119354
12.557699,8,2.132731
16.241325,12,2.153707
13.767015,15,2.178512
13.750421,11,2.197149
21.602117,25,2.236737
16.518397,15,2.262156
20.126714,17,2.290929
18.887915,18,2.319557
12.931641,9,2.335083
16.063675,16,2.361692
11.381064,6,2.373595
20.786456,17,2.400841
17.291431,13,2.421806
11.87418,9,2.436663
15.056865,12,2.45755
17.52418,14,2.480736
19.410656,15,2.505386
19.512118,20,2.537441
18.606698,15,2.563033
15.170242,14,2.586281
15.846393,13,2.607807
16.939121,16,2.632875
18.097002,15,2.658585
18.591697,15,2.683694
15.798155,11,2.701934
19.189215,16,2.729055
15.473145,12,2.750627
14.665091,11,2.769528
17.626096,14,2.79314
15.814244,15,2.817462
13.561321,9,2.833937
18.380977,16,2.860992
18.850709,15,2.885501
18.555808,16,2.912063
19.174275,16,2.939215
13.866678,15,2.963119
15.103259,11,2.98146
16.799843,12,3.001959
12.069285,8,3.016509
14.094693,11,3.034144
15.071269,10,3.051102
17.108994,13,3.072683
15.704162,11,3.09207
17.923011,15,3.116709
16.663106,13,3.138349
18.448936,16,3.164354
15.854704,14,3.188401
13.121975,9,3.203296
19.708253,15,3.225624
14.785155,13,3.242724
15.410177,13,3.261143
12.01415,8,3.272096
13.115219,9,3.284292
13.515552,10,3.297806
19.496451,15,3.319822
13.657553,11,3.334559
16.15336,13,3.351562
15.146525,12,3.367459
16.880131,16,3.390918
15.72985,10,3.403993
15.047101,12,3.420169
23.550402,21,3.447472
13.844527,10,3.462591
18.508126,21,3.491343
15.701478,12,3.507218
20.315794,20,3.534359
11.752762,6,3.544031
19.184752,19,3.56961
15.909348,16,3.591068
19.713685,13,3.60842
18.567758,15,3.62964
13.459236,9,3.642137
16.649407,12,3.659074
15.54154,13,3.676857
12.233032,7,3.687941
16.925417,13,3.705628
19.277413,14,3.724452
23.15519,24,3.756113
13.022133,10,3.771101
17.888274,12,3.787338
13.874252,11,3.802587
17.67417,15,3.823291
16.576359,12,3.84111
17.068322,11,3.855478
11.819122,7,3.86518
13.512071,8,3.875947
15.34965,12,3.89283
16.649445,13,3.91018
14.893398,13,3.927284
17.237859,16,3.948602
16.973785,11,3.964959
20.562158,18,3.988268
16.17149,12,4.005425
15.516634,11,4.020295
17.591819,16,4.043043
18.439264,15,4.062707
17.902042,12,4.078732
15.848925,11,4.093736
14.291539,10,4.107875
15.78139,17,4.13026
23.178287,26,4.168237
20.278243,17,4.196197
20.130294,18,4.226746
21.257322,19,4.259003
27.754063,26,4.301779
14.595824,12,4.321814
19.061494,15,4.348017
18.051953,23,4.385387
15.143473,10,4.403188
20.422059,19,4.433755
22.406842,19,4.465991
16.982563,14,4.489039
16.699755,13,4.511125
13.635649,17,4.538515
10.708197,7,4.551414
16.14046,15,4.575855
19.09955,15,4.600357
15.095507,11,4.618485
18.002233,15,4.64421
14.441023,10,4.660292
16.588191,14,4.682802
12.743272,8,4.696408
19.705719,25,4.738163
20.342845,18,4.767345
13.811686,10,4.783686
14.213225,10,4.799615
20.855985,16,4.828004
19.550199,15,4.852174
14.219865,15,4.876297
13.166796,9,4.890827
16.208299,18,4.921872
12.752189,8,4.935968
20.422867,18,4.965591
29.831265,31,5.016423
19.299803,16,5.043736
20.04135,20,5.076106
17.198963,13,5.097592
12.044443,8,5.111314
14.389788,11,5.13079
16.834349,13,5.152639
17.102028,13,5.173956
13.2783,9,5.189003
15.363603,12,5.20987
16.341228,18,5.239113
19.256701,21,5.274274
15.733446,15,5.298576
18.580706,16,5.326543
14.038709,9,5.341682
12.424996,8,5.355327
21.118564,20,5.388465
14.74709,10,5.40715
15.414399,11,5.425476
14.78979,10,5.442008
16.759625,14,5.465545
17.749357,16,5.493107
19.364906,19,5.523973
17.7337,14,5.547016
13.737432,12,5.566805
12.095276,8,5.582304
13.972998,9,5.597458
18.639436,14,5.619856
14.95671,10,5.634419
14.207091,11,5.651672
18.217146,14,5.670447
11.5971,7,5.68085
15.709065,11,5.695786
15.797277,11,5.712408
14.997171,10,5.728961
18.872938,16,5.755533
23.166516,30,5.805535
22.646734,20,5.839361
14.250545,12,5.859208
14.182801,10,5.875741
15.943554,14,5.899527
17.636914,17,5.927943
17.980594,14,5.950979
14.36283,9,5.966523
14.753161,11,5.984276
15.350729,10,6.00249
18.57985,14,6.025488
13.65766,8,6.038792
20.245315,21,6.072604
11.17929,7,6.085411
16.323364,12,6.1057
13.596365,12,6.125244
19.225998,20,6.1569
14.487397,10,6.17479
13.070385,8,6.187958
13.832245,11,6.206632
12.917492,8,6.220121
17.180259,12,6.241015
16.305002,13,6.262298
20.518918,18,6.291268
18.504461,15,6.316542
15.498021,13,6.338592
14.400623,9,6.353964
15.80249,14,6.37643
17.193932,12,6.395712
15.025699,12,6.417089
15.688128,11,6.434741
16.302797,12,6.454624
17.911,15,6.479214
16.560722,19,6.510864
14.533515,9,6.526066
12.239969,8,6.53937
13.055218,10,6.555876
17.610807,15,6.582036
15.350503,13,6.603464
14.093688,12,6.622844
14.713034,10,6.64002
20.025782,27,6.684153
17.111428,13,6.705198
14.055724,10,6.722125
18.859268,19,6.75314
15.741474,18,6.782599
16.866889,13,6.804034
20.409281,18,6.833606
16.186169,14,6.856895
16.236924,14,6.881567
18.771616,15,6.906092
16.24903,14,6.928871
14.438426,11,6.94766
15.339696,13,6.970807
19.130457,21,7.005336
14.628766,12,7.026465
13.427962,9,7.041849
18.391582,13,7.065419
16.169683,13,7.088116
14.792977,11,7.107342
14.561796,13,7.134718
12.502866,9,7.152954
13.06466,7,7.165393
18.461161,14,7.188932
15.382375,13,7.206498
15.978764,14,7.226259
14.763252,11,7.240717
13.714377,11,7.255899
18.656622,16,7.277449
17.501814,15,7.301807
15.551834,11,7.320312
16.043162,14,7.342387
20.539826,20,7.375295
15.190791,11,7.394592
13.386711,8,7.408048
17.747701,15,7.432582
15.540465,14,7.455075
14.855167,13,7.478651
19.158215,21,7.512613
16.173562,12,7.531972
14.526939,15,7.556191
16.654944,20,7.590085
16.015691,12,7.609499
11.965518,7,7.621291
12.777121,14,7.643668
15.64918,12,7.664684
13.7807,10,7.681013
13.468285,9,7.696978
14.392867,11,7.715043
14.564296,10,7.733042
15.518888,13,7.754019
21.989133,22,7.789433
14.494049,13,7.810864
13.808819,11,7.830465
19.126811,18,7.859546
16.4827,14,7.881883
20.145497,18,7.910651
17.950356,15,7.936085
17.622139,14,7.95908
12.886956,8,7.973117
16.523447,17,7.999903
14.790244,10,8.018724
15.01832,9,8.033354
13.068694,9,8.047953
17.976296,15,8.0724
14.721256,10,8.090397
13.999206,11,8.109304
21.375328,21,8.143081
17.436119,15,8.167063
18.316074,18,8.197164
19.996248,23,8.234296
18.064153,15,8.259284
12.900272,9,8.274133
13.486345,9,8.291053
17.397991,13,8.312364
14.183624,13,8.333806
18.017765,18,8.362454
16.572381,11,8.382962
13.538499,10,8.399561
13.916413,11,8.417592
18.23489,20,8.449871
16.950171,15,8.476877
16.593858,15,8.502098
17.84589,14,8.525476
19.463915,22,8.561388
16.056475,13,8.584108
15.468768,12,8.604112
20.748927,17,8.631887
15.54027,15,8.656838
19.495456,20,8.689389
16.971922,17,8.716427
20.420566,18,8.7456
18.187823,15,8.767795
15.015856,11,8.784277
19.045217,19,8.809818
12.489279,9,8.821876
19.877402,19,8.847821
12.305085,9,8.863787
18.498889,20,8.895517
21.342889,24,8.933968
21.924446,20,8.966566
13.152338,11,8.986016
17.746728,14,9.00889
20.562717,22,9.04473
23.291846,23,9.08122
16.761672,13,9.103855
13.490562,9,9.119098
17.539167,16,9.144621
16.181491,15,9.16859
15.355951,11,9.188162
14.313155,11,9.205794
16.98103,17,9.233529
14.37912,12,9.252908
14.974867,9,9.269806
18.186887,18,9.298313
21.545947,18,9.327693
17.436443,16,9.35333
12.439497,9,9.370506
15.552333,13,9.391964
16.835605,16,9.417578
21.76017,17,9.444184
21.02756,18,9.475012
15.429258,14,9.49722
20.240075,16,9.523433
16.827765,13,9.54447
13.333141,9,9.560554
21.296319,17,9.588546
12.183411,9,9.603297
15.874989,12,9.622981
19.965291,20,9.656299
17.552713,17,9.683972
23.359129,20,9.715811
24.24785,37,9.775807
18.705532,17,9.804943
18.463974,18,9.833446
14.143015,10,9.850713
16.154782,16,9.877311
15.871509,11,9.898052
13.579141,11,9.916397
17.080846,15,9.9405
14.289044,11,9.958333
17.022159,13,9.981123
13.554578,9,9.99616
18.267177,13,10.017118
19.52428,16,10.043029
17.934956,17,10.072434
22.762057,20,10.10523
15.204443,14,10.128025
14.390046,10,10.144233
17.15943,16,10.171917
14.057757,10,10.188095
16.431793,14,10.211253
17.75271,16,10.237275
14.499281,10,10.254831
16.357638,16,10.28094
15.165876,10,10.297521
14.674776,11,10.315099
21.566388,18,10.33973
17.508709,17,10.361846
16.083313,11,10.376431
17.675274,14,10.395261
16.216292,11,10.413154
15.099053,15,10.437421
14.602504,9,10.452114
15.819724,17,10.47895
15.477102,11,10.498538
17.200436,14,10.521629
29.408177,28,10.566549
15.922648,12,10.58629
13.873065,9,10.602758
18.953403,16,10.629734
14.386672,9,10.644592
22.573677,23,10.681006
16.944466,12,10.702075
20.843867,22,10.738765
16.198215,11,10.756806
20.468151,17,10.784937
16.082975,14,10.808652
12.655098,9,10.824049
19.670901,18,10.853981
23.765675,20,10.885794
16.185986,16,10.913291
18.100193,18,10.94274
13.225614,12,10.962129
15.490276,16,10.988773
16.29363,12,11.010265
21.00815,18,11.041046
22.081059,18,11.071076
19.380847,20,11.104408
18.024502,15,11.13105
14.705007,9,11.147179
14.957452,11,11.165371
19.610183,23,11.20268
17.205759,14,11.226651
15.623614,14,11.249273
16.756317,12,11.269737
22.988369,20,11.301095
15.893784,11,11.320515
13.57699,9,11.335398
17.013666,14,11.358725
17.766185,16,11.384574
16.062473,12,11.405324
17.675743,14,11.428432
