#{"t_start": 1622618491.29971, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.793605,10,0.061289
16.234271,12,0.07722
15.031333,10,0.090491
16.416746,13,0.107529
13.100375,11,0.123164
20.644974,19,0.148634
26.049,26,0.181872
20.245841,16,0.202226
17.62662,12,0.215783
14.414713,11,0.226388
11.624615,9,0.235267
13.542917,15,0.249759
17.010866,15,0.264929
14.696951,11,0.275883
20.485367,17,0.292667
16.288748,19,0.31071
12.73981,10,0.321405
16.484992,17,0.337635
21.157111,19,0.356112
11.733625,9,0.365023
18.425616,16,0.381333
14.044758,12,0.393293
12.904386,9,0.402287
21.775359,25,0.426506
18.13742,16,0.442826
16.235862,13,0.455459
20.18995,18,0.472933
20.441447,20,0.492274
21.079425,18,0.510781
15.772246,16,0.526032
16.465868,12,0.538169
19.387604,13,0.550645
14.91054,15,0.565763
11.825213,8,0.573817
22.249568,21,0.594974
12.557604,7,0.602102
14.498716,10,0.613017
15.221385,10,0.622913
17.065262,13,0.63567
18.343303,15,0.650076
16.014664,20,0.670591
21.066996,21,0.690527
17.815033,18,0.707419
14.749017,10,0.717162
13.833188,14,0.73224
15.76156,12,0.743909
14.731871,10,0.753838
15.53272,16,0.769327
18.063916,12,0.781968
17.13351,16,0.797824
15.028935,12,0.809633
15.583932,10,0.819412
14.926979,13,0.832848
14.594475,10,0.842562
21.287167,23,0.865304
25.25964,25,0.889109
17.688154,17,0.906333
19.979537,14,0.920467
20.241776,20,0.940155
22.452088,22,0.961211
15.22992,14,0.976414
15.561602,12,0.988162
15.854488,11,0.998734
14.694662,11,1.009434
16.777534,15,1.024894
21.740329,21,1.045429
16.000698,11,1.056302
15.970883,13,1.068763
15.011743,14,1.083084
16.97483,14,1.096851
15.412356,11,1.108312
19.958573,18,1.12557
14.458225,10,1.136328
12.875089,8,1.144386
21.222915,22,1.165604
17.343321,17,1.182202
22.507345,21,1.203167
19.965765,16,1.218662
17.00297,16,1.234728
14.155685,14,1.248149
20.454124,22,1.270185
22.540547,24,1.294111
16.498976,14,1.307542
13.232048,9,1.31648
18.431843,14,1.331353
13.036908,11,1.34219
12.557699,8,1.350208
16.241325,12,1.362591
13.767015,15,1.37788
13.750421,11,1.388621
21.602117,25,1.412262
16.518397,15,1.427507
20.126714,17,1.444865
18.887915,18,1.462218
12.931641,9,1.471118
16.063675,16,1.487305
11.381064,6,1.494496
20.786456,17,1.510765
17.291431,13,1.523412
11.87418,9,1.532412
15.056865,12,1.545155
17.52418,14,1.55928
19.410656,15,1.573943
19.512118,20,1.592895
18.606698,15,1.60831
15.170242,14,1.622343
15.846393,13,1.635063
16.939121,16,1.650252
18.097002,15,1.675683
18.591697,15,1.700355
15.798155,11,1.711446
19.189215,16,1.727795
15.473145,12,1.740558
14.665091,11,1.752213
17.626096,14,1.767193
15.814244,15,1.782144
13.561321,9,1.792164
18.380977,16,1.807969
18.850709,15,1.822434
18.555808,16,1.83847
19.174275,16,1.854905
13.866678,15,1.869256
15.103259,11,1.879757
16.799843,12,1.892365
12.069285,8,1.901275
14.094693,11,1.912033
15.071269,10,1.922024
17.108994,13,1.934862
15.704162,11,1.946594
17.923011,15,1.961601
16.663106,13,1.974398
18.448936,16,1.990103
15.854704,14,2.004463
13.121975,9,2.013352
19.708253,15,2.028581
14.785155,13,2.041351
15.410177,13,2.054866
12.01415,8,2.063004
13.115219,9,2.071968
13.515552,10,2.081934
19.496451,15,2.098027
13.657553,11,2.108946
16.15336,13,2.121847
15.146525,12,2.133767
16.880131,16,2.150712
15.72985,10,2.160354
15.047101,12,2.172013
23.550402,21,2.192046
13.844527,10,2.202997
18.508126,21,2.223629
15.701478,12,2.23553
20.315794,20,2.255098
11.752762,6,2.262215
19.184752,19,2.281164
15.909348,16,2.296834
19.713685,13,2.309596
18.567758,15,2.325119
13.459236,9,2.334293
16.649407,12,2.346699
15.54154,13,2.35941
12.233032,7,2.367457
16.925417,13,2.380287
19.277413,14,2.393952
23.15519,24,2.417485
13.022133,10,2.428266
17.888274,12,2.440092
13.874252,11,2.450888
17.67417,15,2.465871
16.576359,12,2.479074
17.068322,11,2.489768
11.819122,7,2.496807
13.512071,8,2.504678
15.34965,12,2.517426
16.649445,13,2.530231
14.893398,13,2.543155
17.237859,16,2.558739
16.973785,11,2.570711
20.562158,18,2.588022
16.17149,12,2.600513
15.516634,11,2.611569
17.591819,16,2.629065
18.439264,15,2.644419
17.902042,12,2.656421
15.848925,11,2.668237
14.291539,10,2.6791
15.78139,17,2.695667
23.178287,26,2.723088
20.278243,17,2.741565
20.130294,18,2.761547
21.257322,19,2.782562
27.754063,26,2.811291
14.595824,12,2.824753
19.061494,15,2.842081
18.051953,23,2.867185
15.143473,10,2.87886
20.422059,19,2.900095
22.406842,19,2.925852
16.982563,14,2.939929
16.699755,13,2.95336
13.635649,17,2.96969
10.708197,7,2.977862
16.14046,15,2.992635
19.09955,15,3.0075
15.095507,11,3.018903
18.002233,15,3.034497
14.441023,10,3.044399
16.588191,14,3.057875
12.743272,8,3.065788
19.705719,25,3.090734
20.342845,18,3.108172
13.811686,10,3.11793
14.213225,10,3.127596
20.855985,16,3.144588
19.550199,15,3.159675
14.219865,15,3.174476
13.166796,9,3.183406
16.208299,18,3.202243
12.752189,8,3.211205
20.422867,18,3.228915
29.831265,31,3.259703
19.299803,16,3.276843
20.04135,20,3.296326
17.198963,13,3.309279
12.044443,8,3.317719
14.389788,11,3.329438
16.834349,13,3.342742
17.102028,13,3.355483
13.2783,9,3.364718
15.363603,12,3.37747
16.341228,18,3.39509
19.256701,21,3.41624
15.733446,15,3.430834
