#{"t_start": 1623568301.0060325, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.282277
98.046043,206,1.521776
489.975109,1000,2.682745
113.459319,246,2.970094
483.864999,1000,4.129874
408.058234,859,5.136452
502.951513,1000,6.293445
41.678752,83,6.388898
555.221435,1000,7.633392
519.64579,1000,8.796208
510.671148,1000,9.961272
514.711494,1000,11.128473
476.192316,1000,19.267507
398.130214,789,33.687765
65.869555,148,38.163023
426.941079,1000,61.771044
480.399891,1000,86.827488
146.042821,448,97.866812
36.160682,147,101.080479
0.502558,20,101.126799
3.902775,90,104.148161
108.536337,252,110.263775
1.073155,21,110.312441
1.178262,20,110.35843
23.995872,43,111.900139
325.679793,1000,138.132164
309.323789,1000,164.011205
227.08378,531,179.622853
403.684349,1000,205.741157
357.042857,1000,233.599715
269.601769,1000,259.910242
452.856321,1000,300.68485
121.059355,276,307.437575
242.277097,1000,335.097635
402.35852,1000,362.647867
446.251032,1000,386.036634
284.021472,1000,410.639339
605.16494,1000,435.031156
0.080358,20,435.077207
0.387001,20,435.123741
-0.644556,20,435.183111
-0.12431,20,436.588061
-0.150618,20,436.634787
0.062709,20,436.6813
1.952844,20,438.113097
214.305989,445,448.815299
414.598765,1000,472.096847
697.746374,1000,496.982458
397.202895,1000,521.696302
504.589764,1000,555.705529
659.62065,1000,579.277516
384.032336,1000,602.447358
689.004705,1000,627.172976
383.972599,836,647.143154
468.257585,1000,671.855922
550.303602,1000,695.096738
470.328951,1000,719.774791
583.005393,1000,744.780345
336.909502,1000,768.08629
372.179496,1000,803.86067
378.887127,1000,825.990535
521.997374,1000,850.472758
636.193887,1000,874.931705
307.050284,1000,898.15176
669.886907,1000,923.822958
639.932637,1000,952.073237
548.485263,1000,978.634075
623.485779,1000,1006.636814
684.275178,1000,1033.149942
531.935124,1000,1074.004851
609.908704,1000,1101.742272
674.710524,1000,1128.331987
621.046721,1000,1156.588966
437.24131,1000,1184.805215
606.792293,1000,1211.334404
723.381072,1000,1239.578319
607.394752,1000,1266.135035
507.669877,1000,1294.315623
584.963019,1000,1322.501617
679.456497,1000,1360.930984
412.224596,620,1378.278363
639.101694,1000,1406.375567
640.565242,1000,1433.075664
602.857982,1000,1461.2457
603.275899,1000,1489.459452
549.525501,1000,1516.108782
653.196139,1000,1544.473534
742.96062,1000,1571.262218
457.090216,1000,1599.592183
722.308836,1000,1640.71302
379.969899,1000,1667.873536
525.476365,1000,1696.937745
743.543242,1000,1725.956076
492.880218,1000,1753.440556
671.910974,1000,1782.887734
564.119896,1000,1810.730348
492.160891,1000,1840.508579
658.875349,1000,1870.285408
593.464156,1000,1898.66695
710.270562,1000,1941.320652
659.317858,1000,1971.349727
678.497835,1000,1999.889638
676.445451,1000,2030.213221
542.776101,1000,2058.930719
666.124508,1000,2089.593822
640.971664,1000,2120.012084
760.416355,1000,2148.829994
653.644486,1000,2177.434106
542.885189,1000,2205.368976
530.787,1000,2242.959037
677.563858,1000,2269.931742
680.278778,1000,2296.554124
644.938189,1000,2324.543086
726.215563,1000,2352.73682
717.800916,1000,2379.143996
367.825611,1000,2407.384494
731.377931,1000,2435.534767
500.367066,1000,2461.947798
645.316846,1000,2489.953458
659.394052,1000,2527.494395
431.812084,1000,2554.824331
603.244619,1000,2583.029772
747.339253,1000,2609.79626
860.831363,1000,2638.024521
600.440826,1000,2666.151887
573.695898,1000,2692.723522
646.519545,1000,2720.782535
715.643413,1000,2747.347325
701.532264,1000,2775.444217
727.573725,1000,2814.360051
684.482109,1000,2840.343088
700.050677,1000,2868.563938
834.75117,1000,2896.775211
491.975906,1000,2923.351251
639.039792,1000,2951.479626
662.951669,1000,2978.107957
755.963871,1000,3006.113783
853.4409,1000,3034.220033
796.659977,1000,3060.90684
768.093502,1000,3099.602927
721.352838,1000,3127.89524
880.168062,1000,3154.353196
676.372499,1000,3182.549229
534.785381,1000,3209.041796
612.600154,1000,3237.305912
856.074159,1000,3265.397037
846.016044,1000,3292.065035
903.730085,1000,3320.288385
705.709246,1000,3348.406737
736.299446,1000,3385.363782
891.222814,1000,3413.157239
835.251985,1000,3439.717154
669.6085,1000,3467.946699
858.601542,1000,3496.041531
751.320746,1000,3522.572814
726.599563,1000,3550.935063
761.537542,1000,3579.018163
853.500324,1000,3605.729343
839.546073,1000,3633.839163
906.287608,1000,3669.243831
783.99538,1000,3696.901988
767.710541,1000,3725.130463
278.99269,362,3733.986407
784.108475,1000,3762.210202
854.813478,1000,3790.455286
620.125067,1000,3817.054413
747.560626,1000,3845.571669
699.583904,1000,3872.218943
863.620722,1000,3900.532823
803.748457,1000,3928.810192
677.427468,1000,3965.367353
751.630783,1000,3993.518307
846.64208,1000,4021.68097
831.765083,1000,4048.144101
635.889136,1000,4076.3007
642.996892,1000,4102.915169
828.245616,1000,4131.069932
851.055955,1000,4159.260103
865.0065,1000,4185.852427
747.240037,1000,4214.133208
874.176018,1000,4252.158551
890.615316,1000,4278.724057
1022.411493,1000,4306.876599
765.479786,1000,4333.51481
693.746076,1000,4361.760622
932.217048,1000,4389.832689
970.77823,1000,4416.350622
1005.892863,1000,4444.613298
679.041926,1000,4472.912777
755.149034,1000,4499.516598
665.45501,1000,4537.695768
975.917205,1000,4564.497036
629.78293,1000,4592.656154
814.362294,1000,4620.901909
838.167409,1000,4647.347611
665.479905,1000,4675.412344
872.173634,1000,4703.37978
1026.922236,1000,4730.053321
846.875233,1000,4758.220963
822.913503,1000,4785.022691
846.245024,1000,4823.258042
838.182852,1000,4851.494537
1022.208982,1000,4878.107884
796.843677,1000,4906.454288
955.561873,1000,4934.622222
874.560449,1000,4961.267589
996.460676,1000,4989.371758
1107.216928,1000,5016.038268
881.646789,1000,5044.246768
731.309856,1000,5072.390752
910.69249,1000,5109.273991
979.145878,1000,5137.486971
951.155562,1000,5165.731783
899.953026,1000,5192.394049
813.275956,1000,5220.597722
979.786831,1000,5247.206034
972.57333,1000,5275.510015
948.452423,1000,5303.664496
984.749038,1000,5330.259816
862.832732,1000,5358.483858
772.602899,1000,5396.937222
837.687823,1000,5423.459265
901.12069,1000,5451.650627
751.222601,1000,5478.188833
735.819015,1000,5507.265767
991.867841,1000,5535.377383
834.710516,1000,5562.044569
968.233156,1000,5590.296391
963.583846,1000,5618.521731
758.881502,1000,5645.336143
988.999372,1000,5683.613117
833.856674,1000,5710.158047
858.965045,1000,5738.354705
927.374803,1000,5766.945952
743.473708,1000,5793.583817
797.77327,1000,5821.752259
1024.845149,1000,5849.899218
826.71705,1000,5876.423751
976.306752,1000,5904.666433
738.812616,1000,5931.280944
941.241241,1000,5969.498641
697.459177,1000,5997.888494
885.991695,1000,6024.541417
937.993847,1000,6052.742369
886.727594,1000,6080.874738
959.33459,1000,6107.801677
1085.48849,1000,6136.035079
1176.546915,1000,6162.691533
814.558466,1000,6190.834301
1201.437643,1000,6219.012425
1303.536902,1000,6255.644801
1122.706166,1000,6283.885675
1239.415606,1000,6312.004977
1195.631729,1000,6338.650709
1333.528516,1000,6367.205887
943.470211,1000,6393.897869
817.273957,1000,6422.282379
1211.907925,1000,6450.498735
1173.323321,1000,6477.36833
1109.876466,1000,6505.660298
1335.823896,1000,6543.960519
1304.50587,1000,6570.620354
1248.56947,1000,6598.806626
998.411398,1000,6625.511265
1250.532775,1000,6653.678516
853.811604,1000,6682.018359
1291.806328,1000,6708.580951
1133.641311,1000,6736.774609
1149.780138,1000,6764.907603
1318.89305,1000,6791.512375
1079.812316,1000,6829.645488
1141.6301,1000,6856.54955
1244.02268,1000,6885.234584
1341.490837,1000,6913.52699
1278.692309,1000,6940.319529
1297.213551,1000,6968.835037
1355.527771,1000,6997.054131
1320.73168,1000,7023.550276
1396.184362,1000,7051.894785
1254.235817,1000,7078.623408
1275.069889,1000,7116.610214
1048.056288,1000,7144.692767
1092.217433,1000,7171.535656
1131.524431,1000,7199.898314
1120.294753,1000,7228.188859
