#{"t_start": 1622265459.8940291, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.287216
98.046043,206,1.528346
489.975109,1000,2.707608
113.459319,246,2.997484
483.864999,1000,4.172792
408.058234,859,5.188001
502.951513,1000,6.353156
41.678752,83,6.449463
555.221435,1000,7.61576
519.64579,1000,8.791009
510.671148,1000,9.966205
514.711494,1000,11.14766
476.179409,1000,23.771747
375.197601,796,48.42177
195.606742,421,61.929595
196.817381,782,85.355168
421.17005,1000,116.193599
349.929803,1000,145.249679
273.930435,1000,176.031255
34.714447,107,179.833081
338.096644,1000,208.844915
351.799348,1000,239.691909
424.1799,1000,270.520758
598.416708,1000,299.400272
356.344289,1000,340.801628
147.496844,376,352.366738
5.312903,33,352.446677
6.228122,31,354.281337
652.717256,1000,383.191552
645.101985,1000,413.85131
398.547326,1000,444.590693
547.588451,1000,473.484946
523.111565,1000,504.210753
501.061873,1000,533.127324
338.68122,1000,563.905672
393.988959,1000,594.64187
4.942364,20,594.691506
4.84914,20,594.739378
4.602563,20,596.551162
1.863717,25,596.611221
2.475515,20,596.660503
2.249899,20,598.475904
4.138734,21,598.526481
2.327894,20,598.574422
2.572292,21,600.371818
423.217457,1000,639.70598
486.995855,1000,670.518137
411.848129,1000,699.715298
420.128865,1000,730.596448
333.3665,1000,761.328461
541.302664,1000,790.223877
420.571957,1000,820.848915
362.98033,1000,851.510065
352.466479,1000,880.482377
522.485517,1000,911.041447
491.495873,1000,948.069607
445.540237,1000,978.881444
0.385836,23,978.92921
675.54483,1000,1009.639081
637.407089,1000,1040.241005
3.789715,20,1040.289953
3.50705,20,1040.336976
3.278796,20,1042.153551
213.071702,891,1069.175316
587.146222,1000,1098.073279
579.174637,1000,1128.672584
182.822381,588,1146.053966
579.143714,1000,1176.782168
262.612931,426,1188.360857
150.54455,371,1199.842218
493.299853,1000,1230.536629
458.594411,1000,1269.962945
503.493538,1000,1300.656955
500.68395,1000,1331.406261
690.56803,1000,1360.39159
578.109267,1000,1391.111601
496.009024,1000,1419.87802
592.767662,1000,1450.42805
612.719568,1000,1481.142578
613.074836,1000,1510.150689
595.227864,1000,1540.595583
359.588279,1000,1581.643196
413.454072,1000,1610.609458
475.237098,1000,1641.399544
478.009291,1000,1670.34528
707.611128,1000,1701.005254
717.77864,1000,1731.687864
571.280866,1000,1760.767285
545.157143,1000,1791.683296
324.392688,1000,1822.861089
550.217741,1000,1852.271326
525.955098,1000,1894.085999
592.167451,1000,1923.804793
615.466682,1000,1955.471129
534.489468,1000,1987.637941
573.907733,1000,2017.936419
