#{"t_start": 1622360587.8093393, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.104852
-1143.119155,1000,2.115923
-1247.080482,1000,3.11121
-1342.597029,1000,4.138492
-1223.700469,1000,5.122144
-1454.851774,1000,6.091501
-1216.596965,1000,7.087202
-1070.317227,1000,8.087195
-1152.0094,1000,9.060773
-1133.423199,1000,10.033434
-1224.038657,1000,44.152975
-1267.255795,1000,73.511709
-1091.378143,1000,102.640043
-939.284037,1000,129.88483
-522.28363,1000,158.737416
-1045.693788,1000,185.973578
-475.700789,1000,214.777826
-293.561153,1000,243.584552
465.847002,1000,270.676596
388.7308,1000,299.409414
87.004227,1000,337.27192
315.47056,1000,364.349569
172.642643,1000,393.087534
273.549772,1000,420.199682
390.30814,1000,448.98212
-35.636625,1000,477.669572
502.188475,1000,504.646933
553.094039,1000,533.337051
43.370572,1000,561.987551
390.460825,1000,588.541171
281.838167,1000,627.304871
505.268978,1000,654.481313
609.918859,1000,683.402047
587.372411,1000,712.343319
559.293104,1000,739.644937
471.665199,1000,768.547657
432.250436,1000,797.438468
482.613439,1000,824.655021
600.266604,1000,853.53602
602.360525,1000,879.600768
649.991257,1000,918.696628
497.479864,1000,947.612193
603.369795,1000,974.885204
525.166359,1000,1003.831654
575.401187,1000,1032.714426
617.648239,1000,1059.897997
722.526958,1000,1088.815712
583.891096,1000,1116.014807
591.234287,1000,1144.958534
576.797228,1000,1172.72363
582.422362,1000,1210.373379
613.540948,1000,1239.289744
646.601319,1000,1268.202408
544.137941,1000,1295.425646
629.136788,1000,1324.348449
647.538445,1000,1351.622725
703.596341,1000,1380.453297
649.794249,1000,1409.462529
390.445998,1000,1436.630648
552.988233,1000,1464.333668
725.546841,1000,1503.612925
668.167093,1000,1530.856672
610.975881,1000,1559.796887
653.820428,1000,1587.006396
676.566302,1000,1615.884482
663.25749,1000,1644.823059
684.774081,1000,1672.064598
679.450615,1000,1701.03275
626.091642,1000,1729.221488
539.424332,1000,1756.076279
616.838842,1000,1795.653173
670.676269,1000,1823.044811
654.726425,1000,1852.135959
702.154144,1000,1881.346132
675.821893,1000,1908.915631
664.626117,1000,1938.356232
635.776504,1000,1967.960872
644.419415,1000,1996.007884
601.990286,1000,2024.761361
720.759788,1000,2053.13486
655.224444,1000,2094.913579
697.294171,1000,2127.601835
725.265573,1000,2158.617095
616.371594,1000,2191.47855
616.603296,1000,2224.555111
647.693468,1000,2255.741528
256.11382,1000,2288.844279
541.287015,1000,2319.941264
702.900195,1000,2352.754298
719.969279,1000,2385.803088
734.292572,1000,2428.570081
703.088408,1000,2461.705221
667.392763,1000,2494.800259
694.815381,1000,2526.063967
735.784026,1000,2559.250696
768.515457,1000,2590.562491
724.570945,1000,2623.774239
740.280438,1000,2656.740067
720.066606,1000,2688.035868
725.091405,1000,2721.276085
726.947328,1000,2765.976407
753.871167,1000,2797.302208
772.389961,1000,2830.538632
720.858314,1000,2861.928382
695.388882,1000,2895.193932
141.119813,1000,2928.36926
751.61006,1000,2959.432208
751.184798,1000,2992.583718
741.355271,1000,3025.770228
736.230646,1000,3057.065617
718.360201,1000,3101.626239
729.916054,1000,3132.948073
715.032145,1000,3166.166835
740.984771,1000,3199.465025
750.018044,1000,3230.831894
623.305085,1000,3264.100939
758.74983,1000,3297.16073
762.26091,1000,3328.516753
751.856903,1000,3361.826353
765.836652,1000,3393.26519
761.669393,1000,3437.990384
756.050038,1000,3471.325059
669.961511,1000,3502.722793
741.956189,1000,3536.041175
728.527328,1000,3569.340126
745.438203,1000,3600.479465
796.458633,1000,3633.741341
769.848426,1000,3665.100909
657.545733,1000,3698.262846
739.915529,1000,3731.511619
729.159251,1000,3774.151386
789.150209,1000,3807.440337
777.486932,1000,3840.77308
556.632738,1000,3872.11124
663.304002,1000,3905.235397
758.10243,1000,3936.567617
757.378535,1000,3969.866464
791.399279,1000,4003.197087
787.508489,1000,4034.541585
738.851881,1000,4067.858528
770.002433,1000,4112.695424
705.198007,1000,4144.16044
762.972536,1000,4177.460541
783.663659,1000,4208.875052
619.591457,1000,4241.827574
771.472048,1000,4275.113139
751.494706,1000,4306.422701
749.557533,1000,4339.709026
766.895593,1000,4372.956858
772.816123,1000,4404.319237
801.405512,1000,4449.156944
777.011506,1000,4480.614312
519.63962,1000,4513.858775
805.491621,1000,4546.909997
775.157021,1000,4578.282622
811.753931,1000,4611.57606
780.961275,1000,4644.891957
748.468278,1000,4676.295796
