#{"t_start": 1624277164.2402701, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.107535
-1143.119155,1000,2.107705
-1247.080482,1000,3.10655
-1342.597029,1000,4.082078
-1223.700469,1000,5.072463
-1454.851774,1000,6.048941
-1216.596965,1000,7.055289
-1070.317227,1000,8.069244
-1152.0094,1000,9.057359
-1133.423199,1000,10.047511
-1179.098862,1000,44.963421
-735.914916,1000,73.189642
-1081.649471,1000,101.536283
-815.159816,1000,128.188553
93.124888,1000,156.458012
-1094.808772,1000,182.963175
-565.706696,1000,211.060625
-329.719166,1000,239.183573
-60.817676,1000,265.664891
515.165529,1000,294.098366
521.78059,1000,339.826254
204.104805,1000,366.546887
429.614857,1000,394.846793
441.102794,1000,421.464272
544.484826,1000,449.779544
459.848757,1000,478.115567
439.760186,1000,504.762435
610.350009,1000,533.039396
615.405929,1000,561.304916
579.307206,1000,587.838667
551.442731,1000,624.807986
613.189327,1000,651.389822
149.800233,1000,679.584621
208.227991,1000,707.843408
487.57106,1000,734.424482
527.752003,1000,762.682691
597.042299,1000,790.948525
574.726974,1000,817.552001
499.839645,1000,845.862731
587.677593,1000,872.368254
522.485565,1000,909.435846
553.710511,1000,937.611985
587.895369,1000,964.118256
615.438316,1000,992.289505
581.478549,1000,1020.477877
546.899339,1000,1046.933011
664.266887,1000,1075.074759
662.654214,1000,1101.549948
637.3688,1000,1129.667311
672.749583,1000,1157.70007
346.697712,1000,1193.056692
733.417209,1000,1221.189647
758.827427,1000,1249.325859
791.824383,1000,1275.840847
525.037199,1000,1303.974442
698.962507,1000,1330.463854
736.908523,1000,1358.660066
534.928606,1000,1386.769493
727.81732,1000,1413.243152
794.758674,1000,1441.226254
-183.76558,1000,1478.230814
269.908592,1000,1504.679065
629.247426,1000,1532.78839
-35.90879,1000,1559.200491
892.753462,1000,1587.271249
595.569679,1000,1615.325761
650.44462,1000,1641.819239
527.138053,1000,1669.958695
389.659652,1000,1698.185153
19.232458,1000,1724.486258
36.423012,1000,1761.468207
563.594211,1000,1788.176234
700.22329,1000,1816.655056
835.060057,1000,1845.168511
914.75082,1000,1872.181018
892.921142,1000,1901.084147
722.013291,1000,1930.143478
899.434068,1000,1957.797118
783.702568,1000,1987.342615
813.543852,1000,2015.111496
961.149414,1000,2053.88219
955.955327,1000,2083.781719
959.684443,1000,2112.048482
834.927141,1000,2142.100396
991.821096,1000,2172.205174
968.860836,1000,2200.588233
984.836035,1000,2230.683052
849.14729,1000,2259.019268
