#{"t_start": 1622471832.1974828, "env_id": "HopperBulletEnv-v0"}
r,l,t
23.88297,16,0.061173
25.773333,20,0.080865
19.492832,7,0.08806
18.192747,13,0.100641
21.153148,13,0.115416
19.518456,7,0.122689
19.379697,12,0.134596
22.28991,15,0.14904
17.559274,12,0.161922
15.310068,6,0.168114
22.853219,13,0.181328
16.960895,6,0.187473
21.985217,10,0.19854
17.521467,14,0.210536
20.937589,14,0.221009
19.983398,12,0.229933
24.773738,12,0.240316
17.361751,6,0.24498
18.251199,7,0.250267
17.153877,11,0.2583
20.050667,17,0.271686
16.894716,28,0.292467
23.927095,20,0.306821
22.17489,19,0.320725
23.476012,16,0.333672
20.016305,6,0.338382
21.024506,8,0.344335
23.183334,17,0.356763
15.969579,10,0.365472
26.052559,21,0.381444
25.673894,17,0.394085
22.82357,18,0.407102
20.473823,16,0.42002
21.213251,15,0.431711
25.912648,17,0.443948
20.706567,9,0.45054
20.141162,10,0.458974
18.182719,12,0.467926
24.605953,22,0.484657
19.106596,8,0.490767
18.740572,10,0.499429
19.184328,9,0.506202
17.925328,8,0.512322
23.510947,16,0.523911
19.868843,18,0.53879
21.382361,9,0.545465
18.283211,10,0.553128
22.052671,13,0.562835
20.383288,8,0.569931
17.687608,13,0.579973
18.69348,9,0.5866
16.304619,20,0.601409
18.119714,8,0.608447
23.164249,12,0.617315
16.503763,9,0.62405
28.069552,18,0.637491
22.209755,10,0.646066
18.364817,13,0.655698
20.037958,9,0.662551
15.416178,10,0.669905
17.567741,8,0.677672
28.234505,19,0.691532
19.503325,12,0.700225
21.130536,7,0.70549
22.016446,13,0.716169
16.852794,6,0.720758
22.979769,9,0.727764
23.113227,16,0.739544
26.738356,31,0.762878
20.912391,15,0.774501
22.587355,15,0.785459
22.480921,18,0.798734
19.139303,11,0.808089
20.44687,8,0.814258
19.797665,9,0.82168
21.059958,12,0.830607
20.261233,12,0.840607
19.535016,10,0.8482
17.945679,9,0.854913
25.079653,16,0.866512
21.955498,15,0.878824
18.399831,9,0.885473
14.411517,11,0.893556
18.80027,23,0.910482
15.016326,9,0.918025
18.373244,9,0.925325
20.841802,10,0.932839
20.63071,12,0.941533
17.854846,9,0.949337
23.627954,11,0.957494
20.206389,10,0.965215
16.944837,16,0.97748
21.08287,14,0.98901
17.544264,7,0.994395
17.84494,20,1.009099
19.909173,13,1.01913
21.811663,14,1.030481
18.07322,10,1.038069
19.310361,8,1.04412
19.344806,9,1.050939
24.019603,17,1.064658
24.018096,17,1.078683
19.64485,6,1.0834
39.080813,52,1.121557
23.268019,18,1.13605
18.297939,13,1.145478
27.767164,17,1.157877
26.631173,15,1.169396
22.211593,16,1.182112
21.26641,12,1.190961
15.019954,17,1.203497
17.025505,11,1.211414
21.950924,10,1.220381
22.029092,14,1.230542
17.755967,10,1.237981
22.347265,10,1.245378
19.425916,10,1.25394
16.150853,10,1.261361
18.765804,8,1.267788
19.391572,16,1.279159
25.615323,14,1.29036
20.383223,10,1.297689
19.807793,9,1.304278
16.999122,6,1.308831
27.43497,26,1.329045
22.258952,19,1.342815
25.623569,25,1.362448
17.465658,7,1.367964
13.788028,14,1.379295
19.443292,12,1.388345
18.66225,10,1.395951
18.770253,8,1.402072
23.414824,10,1.410973
19.977807,12,1.420659
34.319249,36,1.447256
22.3096,12,1.45645
19.156987,11,1.46643
23.207709,17,1.478827
15.649853,10,1.486435
19.993045,15,1.497637
21.092958,9,1.505568
18.322465,6,1.510469
19.825297,7,1.516511
13.619019,12,1.525511
19.005412,15,1.537966
25.597174,17,1.55065
18.926298,10,1.55841
18.457656,7,1.564494
36.908979,32,1.588774
22.369063,10,1.596274
19.098142,15,1.607543
20.838109,9,1.615028
21.061681,15,1.62755
19.114047,7,1.633034
20.112933,15,1.644263
20.481406,7,1.649788
21.451016,11,1.659083
20.624642,10,1.667199
17.691306,11,1.675683
22.553828,15,1.686956
22.806155,12,1.696937
17.687766,8,1.703068
24.410959,14,1.713915
20.834154,10,1.721486
19.406048,11,1.730555
20.72135,9,1.737278
19.37116,7,1.742781
20.940696,10,1.750142
17.986843,8,1.75717
18.323291,12,1.76658
23.054243,10,1.774207
20.547204,9,1.780961
18.199294,8,1.78808
23.035356,14,1.798327
21.572935,14,1.80903
16.922367,9,1.816366
17.956115,11,1.825627
21.731793,8,1.831828
20.305894,15,1.84274
15.988773,13,1.852373
19.604972,9,1.860256
15.222756,6,1.865551
23.370915,13,1.875284
20.72575,18,1.888427
13.469988,10,1.896929
19.911543,9,1.903728
19.246171,12,1.913098
20.817554,9,1.919918
