#{"t_start": 1622659338.6371481, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
23.359825,27,0.067394
13.427081,10,0.077325
20.447938,21,0.097644
15.897435,11,0.10919
12.884874,8,0.118325
15.188406,14,0.132166
14.644253,10,0.141943
12.268839,7,0.149032
22.879943,38,0.187409
20.522875,20,0.206946
17.804203,18,0.22437
23.575517,23,0.24689
18.916398,15,0.262462
19.579977,19,0.280815
18.567586,19,0.299627
13.182928,9,0.30872
15.426982,12,0.321285
23.036538,19,0.33936
20.059228,18,0.356759
17.218703,13,0.369962
15.450911,13,0.383604
17.335598,14,0.397201
15.936364,16,0.412593
18.878028,15,0.427666
14.904123,11,0.439355
16.414456,11,0.45012
14.114787,11,0.4608
22.543155,22,0.482021
19.082036,18,0.501167
17.201051,16,0.517063
20.338459,15,0.531747
12.997956,9,0.540772
20.006281,19,0.56054
13.724182,10,0.570462
18.906275,15,0.585303
21.325504,21,0.605379
24.040432,24,0.630435
17.071265,23,0.652607
15.972614,10,0.662623
16.801719,16,0.678319
15.286475,10,0.68975
29.780363,33,0.72138
16.540355,17,0.737625
22.045912,22,0.759365
15.467038,18,0.777836
18.677264,14,0.791641
19.750433,19,0.810536
17.564909,15,0.825077
17.304182,13,0.838543
24.459951,25,0.86254
15.080753,12,0.875535
14.631682,15,0.890006
15.342971,10,0.900908
19.346389,19,0.919299
18.631225,17,0.936144
20.79012,22,0.956424
17.03225,11,0.96816
19.222911,17,0.983975
15.178496,13,0.996906
22.368149,21,1.016758
17.395201,14,1.030764
14.014756,10,1.040572
15.17785,11,1.051201
17.449404,15,1.066147
15.922201,11,1.077532
15.942446,13,1.090185
17.124816,17,1.105997
15.943619,11,1.116829
13.445033,10,1.128202
14.463419,10,1.137908
16.453726,13,1.150525
14.266227,10,1.16025
12.631428,8,1.168921
14.316182,14,1.182241
14.314231,11,1.193385
14.128781,12,1.205023
16.58206,16,1.220924
16.698245,14,1.234486
17.039913,13,1.246901
22.552159,20,1.266423
15.254078,13,1.2797
15.89496,13,1.292374
19.305089,17,1.308824
16.89263,17,1.325316
19.22641,17,1.342554
18.337149,17,1.360641
21.247487,20,1.380303
19.061624,19,1.39806
18.556374,18,1.416344
16.910992,12,1.427967
13.360973,8,1.435882
13.197033,9,1.445259
17.245739,13,1.458434
15.51197,15,1.472656
14.955149,11,1.483369
14.327571,14,1.496775
17.000266,20,1.516941
15.959711,12,1.528555
18.243207,15,1.542879
19.885546,21,1.563376
13.37956,10,1.574056
15.556954,12,1.585675
14.965583,10,1.595495
12.172883,12,1.606796
22.419385,19,1.625817
14.570761,14,1.639894
15.553957,11,1.65062
17.455907,12,1.662357
17.523073,13,1.675818
16.370673,12,1.687943
12.208792,8,1.69655
23.604348,25,1.720269
19.474292,18,1.738338
16.123148,11,1.749017
14.882255,10,1.759367
12.504337,11,1.770155
21.735733,26,1.795621
15.28572,11,1.806242
17.134532,22,1.827608
15.672444,14,1.840691
15.261382,13,1.854162
15.321501,12,1.865971
13.506482,9,1.874985
20.115565,21,1.896677
14.846097,10,1.907916
12.568438,7,1.915186
17.303828,14,1.92906
16.456257,13,1.941607
16.291186,16,1.958453
14.389418,13,1.97108
19.287262,16,1.986629
19.237618,19,2.004839
20.720572,23,2.027974
16.131586,11,2.038813
16.034601,11,2.049653
14.853962,16,2.064818
14.751589,11,2.076934
19.784752,18,2.093906
14.258657,9,2.102685
17.170639,14,2.116286
15.750448,13,2.129994
13.942736,8,2.138432
12.668625,10,2.148221
13.952386,10,2.157823
17.591057,15,2.17277
15.568419,14,2.186213
20.351466,22,2.20788
10.899137,7,2.214853
13.680855,10,2.225605
15.881719,11,2.236241
15.366671,10,2.246092
12.553248,8,2.253948
16.206067,13,2.268004
14.729413,10,2.277792
15.125454,10,2.287579
10.836201,7,2.294625
16.135498,11,2.306288
16.165398,15,2.320791
13.808192,8,2.32925
15.025169,11,2.340091
13.186067,10,2.350819
14.995414,15,2.365477
14.354121,11,2.376251
17.54013,12,2.388012
19.379662,15,2.403964
21.92982,23,2.425893
16.817188,14,2.439106
17.528644,17,2.455851
14.695408,10,2.466409
15.976233,12,2.477946
16.814054,14,2.491445
15.257971,13,2.503732
20.740375,18,2.522007
19.82491,19,2.540636
15.547209,14,2.553957
15.963571,12,2.565765
15.395463,12,2.578297
28.375493,27,2.604553
12.336962,8,2.61257
18.592942,20,2.631596
19.131082,20,2.651886
15.942832,13,2.664577
14.619649,13,2.677363
16.204739,12,2.688981
12.837122,8,2.69785
20.979202,18,2.715577
20.481617,18,2.732829
16.434579,14,2.746451
17.412431,15,2.761828
25.900279,28,2.789787
18.281031,17,2.806367
13.626347,9,2.815286
19.326798,15,2.830798
13.122942,7,2.838568
15.402731,10,2.848535
11.772716,7,2.855635
15.902472,13,2.869163
16.32099,13,2.881932
13.526218,10,2.89177
14.838644,10,2.902461
14.361696,11,2.914171
18.804446,15,2.928837
15.849617,13,2.941574
17.915592,21,2.962169
21.373552,23,2.985866
13.805648,9,2.994802
13.198386,11,3.005666
10.992357,9,3.014846
17.899312,14,3.030028
16.664454,12,3.041825
14.741256,9,3.050825
15.285783,11,3.061673
22.829343,24,3.085404
17.576738,18,3.103201
14.651476,14,3.117019
18.321173,16,3.133155
18.830103,16,3.149722
17.101037,15,3.165021
13.2785,9,3.17398
19.375274,20,3.193127
15.609439,13,3.206841
16.914604,10,3.216713
18.55067,18,3.23463
17.467812,14,3.248156
17.819811,16,3.264948
15.637277,13,3.277935
15.698667,12,3.290786
20.187383,20,3.310236
21.643464,25,3.335178
15.313436,11,3.346171
14.232959,9,3.355911
13.651685,8,3.364044
17.204009,15,3.380044
22.047244,19,3.398665
27.526793,32,3.430318
15.729748,13,3.443259
12.921976,8,3.452327
15.58441,18,3.469977
20.571939,22,3.492057
19.517342,18,3.509503
18.549316,13,3.523082
14.465089,11,3.53397
14.491783,9,3.542786
12.297913,7,3.550605
13.564859,9,3.560302
15.178006,12,3.572188
13.910722,9,3.581005
14.188317,11,3.591879
11.967081,8,3.600873
24.228957,21,3.621607
15.935378,12,3.633337
12.989185,8,3.641375
13.531751,9,3.651975
13.364184,11,3.662868
19.651734,17,3.679964
13.997207,9,3.688843
19.950291,19,3.70789
20.745165,18,3.725109
19.575275,35,3.759558
16.867479,13,3.772415
15.32795,10,3.783229
23.245546,19,3.801987
14.449461,13,3.814959
16.818456,16,3.830183
17.683742,14,3.84484
23.114388,22,3.866661
16.711318,15,3.881545
17.821798,16,3.897013
17.908729,14,3.911617
11.545687,7,3.918638
18.630111,16,3.934879
16.312617,12,3.946597
24.801932,33,3.979033
14.181006,13,3.991804
15.780311,15,4.006792
13.971959,10,4.016932
16.279639,14,4.031896
19.724605,18,4.049609
15.126664,12,4.062097
13.126616,10,4.072015
14.543849,10,4.082932
11.598899,7,4.090064
16.284033,13,4.102969
14.30442,10,4.112645
15.884508,14,4.127716
24.181279,23,4.149774
14.398975,11,4.160601
14.394961,9,4.169552
14.735859,11,4.181363
17.343975,15,4.196478
15.546811,11,4.207424
12.515064,8,4.215533
15.831668,14,4.230108
14.578346,17,4.246278
18.60328,13,4.259411
15.565567,14,4.273231
21.034035,18,4.291793
16.696196,13,4.304523
22.269858,24,4.328194
14.08001,12,4.339936
17.025163,12,4.352732
18.132885,17,4.369247
19.851533,20,4.389191
18.093431,18,4.406582
22.995013,21,4.428063
30.871984,33,4.459687
17.422671,16,4.475031
14.651971,9,4.483747
16.384071,14,4.49853
18.073879,17,4.515592
15.167771,10,4.525434
20.677528,20,4.544638
14.917183,11,4.556529
14.269348,12,4.568155
16.454367,12,4.580352
26.738597,27,4.606427
12.136094,9,4.616722
16.2511,16,4.63205
18.227541,17,4.649465
21.452123,22,4.670606
13.116762,8,4.679694
17.440012,15,4.69437
23.164611,27,4.72126
18.579661,18,4.73871
18.520806,16,4.755672
21.262247,18,4.774586
16.893191,20,4.793474
16.339198,11,4.804418
18.507221,15,4.820163
18.810782,17,4.836877
20.177787,21,4.857544
13.822701,9,4.866608
18.547732,17,4.884039
14.951648,14,4.898278
13.849532,10,4.908235
14.143816,10,4.91816
18.930892,16,4.934386
15.922362,13,4.947116
18.495817,16,4.963096
13.475562,9,4.971969
18.761859,18,4.990326
13.310053,8,4.998279
15.039118,18,5.015545
18.752408,15,5.030601
18.714937,18,5.048692
14.957802,11,5.05937
16.171176,17,5.07605
15.577215,11,5.087341
13.398263,9,5.097222
15.165236,10,5.107087
14.481157,9,5.116029
18.655007,15,5.130992
15.091714,10,5.141762
16.732585,12,5.153986
18.294006,21,5.173687
14.974657,15,5.188141
11.340971,8,5.197341
15.957781,11,5.207996
17.682834,17,5.225172
12.920173,10,5.234816
18.067004,13,5.248333
14.684394,9,5.257377
19.858922,16,5.272632
18.885822,15,5.287582
20.601091,20,5.307804
14.851824,10,5.317594
11.938076,7,5.324612
12.695008,9,5.333515
28.957922,29,5.362816
15.305657,13,5.375602
16.269262,13,5.388101
16.033955,12,5.39972
13.31539,10,5.410927
14.221053,8,5.418899
19.220071,17,5.435205
21.091558,22,5.455969
14.40629,11,5.468224
17.510645,16,5.483524
16.720048,15,5.497926
20.949336,18,5.515327
14.542146,10,5.526006
14.415803,10,5.536334
14.660601,10,5.546054
20.131879,24,5.568576
18.913344,19,5.587273
15.659626,11,5.598638
13.17734,9,5.607816
21.067013,18,5.625184
23.412027,30,5.655257
