#{"t_start": 1624279948.9230425, "env_id": "AsteroidsNoFrameskip-v4"}
r,l,t
1410.0,6748,3.87792
310.0,1372,4.601942
1030.0,4388,6.865306
880.0,3528,8.685822
980.0,3364,10.4374
1300.0,5060,13.048053
1630.0,5834,16.05786
1280.0,6908,18.053279
680.0,2864,18.80361
1300.0,7016,29.621984
780.0,3500,30.579431
1080.0,5480,32.029099
980.0,4480,33.231663
980.0,2308,33.877419
160.0,1616,34.294748
510.0,2210,34.923201
680.0,2366,35.538631
280.0,1660,36.026626
1080.0,6730,37.843216
380.0,2112,38.413525
880.0,4184,46.729885
730.0,3464,47.674943
1280.0,8904,50.022213
1280.0,8666,52.321495
530.0,2410,53.01056
1180.0,3362,53.932569
410.0,2030,54.456826
260.0,1270,54.813969
930.0,4066,55.920775
980.0,3032,56.734625
1590.0,6844,65.938073
1470.0,5810,67.47396
780.0,3264,68.368356
480.0,1640,68.852765
880.0,2856,69.584403
780.0,3288,70.510412
730.0,3594,71.529119
1490.0,7172,73.550005
880.0,3514,74.553853
880.0,3440,83.201829
730.0,2884,83.986908
380.0,2938,84.802835
1370.0,6138,86.42049
730.0,3676,87.422948
530.0,3210,88.313405
880.0,2856,89.107012
830.0,2236,89.687429
630.0,3430,90.636449
1360.0,10688,93.49065
330.0,2272,94.083522
1930.0,7744,102.189734
430.0,1256,102.575097
560.0,2026,103.095531
280.0,2572,103.820186
880.0,3684,104.820307
380.0,2334,105.420585
1300.0,6624,107.222902
780.0,3428,108.162277
780.0,3506,109.12319
260.0,1364,109.476706
680.0,5148,110.859126
1300.0,10408,122.689307
560.0,2322,123.290966
1390.0,7760,125.365353
880.0,3348,126.281494
380.0,2180,126.907528
360.0,2388,127.526325
680.0,2744,128.292949
1300.0,8698,130.620529
630.0,2898,140.18949
430.0,2720,141.578458
680.0,2246,142.713507
1390.0,8738,147.049662
1080.0,8006,151.03251
1080.0,4948,153.500289
410.0,2462,154.739758
530.0,2094,155.798872
1180.0,7574,159.573627
380.0,2204,168.828714
230.0,2002,169.844031
1300.0,5636,172.640515
1780.0,8608,176.905927
630.0,2370,178.105505
1280.0,4380,180.292943
330.0,2388,181.511482
360.0,2132,182.599852
530.0,1910,183.570511
580.0,3092,185.136102
580.0,2194,186.243575
710.0,3080,187.792538
480.0,3032,198.217835
1080.0,5776,201.099232
930.0,2264,202.231499
1030.0,3350,203.902879
980.0,3072,205.448287
1880.0,7672,209.267923
1080.0,4576,211.610329
480.0,1682,212.502329
1030.0,1760,213.393121
530.0,1686,214.249469
230.0,1976,215.250032
680.0,2246,216.31326
1130.0,4422,229.436122
380.0,2228,238.335526
280.0,2044,246.369882
1490.0,8206,279.140275
730.0,2072,287.475878
680.0,2160,296.269023
430.0,1758,303.472485
1390.0,7812,336.396514
430.0,2196,345.628662
160.0,1356,351.103038
1340.0,8206,385.837586
1340.0,8506,432.234154
330.0,2796,442.64705
630.0,3266,456.413179
430.0,2880,468.491503
310.0,1520,474.751814
1280.0,6546,502.280053
480.0,2232,511.496058
460.0,2572,522.193566
1300.0,5890,547.044876
530.0,2090,555.663934
1320.0,13464,622.883422
1280.0,13602,678.386743
680.0,3468,692.844938
1300.0,7472,724.340363
530.0,1858,732.045011
980.0,4416,758.813815
630.0,2306,768.415382
1180.0,10218,811.991282
1280.0,8016,846.155893
140.0,1170,850.932191
1300.0,5392,871.949735
1080.0,3430,886.481483
1390.0,5790,911.031723
630.0,2232,920.347664
180.0,1992,936.645249
430.0,1936,944.729184
730.0,2598,955.683004
1520.0,8694,992.704921
1130.0,2890,1004.84246
730.0,3522,1019.820185
1730.0,8772,1057.119515
1030.0,3116,1070.204132
1180.0,6710,1097.283469
980.0,3654,1125.772766
160.0,1274,1130.987655
630.0,3722,1146.69826
330.0,2110,1155.513044
380.0,1990,1163.862057
780.0,3470,1178.492841
710.0,2132,1187.483186
1440.0,5320,1210.209689
730.0,2950,1222.786847
1300.0,8098,1257.543663
830.0,2796,1269.414433
830.0,3512,1284.002814
1300.0,5562,1314.35299
380.0,1646,1321.254998
460.0,2264,1331.382844
630.0,2308,1341.662537
680.0,3286,1356.508087
1630.0,5636,1382.200063
560.0,2132,1391.692396
1300.0,3394,1406.887059
360.0,1358,1412.986939
1180.0,8388,1451.490548
1280.0,6528,1494.952907
1180.0,5820,1520.048301
630.0,3872,1537.761243
880.0,3152,1552.015011
1320.0,6804,1583.274582
980.0,4158,1602.367278
930.0,2684,1614.520433
260.0,1306,1620.370117
1080.0,4036,1638.941623
680.0,2446,1650.037344
1320.0,6560,1701.741449
410.0,2602,1713.579013
880.0,3508,1728.235125
460.0,2208,1738.437789
580.0,2470,1749.596219
1300.0,6192,1777.813867
780.0,2206,1787.699481
880.0,3592,1803.884465
410.0,1468,1810.444511
430.0,2188,1820.368536
930.0,3212,1834.858774
530.0,1766,1842.762941
330.0,1164,1847.87892
1080.0,4200,1866.850398
680.0,3318,1895.659454
1380.0,7254,1928.667503
1080.0,3972,1945.200447
1810.0,5876,1971.824265
1180.0,7202,2004.473984
1080.0,4280,2023.781022
1610.0,6002,2051.052337
630.0,2294,2061.447956
1370.0,5120,2101.48833
1390.0,10052,2146.680268
930.0,3408,2161.082838
1320.0,4686,2182.423052
630.0,2680,2194.535066
980.0,4364,2214.362601
930.0,3546,2230.45525
880.0,4282,2249.878748
1390.0,4788,2271.783784
830.0,2016,2289.573577
1180.0,3514,2305.559933
980.0,4046,2323.864921
1410.0,5388,2348.380242
1420.0,7526,2381.491447
1180.0,5256,2405.52385
1500.0,6174,2433.745115
980.0,2408,2444.523438
230.0,2212,2454.617272
630.0,2440,2465.661809
1300.0,7620,2512.691352
1340.0,7586,2547.407723
380.0,2544,2558.976053
110.0,1342,2565.006454
430.0,2746,2576.757484
1280.0,7042,2608.317554
510.0,2364,2619.114439
430.0,3344,2634.369634
260.0,1954,2643.142068
860.0,4454,2672.589203
980.0,3066,2686.639354
530.0,3064,2700.536294
1430.0,5264,2724.636295
230.0,1438,2731.058879
630.0,1858,2739.471767
880.0,3056,2753.330504
430.0,2888,2766.447312
780.0,2434,2777.563275
380.0,2394,2788.239098
830.0,4292,2806.793828
1300.0,5818,2833.617179
760.0,2412,2844.615093
260.0,2384,2855.486607
880.0,3120,2883.329842
680.0,3356,2898.686246
580.0,1944,2907.520149
460.0,2408,2918.531082
560.0,1682,2926.260888
330.0,1576,2933.42677
430.0,2204,2943.359574
1280.0,6716,2974.319074
1280.0,5350,2998.859473
480.0,1758,3006.253923
680.0,3490,3021.04639
730.0,2652,3033.159247
480.0,2444,3044.346433
780.0,3408,3074.766365
1350.0,5596,3100.57623
780.0,2702,3113.004544
1300.0,7652,3148.147305
1300.0,5558,3173.715858
1510.0,11464,3226.208198
1370.0,6526,3266.265692
430.0,2314,3276.884519
680.0,3162,3291.176708
380.0,2390,3302.053267
480.0,2082,3311.490327
1280.0,6960,3343.507074
1080.0,4170,3362.497083
360.0,2300,3372.896129
1320.0,5062,3396.096903
580.0,3022,3409.900557
1340.0,4368,3429.942139
430.0,2312,3440.413274
430.0,2090,3449.48314
630.0,2796,3474.041362
310.0,1356,3480.058764
1080.0,3972,3498.406723
330.0,1720,3506.143983
930.0,3306,3521.259169
160.0,1218,3526.657492
980.0,2932,3539.9714
780.0,3108,3554.199428
1430.0,5416,3578.986273
380.0,2064,3588.336042
1300.0,3918,3606.29124
630.0,2432,3617.379558
630.0,2792,3630.10216
780.0,4576,3661.78017
1540.0,8512,3699.821392
1350.0,7152,3732.849739
1080.0,4454,3753.336347
480.0,2338,3763.998627
190.0,1270,3769.686413
530.0,2166,3779.609582
780.0,2982,3793.169895
