#{"t_start": 1624360400.0466425, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,802,3.878789
0.0,520,4.189377
1.0,701,4.598748
0.0,525,4.911758
3.0,1000,5.481123
1.0,711,5.889955
0.0,518,6.191395
3.0,1014,6.742293
0.0,515,7.031075
3.0,1094,7.623531
4.0,1217,8.356453
3.0,944,8.986764
6.0,1532,9.942661
2.0,828,10.411324
1.0,712,10.893791
2.0,885,11.409702
4.0,1204,12.164353
5.0,1390,12.993016
1.0,624,13.356922
2.0,746,13.845073
2.0,811,14.399423
0.0,508,14.708633
0.0,520,15.00977
4.0,1000,15.641068
2.0,815,16.184999
2.0,747,16.636055
0.0,527,16.941375
0.0,536,17.282618
4.0,1216,18.073594
2.0,801,18.537827
4.0,1063,19.169866
5.0,1408,20.057184
0.0,509,20.372373
0.0,522,20.681602
0.0,515,21.017096
1.0,703,21.515081
1.0,629,21.886619
0.0,525,22.239856
1.0,716,22.645843
0.0,516,22.979479
3.0,1018,23.647255
2.0,748,24.083532
3.0,1104,24.790607
0.0,525,25.169307
1.0,654,25.540641
1.0,632,25.953228
1.0,701,26.360097
0.0,508,26.67425
3.0,1009,27.290111
0.0,520,27.592881
0.0,517,27.975624
5.0,1258,28.732759
1.0,719,29.147288
0.0,533,29.475365
2.0,926,30.008441
2.0,739,32.903122
4.0,1142,33.62737
0.0,531,33.927481
0.0,517,34.277415
8.0,1510,35.17731
0.0,541,35.538182
0.0,519,35.846726
0.0,516,36.156676
1.0,711,36.616064
2.0,769,37.097598
1.0,736,37.522621
0.0,517,37.899071
0.0,521,38.198241
7.0,1708,39.302111
5.0,1420,40.20268
0.0,520,40.547898
3.0,952,41.140527
3.0,942,41.74693
2.0,914,42.327682
0.0,512,42.622496
2.0,823,43.172007
0.0,527,43.504385
5.0,1480,44.40602
0.0,527,44.705548
2.0,750,45.170677
4.0,1115,45.900728
0.0,508,46.244185
5.0,1426,47.112631
2.0,810,47.569949
1.0,725,47.987263
2.0,902,48.56512
0.0,528,48.862747
8.0,1510,49.779258
4.0,1164,50.593964
6.0,1438,51.444414
0.0,516,51.746935
1.0,704,52.21484
2.0,894,52.821543
1.0,637,53.185756
1.0,635,53.674952
0.0,529,53.975767
3.0,1096,54.614858
1.0,628,55.042575
1.0,646,55.43432
1.0,720,55.891909
1.0,697,56.36533
1.0,698,56.766494
3.0,1025,57.380392
2.0,827,57.875345
0.0,541,58.183674
0.0,515,58.499782
3.0,1088,59.177086
1.0,718,59.586775
2.0,746,62.197261
1.0,698,62.61915
0.0,509,62.908934
1.0,653,63.339731
3.0,943,63.888037
2.0,915,64.406695
4.0,1216,65.137252
0.0,532,65.461041
1.0,719,65.965738
2.0,758,66.394056
0.0,517,66.791162
2.0,813,67.33364
0.0,543,67.650948
3.0,890,68.182723
1.0,698,68.583729
1.0,641,68.980024
0.0,533,69.284199
1.0,699,69.754568
1.0,741,70.206592
0.0,520,70.502231
4.0,1111,71.217952
2.0,922,71.811161
2.0,836,72.29871
0.0,543,72.627576
0.0,527,72.995127
0.0,500,73.285537
1.0,709,73.710084
1.0,723,74.149526
1.0,709,74.623021
2.0,820,75.100957
4.0,1314,75.963086
1.0,704,76.361261
0.0,517,76.671336
3.0,1008,77.236826
1.0,636,77.653118
0.0,503,77.949044
0.0,532,78.281927
4.0,1124,78.95319
0.0,503,79.24021
4.0,1204,79.931063
2.0,894,80.49877
0.0,508,80.789045
1.0,702,81.229951
2.0,895,81.768014
3.0,998,82.385765
2.0,906,82.974422
0.0,523,83.266963
0.0,499,83.647442
0.0,511,83.981499
0.0,528,84.372515
4.0,1136,85.104594
0.0,535,85.403961
2.0,727,85.897314
0.0,518,86.217661
0.0,519,86.547427
2.0,818,87.042699
2.0,818,87.589356
0.0,517,87.928437
2.0,832,88.399724
2.0,912,89.018945
1.0,655,92.953448
2.0,829,93.418819
0.0,536,93.752821
0.0,493,94.05629
0.0,515,94.419637
0.0,519,94.717667
0.0,515,95.03409
3.0,954,95.65935
1.0,694,96.059676
1.0,693,96.530332
0.0,524,96.835516
1.0,712,97.32059
0.0,507,97.680534
1.0,649,98.071626
3.0,999,98.72311
0.0,513,99.027471
1.0,710,99.455375
0.0,523,99.81712
2.0,819,100.293155
0.0,523,100.629622
1.0,639,100.991413
0.0,536,101.352631
0.0,496,101.638204
1.0,621,102.065654
1.0,702,102.472619
4.0,1207,103.201937
1.0,625,103.578975
4.0,1126,104.250464
0.0,528,104.55731
1.0,709,104.990824
0.0,525,105.32529
1.0,647,105.692104
1.0,720,106.115618
