#{"t_start": 1622124476.6552303, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.316109
98.046043,206,1.566111
489.975109,1000,2.774871
113.459319,246,3.074585
483.864999,1000,4.2916
408.058234,859,5.352252
502.951513,1000,6.591114
41.678752,83,6.692809
555.221435,1000,7.917082
519.64579,1000,9.125714
510.671148,1000,10.337519
514.711494,1000,11.564099
474.020297,1000,24.678247
390.210847,1000,57.799994
42.213704,164,62.104993
219.391144,637,83.146942
238.316993,500,99.597584
2.732774,20,99.647504
2.836368,20,99.697896
15.501458,98,103.78219
2.35194,20,103.836529
28.270525,81,107.926824
1.305943,24,107.986057
457.091775,1000,141.387518
344.557099,1000,172.800858
221.216885,481,189.40464
409.634969,1000,220.233066
330.151601,1000,252.847934
388.136358,1000,285.601354
413.292401,1000,316.179468
381.309002,1000,359.206927
433.303732,1000,389.698181
515.408699,1000,422.135942
534.769948,1000,454.674021
473.738567,1000,485.899563
575.001163,1000,518.882303
426.179827,1000,551.459318
426.065872,1000,582.356354
532.16261,1000,615.486513
603.009182,1000,646.579666
136.982748,480,662.941215
95.274979,268,682.41352
550.918959,1000,715.509399
577.990506,1000,747.44299
250.38147,369,759.973621
611.396741,1000,793.45295
546.030919,1000,824.793584
502.232669,1000,858.074741
378.705648,1000,891.463604
473.115879,1000,922.95127
471.784295,1000,956.273954
475.314058,1000,989.514833
580.794977,1000,1032.279557
479.00327,1000,1065.357877
629.789136,1000,1096.540797
610.139581,1000,1129.873208
474.664774,1000,1162.995656
550.566807,1000,1194.253722
465.269277,1000,1227.266105
395.571881,1000,1260.844583
607.378103,1000,1292.547995
580.01486,1000,1325.742313
674.856888,1000,1369.004386
665.22606,1000,1402.502328
402.422173,1000,1436.175853
563.857226,1000,1468.255694
461.926903,1000,1501.40062
641.502801,1000,1534.527163
697.601275,1000,1565.584062
648.325968,1000,1598.548404
720.243857,1000,1629.714702
523.506207,1000,1662.897575
385.594882,1000,1707.116039
518.630214,1000,1738.634007
681.336665,1000,1771.986739
595.664347,1000,1805.128778
532.441316,1000,1836.449327
645.360568,1000,1869.498586
652.588202,1000,1900.713279
362.199592,1000,1933.931039
664.472328,1000,1967.220985
698.010895,1000,1998.589297
561.453599,1000,2043.752478
326.558321,1000,2077.463511
585.940575,1000,2109.321073
638.316228,1000,2143.362269
709.092189,1000,2175.58152
629.220375,1000,2210.263309
737.112958,1000,2244.87033
727.440776,1000,2277.398544
616.596217,1000,2312.31783
561.254834,1000,2347.543693
642.690324,1000,2392.023897
516.673471,1000,2427.481914
704.212637,1000,2461.146667
691.979656,1000,2496.765885
559.815537,1000,2532.994988
716.366034,1000,2567.065127
654.355973,1000,2603.062765
617.674417,1000,2638.91364
761.531792,1000,2672.35332
703.13044,1000,2707.881521
721.150088,1000,2752.356906
711.198213,1000,2787.992065
725.157555,1000,2824.121048
653.471341,1000,2858.140306
748.45358,1000,2894.393811
717.132553,1000,2930.784216
754.821903,1000,2965.145225
760.172925,1000,3001.121664
714.579957,1000,3035.015021
720.191056,1000,3071.011184
692.815455,1000,3117.900425
716.657882,1000,3151.806225
713.40509,1000,3187.707771
896.12189,1000,3223.683553
626.207754,1000,3257.642956
698.176377,1000,3293.613473
713.781027,1000,3327.439317
624.211278,1000,3363.32943
731.170064,1000,3399.238991
598.466609,1000,3433.15701
750.801573,1000,3480.270251
771.447066,1000,3516.255435
684.787688,1000,3550.811465
754.735155,1000,3587.29653
676.88491,1000,3621.538892
820.376774,1000,3657.8874
723.484565,1000,3694.14911
790.783585,1000,3728.400839
705.828198,1000,3764.330706
623.675963,1000,3800.469678
908.438659,1000,3844.522984
693.159016,1000,3881.504803
552.969717,1000,3916.243382
1088.371675,1000,3952.579655
671.828049,1000,3988.913075
767.234061,1000,4023.138526
966.182362,1000,4059.391591
591.726587,1000,4095.500479
738.144331,1000,4129.602028
765.890838,1000,4165.620534
680.276645,1000,4211.895372
896.818594,1000,4248.295902
884.99621,1000,4284.583479
764.463531,1000,4318.597334
