#{"t_start": 1626205735.541319, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.963058
98.046043,206,2.371181
489.975109,1000,4.338253
113.459319,246,4.818741
483.864999,1000,6.748156
408.058234,859,8.418899
502.951513,1000,10.393988
41.678752,83,10.559683
555.221435,1000,12.519641
519.64579,1000,14.471221
510.671148,1000,16.499136
514.711494,1000,18.509374
483.304647,1000,31.546385
507.501981,1000,62.981851
571.36424,1000,93.068796
469.539452,1000,125.047553
438.677887,1000,155.18068
675.462589,1000,187.062923
392.344397,912,215.065938
3.334134,22,216.956141
87.079474,185,222.935574
523.518069,1000,252.776951
510.911873,1000,284.313124
542.015554,1000,312.802594
501.282199,1000,357.284638
482.326094,1000,388.862069
376.075993,1000,418.789547
5.444535,20,420.65221
6.36226,20,420.725806
7.944147,20,420.778673
6.033078,20,422.623149
8.21962,24,422.691109
20.289546,44,424.638919
3.430589,21,424.695997
26.628772,95,426.801772
4.250225,20,428.661542
5.659288,20,428.734165
4.617436,20,428.79055
10.540579,34,430.695919
609.116816,1000,460.469753
21.325065,102,464.399923
410.157764,1000,496.207942
528.40546,1000,526.204511
677.16983,1000,557.970256
506.109519,1000,589.757869
318.566808,613,607.662174
400.802212,1000,638.042176
550.767236,1000,680.561127
483.479966,1000,712.161712
699.158513,1000,743.717949
649.671038,1000,773.679786
684.771167,1000,805.349926
701.861479,1000,837.13985
124.5175,238,843.221316
630.320746,1000,874.959041
676.383908,1000,904.793433
569.592565,1000,936.411981
506.50772,1000,966.686902
563.287387,1000,1009.820637
548.87204,1000,1041.369296
652.921365,1000,1072.842273
337.641132,1000,1102.692026
696.950158,1000,1134.582719
538.384876,1000,1164.577134
591.212817,1000,1196.216668
638.896512,1000,1227.943104
568.585315,1000,1257.718529
589.979147,1000,1287.993558
613.572017,1000,1331.291936
730.193304,1000,1361.139885
542.964662,1000,1392.45495
484.237469,1000,1422.152599
776.731859,1000,1453.717516
580.902354,1000,1485.446444
588.851566,1000,1515.370031
720.848472,1000,1546.991365
674.353871,1000,1578.470644
503.787115,1000,1606.67092
678.956983,1000,1651.275395
665.842644,1000,1681.576162
724.681803,1000,1713.702453
591.547677,1000,1745.669923
523.293025,1000,1775.756659
722.310522,1000,1807.966629
724.684178,1000,1840.075941
441.991763,1000,1870.427023
496.227758,1000,1902.437105
530.612017,1000,1931.807394
329.352826,394,1958.639804
712.540691,1000,1988.947866
501.349928,1000,2021.303064
515.607673,1000,2053.729446
173.052162,232,2059.956925
444.552793,1000,2092.505399
559.080047,1000,2122.957229
554.067307,1000,2155.660713
605.195183,1000,2188.537643
723.693628,1000,2219.378524
520.015492,1000,2252.218998
793.699896,1000,2297.13474
494.228398,1000,2328.292957
501.636571,1000,2361.395689
157.718734,236,2367.731327
723.12049,993,2401.122601
709.586258,1000,2434.647429
649.54812,1000,2465.983917
653.209465,1000,2499.285882
763.502149,1000,2530.913051
742.635301,1000,2564.324771
615.18287,1000,2597.26747
838.784575,1000,2641.899222
746.369648,1000,2675.869896
683.186743,1000,2709.649161
767.273836,1000,2741.548821
795.25331,1000,2775.23847
739.072615,1000,2806.88999
698.683787,1000,2840.334478
518.101722,1000,2874.052207
436.706646,1000,2905.595402
783.150707,1000,2938.36345
728.304699,1000,2984.933683
549.96895,1000,3016.671872
740.835838,1000,3050.403054
714.891125,1000,3081.973908
781.204365,1000,3115.41774
562.906968,1000,3148.560661
757.254434,914,3177.69943
707.44691,1000,3210.706872
405.322954,482,3225.292979
63.172745,177,3231.457011
540.780236,1000,3264.597622
660.827799,1000,3307.80572
834.577659,1000,3341.19962
746.458772,1000,3372.649434
616.481056,1000,3406.018288
647.072245,1000,3439.338172
496.855552,1000,3470.826429
547.360488,1000,3504.211003
760.709994,1000,3537.659888
718.886242,1000,3568.830929
621.316524,1000,3602.163787
345.246386,364,3613.380843
667.618948,1000,3661.295449
715.277526,1000,3697.194003
646.722007,1000,3731.016231
838.350804,1000,3766.833927
515.834906,1000,3802.892777
544.950025,1000,3836.837361
669.184965,1000,3872.906574
812.251786,1000,3906.640655
698.007942,1000,3942.427674
439.745539,439,3957.628711
721.582592,1000,4007.938787
531.186544,1000,4041.96199
862.323576,1000,4078.211057
496.471779,1000,4112.417415
802.722882,1000,4148.438958
635.464629,1000,4184.301594
776.264993,1000,4218.047334
861.76505,1000,4253.718697
433.587819,1000,4289.261791
578.370229,1000,4322.685054
676.415409,1000,4372.428272
821.960215,1000,4406.29054
831.498158,1000,4442.075982
719.697701,1000,4477.842188
521.146408,1000,4511.603077
746.465314,1000,4547.351182
747.700534,1000,4583.083567
620.891177,663,4605.380672
189.401076,221,4612.24279
346.941309,487,4630.146093
587.315976,1000,4665.892868
629.615397,1000,4699.57229
474.661424,1000,4745.437402
572.973105,1000,4781.745303
546.851936,1000,4815.754419
563.169739,1000,4851.691283
558.767026,1000,4885.553025
648.376609,1000,4921.381185
479.757808,1000,4957.165923
546.112605,1000,4990.338836
419.486447,769,5016.879759
239.008879,351,5029.975365
502.540051,1000,5063.819323
408.94283,679,5099.930273
456.822801,565,5119.992955
708.261722,975,5153.581423
601.984579,1000,5189.465831
451.505254,1000,5223.253776
478.891717,1000,5258.950607
217.515321,204,5265.630816
460.453718,1000,5301.451232
359.298059,1000,5334.864452
265.260152,1000,5370.406632
317.988622,1000,5406.173057
490.313046,1000,5439.912632
554.602197,1000,5485.863855
458.063288,877,5517.170854
612.44279,1000,5550.996671
170.172582,172,5557.658281
808.14773,1000,5593.332103
529.824922,573,5611.436895
478.266621,1000,5647.368515
598.767854,1000,5682.90628
484.982305,1000,5716.18898
435.324115,1000,5751.716158
604.293908,1000,5787.667782
849.977154,1000,5835.627746
951.957289,1000,5871.514925
683.958619,1000,5905.381334
812.752767,1000,5940.997038
797.633942,840,5970.244484
856.574611,1000,6005.806177
723.095539,1000,6039.459089
400.57403,523,6059.448087
848.676664,1000,6092.988525
610.990047,1000,6128.673904
489.438899,1000,6164.685114
605.623165,1000,6212.817413
742.233874,1000,6248.622661
773.250139,1000,6282.215967
555.457551,1000,6317.170407
618.405941,1000,6349.402364
622.72037,1000,6380.855219
662.010472,1000,6414.441418
855.805438,1000,6447.803026
758.80522,1000,6479.044951
637.341996,1000,6512.49396
1149.996092,1000,6555.408068
1148.286561,1000,6588.84522
884.062197,1000,6621.973687
674.98776,1000,6653.525301
766.590814,1000,6685.885496
1092.598103,1000,6719.008988
1028.247549,1000,6750.535799
972.004621,1000,6783.88456
934.175981,1000,6815.221837
857.136751,1000,6848.470294
826.67476,1000,6891.651265
659.238315,1000,6923.223166
703.228268,1000,6956.37928
371.541901,285,6964.821792
1127.908742,1000,6998.229864
615.788247,1000,7030.651674
853.845445,1000,7062.084747
645.691555,1000,7095.55091
885.704437,1000,7126.991379
748.474863,1000,7160.408256
769.87466,1000,7206.277531
846.464835,1000,7237.810628
1134.778251,1000,7271.234333
895.549408,1000,7304.367131
925.584911,1000,7335.971698
1312.528477,1000,7368.727286
839.948311,1000,7399.76543
892.38228,1000,7433.177471
1061.096066,1000,7466.588095
1090.353274,1000,7498.109883
1214.134345,1000,7543.777031
1106.987154,1000,7577.240614
1435.335474,1000,7608.838445
1395.772042,1000,7642.02062
1344.791602,1000,7673.536811
1240.970104,1000,7706.643444
1279.485477,1000,7739.2994
911.589417,1000,7770.819898
1371.644679,1000,7804.22096
1067.669724,1000,7837.679248
1076.174642,1000,7881.98179
1150.780827,1000,7915.208116
1225.956114,1000,7946.749458
1185.1823,1000,7980.032336
1420.722636,1000,8013.49939
1136.964355,1000,8044.92078
1437.102518,1000,8077.29754
1105.354775,1000,8110.738715
1510.425299,1000,8142.148227
909.256951,1000,8175.73236
1469.597954,1000,8220.075698
1358.622856,1000,8253.435665
1452.389294,1000,8286.833801
1565.362538,1000,8318.110219
1561.80876,1000,8351.659582
859.804788,1000,8385.129921
1623.416913,1000,8415.460475
1065.500248,1000,8448.946113
1591.492055,1000,8480.298074
1640.449608,1000,8513.822855
1561.298563,1000,8559.900527
1578.651445,1000,8591.511717
1704.423416,1000,8624.835376
1765.617523,1000,8658.108793
1753.298182,1000,8689.610115
646.051164,1000,8723.051503
1840.274866,1000,8753.491348
1313.505595,1000,8787.123749
1496.049413,1000,8820.61727
1890.578732,1000,8852.26455
1694.330259,1000,8898.578391
1606.74435,1000,8932.134402
1865.040713,1000,8963.658671
1888.315922,1000,8996.630511
1665.420833,1000,9028.129063
1774.125967,1000,9061.568786
1120.919913,1000,9093.95057
1977.951642,1000,9125.489355
1885.685444,1000,9158.864743
1730.991055,1000,9192.320568
1990.75854,1000,9236.534562
1981.986333,1000,9270.02601
2066.016023,1000,9301.628052
1939.531783,1000,9334.724755
2111.472194,1000,9368.133778
2093.656605,1000,9399.610541
2043.461338,1000,9431.829626
2152.201109,1000,9465.281151
2082.22911,1000,9496.837638
2063.690137,1000,9530.406365
2158.271442,1000,9574.612364
2185.831476,1000,9608.175598
2091.135578,1000,9641.794051
2128.297002,1000,9673.322187
2105.058329,1000,9706.43879
2169.585672,1000,9739.9173
2163.7305,1000,9770.249728
2209.402686,1000,9803.644158
2160.149167,1000,9835.1554
2252.038771,1000,9868.645144
2251.408968,1000,9914.719211
2253.460247,1000,9946.298537
2275.033282,1000,9979.6749
2250.600235,1000,10013.032027
2235.835957,1000,10044.341585
2235.174978,1000,10077.705487
2201.049757,1000,10108.301384
2345.133378,1000,10141.317203
2239.19203,1000,10174.80597
2292.98616,1000,10206.361522
2320.273158,1000,10252.302606
2301.228551,1000,10285.79529
2304.701412,1000,10317.451277
2257.453663,1000,10350.873226
2292.430513,1000,10382.300767
2340.40985,1000,10415.66858
2091.543814,1000,10448.427546
2282.794794,1000,10479.244728
2317.20664,1000,10512.710376
2249.949764,1000,10546.175593
2365.121195,1000,10590.309358
2307.52489,1000,10623.728019
2340.963975,1000,10655.332344
2298.982589,1000,10688.868615
2361.523788,1000,10722.061967
2340.497026,1000,10753.595474
2358.647313,1000,10786.541052
2332.517035,1000,10819.06887
2410.694206,1000,10850.659982
2419.300482,1000,10884.104575
2487.085186,1000,10928.290376
2452.336249,1000,10961.811132
2503.333533,1000,10995.271983
2457.499656,1000,11026.787942
2445.380678,1000,11060.108764
2444.349513,1000,11093.621232
2466.180146,1000,11124.895682
2439.829584,1000,11157.052913
2371.353238,1000,11188.65194
2427.562863,1000,11222.099725
2400.700078,1000,11268.014617
2365.283852,1000,11299.557773
1118.695259,1000,11333.080024
1500.490953,1000,11366.640702
2376.557547,1000,11397.99853
2224.306047,1000,11431.719192
166.752397,130,11435.919647
161.76037,137,11440.167306
2279.436802,1000,11473.2839
2485.042459,1000,11503.632923
2496.838104,1000,11537.190246
2490.656594,1000,11570.790903
2573.672542,1000,11614.724983
2477.566057,1000,11648.294335
2484.902674,1000,11680.01995
2559.097775,1000,11713.680017
2514.71023,1000,11746.939502
2455.348346,1000,11778.541179
2540.88095,1000,11811.774988
2556.601142,1000,11843.788615
2489.97814,1000,11875.083216
2576.812326,1000,11908.436285
2588.251382,1000,11952.138479
2538.610028,1000,11985.487301
2623.482783,1000,12018.806519
2586.418404,1000,12050.182497
2622.872369,1000,12083.291536
2633.785778,1000,12116.561352
2659.11623,1000,12147.787746
2674.520641,1000,12180.85588
2585.528936,1000,12210.930828
2660.413817,1000,12244.20501
2651.411511,1000,12289.828174
2639.168933,1000,12321.25001
2610.786804,1000,12354.656568
2699.573673,1000,12387.97993
2639.249863,1000,12419.078486
2742.084532,1000,12452.289434
2617.823968,1000,12483.516749
2217.897547,888,12512.7482
2670.566691,1000,12545.818407
2636.140927,1000,12577.841251
2655.190714,1000,12621.474082
2733.915044,1000,12654.746009
2794.58757,1000,12686.10356
2722.358765,1000,12719.383479
2789.782454,1000,12752.415372
2813.063206,1000,12784.030205
2834.092212,1000,12817.46703
2759.177683,1000,12850.852205
2731.413875,1000,12882.360087
2663.712435,1000,12915.080994
2768.737947,1000,12958.455135
2748.345904,1000,12992.053676
2778.972694,1000,13025.506224
2814.988097,1000,13057.180002
2728.217254,1000,13090.531106
2842.661578,1000,13123.842571
2817.568006,1000,13155.315318
2794.197585,1000,13188.778007
2783.397124,1000,13220.255244
2778.517549,1000,13253.536664
2851.901249,1000,13297.893884
2840.683893,1000,13329.421776
2798.154947,1000,13362.903333
2774.488672,1000,13396.271979
2858.172683,1000,13427.773897
2822.148624,1000,13460.922961
2756.870113,1000,13492.419434
2775.517347,1000,13525.646982
2794.422215,1000,13559.064168
2855.689482,1000,13590.394659
2873.759501,1000,13634.619511
2826.985868,1000,13667.759079
2839.879677,1000,13699.267261
2852.344813,1000,13732.591462
2753.112383,1000,13764.099664
2843.24858,1000,13797.189025
2803.570467,1000,13830.567347
2812.831162,1000,13861.919995
2831.389719,1000,13895.391823
2843.466069,1000,13928.926851
2844.240367,1000,13971.17685
2879.489084,1000,14004.446394
2841.640098,1000,14035.611291
2807.387237,1000,14069.21104
2844.572797,1000,14102.862585
2845.884492,1000,14134.51616
2752.826398,1000,14168.142871
576.178699,1000,14201.910842
2772.822994,1000,14233.542445
2725.953674,1000,14267.212756
759.202317,1000,14309.978541
2914.250895,1000,14343.458125
2797.656395,1000,14376.993943
2949.778839,1000,14408.79383
2909.286246,1000,14442.410533
2950.92867,1000,14476.134766
2898.599906,1000,14507.870231
2931.586479,1000,14541.452074
2936.949332,1000,14573.117649
2866.399085,1000,14606.654239
2903.337692,1000,14650.928847
2883.332365,1000,14681.982793
2900.29513,1000,14714.820135
2916.787853,1000,14747.788193
2908.817659,1000,14778.83084
2967.824728,1000,14811.788167
2960.406148,1000,14842.940168
2981.846268,1000,14875.840262
2914.719269,1000,14908.808768
2893.787355,1000,14939.948974
2841.950534,1000,14983.415195
2928.449932,1000,15016.416688
2895.405383,1000,15047.34215
2885.732638,1000,15080.214674
2942.239241,1000,15111.306858
2959.210374,1000,15144.312197
2981.563812,1000,15177.353023
2949.861569,1000,15208.426815
2933.004661,1000,15241.435424
2977.705813,1000,15274.43986
2950.313849,1000,15316.261058
2986.993913,1000,15349.217728
2974.674352,1000,15380.303501
2936.654392,1000,15413.054229
3024.009684,1000,15445.775254
2921.823056,1000,15476.770683
2926.15617,1000,15509.711409
2911.022325,1000,15542.531092
2967.186956,1000,15573.596654
2927.363225,1000,15606.562792
2942.042497,1000,15649.368708
2977.261129,1000,15681.604191
2993.622682,1000,15714.500317
2998.136175,1000,15745.434157
3009.263118,1000,15778.146533
3061.663478,1000,15810.850327
3015.894145,1000,15841.786146
2932.321823,1000,15874.727342
3037.067387,1000,15905.725992
2961.372475,1000,15938.785917
3035.724779,1000,15984.217721
3012.341276,1000,16014.301774
3016.136498,1000,16047.375414
3020.159824,1000,16080.42632
2997.201238,1000,16111.424574
3034.857848,1000,16144.408327
3080.658519,1000,16175.40625
2896.62377,1000,16208.446143
3054.386251,1000,16241.33407
3088.171435,1000,16272.40712
3005.122282,1000,16317.720049
