#{"t_start": 1626205693.1078393, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.200242
98.046043,206,1.438321
489.975109,1000,2.606067
113.459319,246,2.892447
483.864999,1000,4.04557
408.058234,859,5.045419
502.951513,1000,6.222378
41.678752,83,6.318139
555.221435,1000,7.474854
519.64579,1000,8.646355
510.671148,1000,9.817485
514.711494,1000,10.992205
471.174241,1000,18.574656
317.371607,1000,42.5613
27.426653,209,48.181758
3.711824,26,48.234924
0.468891,23,49.937622
247.294662,1000,77.726065
278.811212,1000,109.766387
93.872938,1000,139.854601
122.981549,395,153.714268
202.695563,663,173.846125
98.124277,363,185.779303
181.12051,1000,215.760795
396.842405,1000,247.736032
34.853437,134,251.749301
375.641843,1000,283.740517
419.13773,1000,326.924962
316.990337,1000,358.695284
359.390587,1000,388.431382
320.293884,1000,418.171879
511.168134,1000,450.114763
386.054522,1000,480.162583
349.923234,1000,512.09003
102.905652,1000,543.962867
266.576176,1000,574.179184
1.977711,27,576.098304
-2.318191,22,576.149032
274.633003,537,592.204721
19.90232,86,596.048453
26.560672,125,600.026554
605.548637,1000,643.295695
505.297111,1000,674.91327
432.544276,1000,706.408749
24.50354,81,708.456979
31.270045,86,710.515698
38.047421,93,714.392675
422.528805,1000,744.319595
349.498373,1000,773.992364
293.037569,1000,804.170732
374.440624,1000,836.092214
500.77327,1000,867.929357
394.507593,1000,897.94478
451.898099,946,927.782728
473.845364,1000,972.852933
349.484401,1000,1002.768345
344.287963,1000,1034.472651
447.840463,1000,1066.166195
463.403191,1000,1096.113504
524.079248,1000,1125.65845
423.246722,1000,1157.54173
472.002911,1000,1187.56583
521.687442,1000,1219.412066
536.862467,1000,1249.520223
482.887485,1000,1294.609146
462.710115,1000,1326.231825
534.141354,1000,1356.039699
552.520981,1000,1387.804718
479.395076,1000,1419.490499
599.774921,1000,1449.387053
552.66872,1000,1479.192956
621.62725,1000,1509.327984
560.262672,953,1539.289651
472.918281,790,1565.109622
514.583124,1000,1595.135364
585.504301,1000,1640.245163
485.055554,1000,1671.701172
581.621772,1000,1701.5676
553.791735,1000,1733.301918
524.146016,1000,1763.279287
698.715309,1000,1794.966192
567.701149,1000,1824.57968
645.884463,1000,1854.762277
509.524661,1000,1886.796943
715.335197,1000,1918.729928
