#{"t_start": 1626293119.6405165, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,2.145508
98.046043,206,2.57568
489.975109,1000,4.736039
113.459319,246,5.227518
483.864999,1000,6.783664
408.058234,859,8.411931
502.951513,1000,10.597713
41.678752,83,10.779131
555.221435,1000,12.755844
519.64579,1000,14.3131
510.671148,1000,15.871111
514.711494,1000,17.447025
482.264284,1000,30.200602
432.328336,1000,62.484097
46.194673,152,66.635996
131.926211,406,79.033803
299.149242,722,103.56393
4.729418,20,103.610178
4.635945,20,103.656116
4.619389,20,103.702384
5.613551,100,107.772776
1.38658,20,107.818757
392.781659,1000,140.46977
240.723852,1000,173.077976
352.163454,1000,203.725976
38.878201,155,209.767635
60.422557,257,217.886655
3.217959,51,218.004399
453.089067,1000,250.600618
421.463163,1000,283.193363
425.201553,1000,313.895426
407.16455,1000,356.969887
479.89415,1000,389.455278
529.540858,1000,420.130326
629.087212,1000,452.848541
274.50185,1000,483.5887
71.544783,142,489.587849
45.314291,121,493.630729
-0.033661,23,493.684078
-0.538731,22,493.732448
534.888231,1000,526.253638
527.699982,1000,558.713777
475.020921,1000,589.303265
336.335142,1000,621.832107
439.914889,1000,652.497447
373.561071,1000,695.364206
278.964493,1000,727.244133
557.253615,1000,757.668932
8.709743,115,761.708029
483.731336,1000,794.055503
558.025593,1000,824.617406
226.453516,402,838.672518
637.83392,1000,869.191957
618.194747,1000,901.627006
403.308484,1000,932.173949
678.470252,1000,964.659591
552.348951,1000,1008.080277
550.025504,1000,1038.617714
514.973923,1000,1070.775431
414.748455,774,1095.242224
633.37665,1000,1127.888614
677.225749,1000,1158.713552
470.590169,1000,1191.410327
423.402923,1000,1224.089299
286.484135,1000,1254.927854
423.912692,1000,1287.65784
595.043296,1000,1318.394829
618.864601,1000,1362.075623
379.216746,1000,1394.821897
604.364119,1000,1425.187418
582.316294,1000,1457.661022
684.467425,1000,1490.345862
501.193551,1000,1521.227801
488.68654,1000,1553.936723
508.710166,1000,1584.726732
597.55207,1000,1617.511364
621.26027,1000,1650.2575
528.213202,1000,1689.978927
525.220707,1000,1722.651317
607.484066,1000,1755.32808
479.800199,1000,1785.914865
411.120219,1000,1818.947439
610.502259,1000,1850.013943
542.725735,1000,1883.079226
425.738603,1000,1916.035987
570.054688,1000,1947.119837
598.007883,1000,1980.227907
436.344586,1000,2024.49948
346.219441,1000,2055.911549
483.705532,1000,2089.322973
635.383225,1000,2120.676975
279.066086,1000,2153.663333
612.364888,1000,2187.162338
591.153328,1000,2218.741999
503.457844,1000,2252.374084
308.263836,1000,2286.141552
408.811358,1000,2317.954622
414.075567,1000,2362.940413
387.674533,1000,2394.794475
472.757469,842,2425.060833
671.83698,1000,2457.297592
686.081227,1000,2491.17047
724.112109,1000,2523.209452
677.969759,1000,2557.51494
734.283924,1000,2592.043905
61.790227,106,2594.332458
459.022072,1000,2628.674013
800.490792,1000,2663.030908
556.718705,1000,2705.928219
652.033951,1000,2740.366374
654.883758,1000,2773.038908
593.19958,1000,2807.431525
538.320526,1000,2841.425871
759.169982,1000,2873.720784
764.243665,1000,2907.787202
677.455133,1000,2942.200688
681.54993,1000,2974.868613
699.087016,1000,3009.387442
566.511777,1000,3054.050607
899.587815,1000,3088.63131
674.005248,1000,3123.247905
857.484699,1000,3155.733153
684.102371,1000,3190.321928
763.834384,1000,3224.760722
659.48722,1000,3257.173269
788.441583,1000,3291.810813
576.347942,1000,3324.531434
650.894231,1000,3359.197427
751.617133,1000,3406.559963
788.727338,1000,3438.098999
894.366838,1000,3472.621912
741.73825,1000,3506.874567
716.965165,1000,3539.444776
665.884742,1000,3573.822325
572.428419,1000,3606.339284
92.509293,154,3612.709785
790.6059,1000,3647.007023
637.747479,1000,3679.618942
804.343884,1000,3726.971673
669.386519,1000,3759.55939
562.694082,1000,3793.126265
721.524193,1000,3827.435235
913.34151,1000,3860.083135
661.66685,1000,3894.801046
984.619909,1000,3929.39335
737.496155,1000,3962.092487
896.086255,1000,3996.533787
656.317121,1000,4028.96124
753.037736,1000,4076.704683
746.943487,1000,4111.320909
752.081718,1000,4144.038197
844.378658,1000,4177.2847
1027.830341,1000,4211.951313
719.525669,1000,4244.651929
652.123118,1000,4279.360603
772.523041,1000,4311.835704
