#{"t_start": 1626160627.8465064, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.62227
98.046043,206,1.944447
489.975109,1000,3.5174
113.459319,246,3.907648
483.864999,1000,5.458956
408.058234,859,6.818872
502.951513,1000,8.375584
41.678752,83,8.504202
555.221435,1000,10.298301
519.64579,1000,11.893131
510.671148,1000,13.483945
514.711494,1000,15.082797
478.390281,1000,28.067983
399.17923,791,52.244972
219.879577,436,66.527379
351.655606,955,97.286549
42.148731,117,101.364767
4.250582,20,101.410058
4.207605,20,101.454976
11.623924,106,105.501564
2.280058,20,105.559617
37.517309,96,109.578361
1.96387,20,109.624945
0.677963,20,111.559067
363.413235,1000,142.280423
466.713428,1000,174.597527
307.348809,1000,204.962943
306.587148,1000,237.002195
321.987657,1000,269.021249
54.345386,115,271.128145
35.282762,114,275.102143
497.453385,1000,306.924477
386.462681,1000,347.489355
319.206357,1000,379.496053
442.969173,1000,411.482591
556.871696,1000,441.64239
586.586853,1000,473.676734
407.032895,1000,505.712225
182.151251,1000,535.8776
458.850317,1000,567.914361
349.416236,1000,598.161807
228.982477,445,612.145394
568.936136,1000,643.97646
396.605021,1000,686.086331
542.578762,1000,716.161849
506.890974,1000,748.10905
577.293107,1000,780.14262
409.366752,1000,810.267113
359.70951,1000,842.250469
379.824959,1000,872.392009
367.407622,1000,904.403381
623.507491,1000,936.409542
305.229921,1000,966.377788
539.439799,1000,1009.082731
516.68428,1000,1041.101923
484.319559,862,1067.331287
486.96248,1000,1099.574714
124.95208,332,1109.721864
620.943709,1000,1140.089992
659.291184,1000,1172.397456
454.342329,1000,1204.768244
682.643346,1000,1235.196416
610.576894,1000,1267.519083
511.385449,1000,1299.60857
710.395294,1000,1340.840133
655.693196,1000,1373.1963
468.084431,1000,1403.618531
589.697971,1000,1435.786397
478.507895,1000,1468.214
670.894825,1000,1498.685208
530.405654,1000,1530.996037
487.538392,1000,1563.477183
544.279175,1000,1594.018563
277.777641,414,1608.167249
330.637188,1000,1649.405241
118.93896,213,1657.319626
549.029742,1000,1687.903813
404.828964,723,1712.115214
645.268281,1000,1742.529554
499.283916,1000,1774.64707
654.887169,1000,1805.188034
101.55978,203,1813.198374
625.097156,1000,1843.735731
398.355626,1000,1876.166928
408.514275,994,1906.682881
626.038932,1000,1939.217775
633.534298,1000,1982.390185
20.734566,71,1984.41027
475.575708,627,2004.806572
461.041283,1000,2035.613677
495.912592,1000,2068.435056
222.941576,349,2078.758627
442.286394,713,2101.386475
447.903047,1000,2134.150132
633.057061,1000,2167.140596
652.334868,1000,2198.276361
580.004795,1000,2231.460538
668.128528,1000,2264.588111
371.051201,1000,2305.836648
615.714239,1000,2338.855782
438.956772,1000,2370.278355
634.172532,1000,2403.65056
763.273718,1000,2437.046196
588.186586,1000,2468.351442
672.127194,1000,2501.498297
690.027421,1000,2534.782908
460.741313,1000,2566.188919
727.356948,1000,2599.608002
624.304766,1000,2641.556595
788.650475,1000,2674.580738
554.288005,1000,2708.053881
791.498106,1000,2739.512544
813.626467,1000,2772.926565
845.579074,1000,2806.290672
789.982062,1000,2837.715759
616.491855,1000,2871.056638
754.805597,1000,2902.408687
720.589774,1000,2935.85649
668.773164,1000,2980.19614
482.722928,1000,3011.385535
585.473972,1000,3044.94762
625.415996,1000,3078.684602
807.059172,1000,3110.56864
643.22936,1000,3144.189302
629.992622,1000,3176.090072
830.108536,1000,3209.723105
713.875121,1000,3243.435881
562.202675,1000,3274.94706
708.195098,1000,3320.340218
898.36054,1000,3353.839299
654.464281,1000,3385.385839
679.549267,1000,3419.145716
461.045552,1000,3450.886332
668.156738,1000,3485.009608
513.704584,1000,3518.911801
711.871316,1000,3550.316609
814.3168,1000,3583.823365
448.942679,1000,3617.275845
1011.304145,1000,3659.628877
832.230824,1000,3692.662889
861.340059,1000,3723.882823
1032.600268,1000,3757.341183
810.012821,1000,3790.833944
755.834964,1000,3822.181449
943.628813,1000,3855.572449
961.013182,1000,3888.975001
922.528711,1000,3920.453046
947.980928,1000,3953.652191
678.208971,1000,3996.126578
959.608127,1000,4029.011961
790.597285,1000,4062.178277
649.692437,1000,4093.611079
1093.676621,1000,4126.923961
960.697436,1000,4160.277699
1210.434661,1000,4191.657233
996.012913,1000,4225.000255
1168.071405,1000,4256.447486
1110.950899,1000,4289.744804
722.442992,1000,4333.766625
826.865852,1000,4365.026684
1181.277694,1000,4398.022764
1202.753587,1000,4431.246244
1259.094578,1000,4462.67241
893.86034,1000,4496.087379
975.39353,1000,4527.456648
1352.335748,1000,4560.759274
987.626896,1000,4594.103694
1389.773002,1000,4625.567608
1340.972776,1000,4669.891909
1452.015331,1000,4703.092497
1203.478706,1000,4734.085114
1037.789907,1000,4767.175562
1338.163268,1000,4798.517647
1399.448929,1000,4831.864047
720.225976,1000,4865.264412
1447.145008,1000,4896.648211
1237.517992,1000,4929.920145
984.181419,1000,4963.280857
1339.207839,1000,5005.58235
1303.074101,1000,5038.851482
1244.29507,1000,5069.765522
1466.944955,1000,5102.894802
1498.425482,1000,5136.521508
867.634209,1000,5168.212584
1255.930031,1000,5201.903122
1376.662667,1000,5235.286963
694.789043,1000,5267.08594
