#{"t_start": 1626293114.6284335, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.214391
98.046043,206,1.454269
489.975109,1000,2.629695
113.459319,246,2.918001
483.864999,1000,4.0862
408.058234,859,5.101024
502.951513,1000,6.280251
41.678752,83,6.377753
555.221435,1000,7.546873
519.64579,1000,8.731886
510.671148,1000,9.912934
514.711494,1000,11.103075
477.660239,1000,24.28875
400.646688,794,50.155896
189.872576,428,65.55685
65.863451,244,74.407214
457.010166,1000,107.699113
351.938151,1000,142.970269
448.531939,1000,178.210678
184.680152,774,204.804968
380.340321,1000,238.13962
350.397586,1000,273.657217
447.253065,1000,308.969647
2.925883,24,309.036498
1.991743,21,309.120375
4.655604,42,311.266051
537.312638,1000,346.392646
374.316892,1000,392.981855
56.607402,185,399.644241
326.171432,1000,435.098795
478.038338,1000,468.420708
485.304575,1000,503.514985
532.142574,1000,538.763983
434.343953,1000,572.026995
594.945788,1000,607.264688
407.959325,1000,642.485296
410.005109,1000,675.28
458.043673,1000,709.765721
515.085548,1000,756.642275
473.990901,1000,791.868856
405.880715,1000,826.932688
616.43765,1000,860.023802
608.048609,1000,895.071334
567.729712,1000,930.19872
487.899264,1000,963.302526
440.033736,1000,998.151236
498.46505,1000,1030.856409
505.676939,1000,1065.679974
409.696522,1000,1114.533418
685.465318,1000,1147.660529
457.079471,1000,1182.728843
639.315608,1000,1217.782768
565.778878,1000,1250.957184
734.703575,1000,1286.06851
482.232439,1000,1319.186694
560.847182,1000,1354.033321
594.051471,1000,1388.966527
592.383005,1000,1421.651591
555.936228,1000,1470.23584
587.428023,1000,1505.241937
684.180895,1000,1538.222582
30.620135,66,1540.407919
573.847743,1000,1575.343215
491.695252,1000,1608.380976
592.119001,1000,1643.462893
480.65724,790,1669.693228
597.837879,1000,1704.556837
560.540513,1000,1739.490385
532.81296,1000,1772.026398
533.964275,1000,1821.254196
542.152866,1000,1856.564179
483.396744,1000,1889.822104
707.181921,1000,1925.026373
609.71701,1000,1958.360991
593.692946,1000,1993.523872
425.734441,1000,2028.712818
426.790998,1000,2062.133693
715.787463,1000,2097.30352
452.16706,1000,2132.311902
569.20471,1000,2179.404274
623.08854,1000,2214.887316
561.583596,1000,2248.486062
617.71394,1000,2284.09425
348.553524,564,2304.230213
618.104842,1000,2338.012528
618.542785,1000,2374.076202
599.091039,1000,2410.286373
642.087658,1000,2444.556595
480.357421,1000,2480.655139
482.607658,1000,2530.700775
639.227807,1000,2565.192923
190.143581,261,2574.309067
484.225465,1000,2611.078424
561.028741,1000,2647.79197
534.484274,1000,2682.399738
524.773038,1000,2719.101793
570.581087,1000,2754.078816
567.991539,1000,2791.162021
460.819919,1000,2828.211352
366.377108,1000,2862.795797
370.399369,1000,2913.456641
595.248774,1000,2950.477005
531.86925,1000,2985.395758
589.846823,1000,3022.26459
451.924164,1000,3057.060805
602.724995,1000,3093.975244
637.68028,1000,3130.91635
534.343749,1000,3165.743638
670.784762,1000,3202.557951
745.159265,1000,3239.413542
672.554192,1000,3288.310186
536.792593,1000,3325.370791
727.486915,1000,3360.271304
715.263424,1000,3396.916444
756.968221,1000,3433.75319
655.284513,1000,3468.401259
621.657525,1000,3505.152996
617.730681,1000,3541.921463
646.183654,1000,3576.408682
559.259536,1000,3613.399788
562.019789,1000,3659.59094
557.729715,1000,3696.568754
860.786957,1000,3733.272027
702.060079,1000,3768.110192
572.636959,1000,3804.843922
582.080963,1000,3841.745728
629.949065,1000,3876.750974
690.327929,1000,3913.791886
788.55658,1000,3948.50323
614.91984,1000,3985.442891
770.543047,1000,4035.983252
826.532271,1000,4070.709918
755.815403,1000,4107.672538
676.032466,1000,4144.488717
739.395255,1000,4179.112198
741.461025,1000,4216.0787
674.412449,1000,4250.905434
873.946067,1000,4287.647038
757.943078,1000,4324.456763
751.652542,1000,4359.306097
