#{"t_start": 1626160590.244457, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.30545
98.046043,206,1.547279
489.975109,1000,2.747802
113.459319,246,3.038599
483.864999,1000,4.224118
408.058234,859,5.238352
502.951513,1000,6.408077
41.678752,83,6.505388
555.221435,1000,7.677431
519.64579,1000,8.865869
510.671148,1000,10.051202
514.711494,1000,11.239086
469.78569,1000,19.204833
299.944818,1000,48.833482
29.651534,239,55.63921
214.426131,1000,91.005756
231.764209,1000,126.200795
159.472756,1000,159.314671
229.564085,1000,194.479186
367.738897,1000,227.862662
124.865374,416,243.34113
-2.840546,20,243.4023
-2.319317,21,245.48007
239.016954,1000,278.750808
268.940332,1000,314.104498
250.268938,1000,361.721124
273.607789,1000,396.536923
-3.848166,311,407.51872
383.698291,1000,442.844801
4.270356,28,442.932725
-0.066186,24,443.008066
1.13559,27,445.08897
-1.256062,24,445.176447
13.911525,87,447.452797
298.197057,1000,482.702161
278.869869,1000,517.980662
193.351063,1000,551.260393
327.509574,1000,586.49428
549.648378,1000,621.751992
401.270219,1000,655.014055
443.192404,1000,690.054708
25.327679,179,696.477702
246.180498,1000,737.465779
390.732741,1000,772.720047
27.627385,98,775.039342
315.690051,1000,810.146747
534.255328,1000,845.416635
324.987937,1000,878.676965
365.239093,1000,913.980522
379.353319,1000,949.24439
496.721141,1000,982.508557
372.202668,1000,1017.49406
311.266916,1000,1050.289624
488.377631,1000,1100.011592
244.175052,1000,1135.282806
456.550335,1000,1168.447709
191.397806,1000,1203.564312
-1.297588,20,1203.625852
-2.526888,20,1205.673495
0.821694,20,1205.734682
60.667756,220,1212.451483
210.040888,1000,1247.837111
353.342896,1000,1283.071831
232.138065,1000,1316.358229
374.885767,1000,1351.190445
352.445048,1000,1383.946409
433.352492,1000,1433.911728
234.237501,1000,1468.973172
166.752733,1000,1502.322651
30.179513,82,1506.576034
380.46432,1000,1539.807145
0.093092,27,1541.881418
1.42965,20,1541.959127
2.074185,20,1542.022161
1.446793,27,1544.108762
2.647854,20,1544.17168
3.284502,20,1544.249588
1.750915,20,1546.313387
3.090412,20,1546.371775
3.354026,20,1546.430429
3.057471,20,1548.500066
1.943213,20,1548.562276
2.455881,20,1548.624933
2.523377,20,1548.687719
216.491265,566,1568.541324
105.967659,210,1577.20083
2.493254,32,1577.299301
42.239018,99,1581.608953
15.847007,68,1583.838537
518.089001,1000,1617.106556
448.365374,1000,1652.210381
678.116463,1000,1686.54057
595.548654,1000,1719.618034
450.654869,1000,1754.853389
399.584265,1000,1801.450452
682.523481,1000,1836.468556
587.867884,1000,1871.683045
310.203401,1000,1905.036781
387.5943,1000,1940.365108
420.896659,1000,1975.662974
504.217975,1000,2008.391114
664.914764,1000,2043.377405
615.921279,1000,2076.717814
530.375923,1000,2112.185078
408.364205,1000,2162.341547
468.305866,1000,2195.683094
501.833836,1000,2231.389731
574.046857,1000,2267.057615
647.381524,1000,2300.780576
321.110312,1000,2336.224265
23.952218,95,2338.474473
386.353022,1000,2373.957024
546.024653,1000,2410.000128
513.472669,1000,2443.956166
388.383465,1000,2480.144819
460.029555,1000,2528.808778
433.836622,1000,2565.00457
570.342478,1000,2601.334224
533.674647,1000,2635.627472
42.860161,191,2642.407427
525.518546,1000,2678.550474
255.042773,1000,2714.471437
547.812135,1000,2748.874373
594.438315,1000,2785.256071
645.124326,1000,2819.669737
505.112275,1000,2856.17205
538.168688,1000,2907.312554
170.366637,287,2916.514478
452.889984,1000,2953.039666
3.261676,20,2953.101884
2.635664,20,2953.16357
449.580665,1000,2989.740483
525.354324,1000,3025.893114
425.21065,1000,3059.955491
583.419517,1000,3096.897563
477.370097,1000,3133.82488
593.406211,1000,3168.683532
469.478935,1000,3205.698658
660.05445,1000,3255.381483
494.806466,1000,3292.296486
566.359231,1000,3329.359146
407.688405,1000,3364.132777
365.152572,1000,3400.720378
51.328057,128,3405.325073
580.36407,1000,3442.278244
550.644527,1000,3477.063048
596.949771,1000,3514.442871
517.981023,1000,3549.496155
64.254838,138,3556.243462
489.174775,1000,3590.848977
189.779565,341,3604.524068
90.107819,149,3609.208083
452.730596,760,3644.658763
607.508114,1000,3679.093792
585.96298,1000,3715.315042
488.820798,1000,3751.606862
204.965512,1000,3786.34341
377.869021,1000,3823.012396
412.81547,1000,3857.512364
439.140197,1000,3894.226487
