#{"t_start": 1625288811.9876409, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,2.055857
98.046043,206,2.467795
489.975109,1000,4.464946
113.459319,246,4.993861
483.864999,1000,6.98092
408.058234,859,8.692295
502.951513,1000,10.685453
41.678752,83,10.844272
555.221435,1000,12.831489
519.64579,1000,14.868591
510.671148,1000,16.970012
514.711494,1000,18.962138
477.660239,1000,32.184201
400.646688,794,56.76836
189.872576,428,71.549783
65.863451,244,79.741022
457.010166,1000,111.119817
351.938151,1000,144.681165
448.531939,1000,180.242753
184.680152,774,207.181795
380.340321,1000,240.838331
350.397586,1000,276.565858
447.253065,1000,312.062129
2.925883,24,312.127123
1.991743,21,312.199191
4.655604,42,314.384
537.312638,1000,349.967154
374.316892,1000,397.2927
56.607402,185,404.036577
326.171432,1000,439.787783
478.038338,1000,473.333437
485.304575,1000,508.559319
532.142574,1000,543.726261
434.343953,1000,577.220024
594.945788,1000,612.61257
407.959325,1000,648.215047
410.005109,1000,681.708336
458.043673,1000,717.270336
515.085548,1000,764.163405
473.990901,1000,799.753241
405.880715,1000,835.089406
616.43765,1000,866.210565
608.048609,1000,899.206211
567.729712,1000,932.33774
487.899264,1000,963.619432
440.033736,1000,997.070114
498.46505,1000,1028.591935
505.676939,1000,1061.601665
409.696522,1000,1107.211426
685.465318,1000,1140.206342
457.079471,1000,1173.084869
639.315608,1000,1205.676599
565.778878,1000,1238.742797
734.703575,1000,1275.974631
482.232439,1000,1310.367601
560.847182,1000,1343.920329
594.051471,1000,1378.473647
592.383005,1000,1409.852101
555.936228,1000,1456.157217
587.428023,1000,1489.395855
684.180895,1000,1519.739735
30.620135,66,1521.841342
573.847743,1000,1555.378786
491.695252,1000,1587.00757
592.119001,1000,1620.166961
480.65724,790,1645.216404
597.837879,1000,1678.581743
560.540513,1000,1712.041537
532.81296,1000,1743.174458
533.964275,1000,1788.601085
542.152866,1000,1820.814302
483.396744,1000,1851.954223
707.181921,1000,1885.113598
609.71701,1000,1916.553946
593.692946,1000,1949.841995
425.734441,1000,1983.251015
426.790998,1000,2014.875289
715.787463,1000,2048.031472
452.16706,1000,2081.496464
569.20471,1000,2125.790891
623.08854,1000,2158.765882
561.583596,1000,2191.13685
617.71394,1000,2225.622283
348.553524,564,2245.058541
618.104842,1000,2277.848524
618.542785,1000,2312.712345
599.091039,1000,2347.778975
642.087658,1000,2380.880142
480.357421,1000,2418.57199
482.607658,1000,2470.337319
639.227807,1000,2506.300572
190.143581,261,2515.889953
484.225465,1000,2554.437739
561.028741,1000,2593.275494
534.484274,1000,2629.623863
524.773038,1000,2668.456838
570.581087,1000,2705.028624
567.991539,1000,2743.827359
460.819919,1000,2782.869895
366.377108,1000,2819.660315
370.399369,1000,2872.187412
595.248774,1000,2911.242271
531.86925,1000,2948.105755
589.846823,1000,2986.898906
451.924164,1000,3023.661121
602.724995,1000,3062.668407
637.68028,1000,3101.529204
534.343749,1000,3138.413083
670.784762,1000,3177.5751
745.159265,1000,3216.69601
672.554192,1000,3267.956729
536.792593,1000,3306.855334
727.486915,1000,3343.709778
715.263424,1000,3382.630285
756.968221,1000,3421.577554
655.284513,1000,3458.239187
621.657525,1000,3497.248187
617.730681,1000,3536.242274
646.183654,1000,3572.949324
559.259536,1000,3612.306266
562.019789,1000,3660.906248
557.729715,1000,3700.085379
860.786957,1000,3739.241618
702.060079,1000,3776.042512
572.636959,1000,3815.153415
582.080963,1000,3854.403581
629.949065,1000,3891.376971
690.327929,1000,3930.382605
788.55658,1000,3967.108861
614.91984,1000,4006.284758
770.543047,1000,4059.268533
826.532271,1000,4096.244407
755.815403,1000,4135.304274
676.032466,1000,4174.330666
739.395255,1000,4211.217356
741.461025,1000,4250.504837
674.412449,1000,4287.280908
873.946067,1000,4326.361346
757.943078,1000,4365.387229
751.652542,1000,4402.532001
714.603496,1000,4455.589741
654.60064,1000,4494.995126
679.991809,1000,4532.115064
783.42018,1000,4571.251544
669.994372,1000,4607.846756
922.605445,1000,4646.840183
743.582537,1000,4685.995061
838.32505,1000,4723.064387
647.603898,1000,4762.129022
763.872386,1000,4801.344742
713.688051,1000,4852.569434
666.839625,1000,4891.830019
793.686596,1000,4929.072762
795.287249,1000,4968.661046
607.547833,1000,5007.999989
588.497658,1000,5045.396795
646.202824,1000,5085.008943
936.564333,1000,5124.506462
663.796742,1000,5161.617229
849.207749,1000,5201.015021
734.70159,1000,5252.718212
660.734017,1000,5292.342034
675.012358,1000,5331.81532
630.059517,1000,5369.054424
688.441627,1000,5408.504515
787.865925,1000,5448.133286
918.843374,1000,5485.764944
770.321381,1000,5525.334985
860.103736,1000,5563.048077
900.722546,1000,5601.349915
585.706579,1000,5651.637836
703.688016,1000,5686.944016
509.210139,1000,5723.352443
657.020336,1000,5760.5245
586.379952,1000,5795.826814
825.007286,1000,5833.196612
961.955512,1000,5868.249491
762.686448,1000,5905.501657
1039.649951,1000,5944.393786
779.684405,1000,5979.866892
678.175614,1000,6030.381878
661.990806,1000,6067.143451
866.802306,1000,6102.388865
830.368123,1000,6139.98359
945.464021,1000,6175.207255
901.686248,1000,6212.928666
689.533213,1000,6253.159047
692.000154,1000,6291.017737
796.639043,1000,6331.127294
938.720114,1000,6369.556447
986.32586,1000,6416.895595
711.885912,1000,6454.583641
776.097617,1000,6489.947422
752.369178,1000,6527.585067
787.221423,1000,6565.242204
869.145039,1000,6600.450008
717.40179,1000,6638.141567
544.446251,1000,6675.84206
953.443766,1000,6711.248903
636.925776,1000,6748.297671
808.374654,1000,6796.548075
1116.694453,1000,6834.248273
617.055905,1000,6872.112275
1071.701417,1000,6907.811833
1034.579415,1000,6946.807022
1093.440788,1000,6987.304235
909.631764,1000,7025.008363
1381.661231,1000,7065.010582
755.932076,1000,7102.827904
900.122541,1000,7143.059013
1186.445225,1000,7197.850059
1106.047196,1000,7235.909719
1353.287246,1000,7276.114006
904.702453,1000,7316.450367
1326.241105,1000,7354.340911
1247.631812,1000,7394.472061
548.867465,1000,7432.140943
747.469374,1000,7472.329912
811.498538,1000,7512.569838
1494.941144,1000,7550.532302
1440.937756,1000,7604.872336
1183.156772,1000,7644.917365
1117.846222,1000,7682.50458
1618.283976,1000,7722.432792
1625.844651,1000,7760.127682
1667.447963,1000,7800.09615
1652.08788,1000,7839.769204
1622.217885,1000,7877.323119
1655.364912,1000,7917.124937
1682.914127,1000,7956.895795
1719.244046,1000,8008.088175
1486.40791,1000,8048.02167
1671.241358,1000,8085.491779
1859.643015,1000,8125.634966
1732.279728,1000,8165.454033
1707.495214,1000,8202.812453
1823.772836,1000,8242.381333
1742.828075,1000,8282.150358
1802.092781,1000,8319.538409
