#{"t_start": 1626103871.429706, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.987073
98.046043,206,2.37236
489.975109,1000,4.301837
113.459319,246,4.791454
483.864999,1000,6.708923
408.058234,859,8.452338
502.951513,1000,10.352631
41.678752,83,10.513428
555.221435,1000,12.426668
519.64579,1000,14.3658
510.671148,1000,16.287416
514.711494,1000,18.23822
482.068676,1000,30.134629
378.392248,795,52.068486
410.779543,1000,82.110636
218.241041,741,104.489559
2.77732,20,104.550404
2.840686,20,104.596866
2.70281,20,104.643583
287.545436,1000,134.519953
411.221347,1000,164.171649
75.889178,130,167.923407
393.760754,1000,195.895633
308.383006,1000,225.602683
402.296648,1000,253.977907
457.886085,1000,281.853032
390.837598,1000,321.499973
340.29126,1000,349.521093
329.854141,1000,379.148104
343.272713,1000,408.982985
240.043895,1000,437.259729
314.917693,1000,466.924548
8.11151,42,468.700814
-3.143808,96,470.635375
151.648794,489,485.377251
452.18747,1000,513.449909
288.339972,1000,541.75972
159.339797,358,552.703901
394.787842,1000,580.442486
193.983191,411,593.316358
-5.875232,21,593.378517
26.643381,119,597.113574
309.947169,1000,636.934847
364.333257,1000,666.680857
299.384604,1000,696.07931
482.520585,1000,724.153007
262.541035,522,740.741623
52.715195,156,744.496583
479.538602,1000,774.04913
411.666536,1000,802.027915
204.399472,1000,831.556826
388.914775,1000,858.17799
321.648764,1000,887.784934
157.082282,388,899.081619
444.226923,1000,940.037808
381.646631,1000,967.831529
282.892393,1000,997.687878
412.597435,1000,1027.119083
519.617003,1000,1054.965736
487.79464,1000,1084.351374
247.842961,1000,1114.156979
74.826989,261,1121.608322
260.069133,1000,1148.366746
419.974544,1000,1178.215459
55.034563,180,1183.704918
51.188378,190,1189.219043
184.153256,479,1202.188813
369.567272,1000,1243.577727
2.554401,21,1243.639732
396.662816,1000,1273.23374
198.449366,741,1293.782372
178.154006,444,1306.633056
213.647783,1000,1336.068872
297.496141,1000,1363.916996
305.341977,1000,1393.594731
423.618929,1000,1423.016451
38.646488,138,1426.737046
50.993605,111,1430.350478
-0.51192,20,1430.397305
0.863241,21,1430.446541
-1.446601,20,1432.198998
314.921451,1000,1458.962491
504.828193,1000,1488.684762
422.935142,1000,1526.444672
263.22673,1000,1556.192177
410.748886,1000,1585.670646
6.866741,103,1587.76473
208.487902,1000,1617.214139
385.137465,1000,1646.858953
313.908856,1000,1674.50111
154.833384,383,1685.773383
396.226863,1000,1715.272328
430.823566,1000,1742.502658
333.23929,1000,1772.148107
510.562584,1000,1801.753846
318.794469,1000,1841.303602
317.232289,1000,1871.257935
412.314835,1000,1901.060643
416.284064,1000,1929.354112
449.764853,1000,1959.511114
372.25676,1000,1988.28695
339.762509,1000,2018.77829
11.637397,36,2020.613504
126.739788,236,2026.394888
285.393155,1000,2056.143732
347.966431,1000,2086.947422
300.147533,1000,2122.715971
228.541249,699,2144.374395
401.095305,1000,2175.891835
229.189605,1000,2205.984111
292.737719,807,2232.06941
227.146321,652,2252.344819
26.843238,93,2256.225233
325.621909,654,2276.252958
308.840588,622,2296.36742
242.751747,1000,2326.942726
508.920747,1000,2359.51646
0.851773,21,2359.564124
1.257895,20,2359.609468
360.361068,1000,2391.162761
409.696589,1000,2423.626947
331.333621,1000,2464.35115
294.434755,1000,2496.904341
434.051615,1000,2529.682702
363.321693,1000,2560.835746
434.735521,1000,2593.608176
358.724158,1000,2624.46716
457.410555,1000,2657.574258
482.834082,1000,2690.4645
6.463373,24,2690.519389
3.161464,22,2690.565938
1.38221,20,2692.518305
2.613182,20,2692.575763
2.606535,20,2692.616295
-0.113747,20,2694.594892
1.356311,20,2694.638914
0.664828,20,2694.689983
1.152518,20,2696.64424
5.779991,25,2696.695914
52.993826,125,2700.473994
3.50621,20,2700.524136
3.248974,20,2702.332117
1.578628,20,2702.37192
29.654054,52,2704.230848
10.197958,30,2704.301597
5.005478,20,2704.341041
3.021773,20,2706.13019
3.279071,20,2706.172629
4.539758,20,2706.222948
4.217565,20,2708.03703
2.684407,20,2708.0826
5.157907,20,2708.128
5.675286,20,2710.094181
2.430482,20,2710.139711
1.655142,20,2710.185236
0.590055,20,2712.153983
627.50518,1000,2743.195753
253.761518,1000,2787.830454
325.966868,1000,2819.232173
277.620237,1000,2852.676623
500.793628,1000,2885.899729
395.84186,1000,2917.234815
208.16468,592,2938.085885
395.498602,1000,2969.408201
239.638721,549,2988.099397
154.379187,259,2996.462141
427.74438,1000,3027.339293
0.838249,20,3029.138434
458.863197,1000,3059.778076
534.472255,1000,3092.923405
231.600033,1000,3137.586863
396.099054,1000,3169.231981
465.655507,1000,3202.490275
406.78772,1000,3233.687625
392.598494,1000,3266.810416
608.623059,1000,3299.996143
552.61522,1000,3331.391994
294.526996,1000,3363.639084
375.437605,1000,3396.844632
300.791434,1000,3428.16147
482.82526,1000,3467.570521
489.167083,1000,3499.05745
220.719073,1000,3532.315667
47.464722,116,3536.410929
353.951006,1000,3569.707603
577.086408,1000,3600.881715
361.514912,1000,3634.347566
239.329462,1000,3665.710427
282.243374,908,3695.878052
466.830127,1000,3727.467874
44.617805,230,3735.769679
301.361375,1000,3777.685506
350.155318,1000,3811.066381
202.396891,1000,3844.299425
302.429909,1000,3875.582283
388.812306,1000,3908.816411
469.796691,1000,3942.200114
312.688002,730,3965.137091
453.76271,1000,3998.430226
479.638722,1000,4028.943946
349.316303,1000,4062.411872
251.774944,1000,4093.793864
561.414766,1000,4138.528688
297.543373,1000,4171.931205
