#{"t_start": 1625899113.9948754, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.277278
98.046043,206,1.521744
489.975109,1000,2.728701
113.459319,246,3.023318
483.864999,1000,4.219559
408.058234,859,5.244377
502.951513,1000,6.434052
41.678752,83,6.537232
555.221435,1000,8.050946
519.64579,1000,9.497342
510.671148,1000,10.701115
514.711494,1000,11.898182
477.660239,1000,23.356972
400.646688,794,45.486792
189.872576,428,58.443386
65.863451,244,65.84324
457.010166,1000,93.926459
351.938151,1000,123.498246
448.531939,1000,153.242866
184.680152,774,175.429764
380.340321,1000,203.236022
350.397586,1000,232.775769
447.253065,1000,262.495761
2.925883,24,262.543853
1.991743,21,262.596008
4.655604,42,264.425924
537.312638,1000,293.764373
374.316892,1000,331.655227
56.607402,185,337.169287
326.171432,1000,366.61682
478.038338,1000,394.554613
485.304575,1000,424.160898
532.142574,1000,453.594626
434.343953,1000,481.359457
594.945788,1000,510.77139
407.959325,1000,540.243492
410.005109,1000,567.934453
458.043673,1000,596.9138
515.085548,1000,634.542695
473.990901,1000,663.954375
405.880715,1000,693.257025
616.43765,1000,721.070157
608.048609,1000,750.59508
567.729712,1000,780.351803
487.899264,1000,807.960556
440.033736,1000,837.700828
498.46505,1000,865.263756
505.676939,1000,894.250183
409.696522,1000,933.924092
685.465318,1000,961.543379
457.079471,1000,990.939949
639.315608,1000,1020.266339
565.778878,1000,1047.93646
734.703575,1000,1077.207095
482.232439,1000,1105.112162
560.847182,1000,1134.565481
594.051471,1000,1163.863028
592.383005,1000,1191.208515
555.936228,1000,1230.684038
587.428023,1000,1260.259976
684.180895,1000,1288.009416
30.620135,66,1289.846046
573.847743,1000,1319.429786
491.695252,1000,1347.187233
592.119001,1000,1376.409671
480.65724,790,1398.467666
597.837879,1000,1428.036053
560.540513,1000,1457.450351
532.81296,1000,1484.824766
533.964275,1000,1525.187552
542.152866,1000,1554.651039
483.396744,1000,1582.473156
707.181921,1000,1612.059013
609.71701,1000,1639.759258
593.692946,1000,1669.596704
425.734441,1000,1699.101317
426.790998,1000,1726.932852
715.787463,1000,1756.591076
452.16706,1000,1785.928871
569.20471,1000,1824.117697
623.08854,1000,1854.139364
561.583596,1000,1882.681468
617.71394,1000,1913.306579
348.553524,564,1930.567414
618.104842,1000,1959.471132
618.542785,1000,1990.367403
599.091039,1000,2021.567669
642.087658,1000,2051.185871
480.357421,1000,2082.55496
482.607658,1000,2123.896319
639.227807,1000,2153.76324
190.143581,261,2161.681715
484.225465,1000,2193.650379
561.028741,1000,2225.47396
534.484274,1000,2255.63287
524.773038,1000,2287.538791
570.581087,1000,2317.723861
567.991539,1000,2349.821208
460.819919,1000,2381.874623
366.377108,1000,2411.933929
370.399369,1000,2453.830734
