#{"t_start": 1626205970.8269384, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.315047
98.046043,206,1.560013
489.975109,1000,2.750095
113.459319,246,3.048496
483.864999,1000,4.233215
408.058234,859,5.250711
502.951513,1000,6.591684
41.678752,83,6.724764
555.221435,1000,8.257943
519.64579,1000,9.457422
510.671148,1000,10.655196
514.711494,1000,11.851297
480.152792,1000,23.160158
376.550413,788,45.339896
181.847565,446,58.512352
236.950377,617,77.257643
2.138425,20,77.316905
2.166049,20,77.357467
411.336996,1000,107.329854
309.149224,1000,137.162589
252.889244,1000,165.333185
401.863199,1000,195.102727
399.949838,1000,224.885899
498.025621,1000,252.900738
470.884863,1000,282.646063
476.210243,1000,320.490065
488.63615,1000,350.277857
503.927683,1000,380.058244
214.580188,390,391.268038
386.90574,1000,419.218352
437.003807,1000,448.809741
498.827727,1000,478.424336
481.603017,1000,506.4135
331.857939,1000,536.051834
550.18011,1000,565.740887
425.275725,1000,593.329665
436.288742,1000,632.964345
459.932184,1000,660.99585
344.984743,1000,690.625666
518.964061,1000,720.302315
457.824809,1000,748.253026
522.195782,1000,777.896964
402.826937,1000,807.511836
574.480827,1000,835.446953
637.741186,1000,864.879978
643.263557,1000,892.637654
362.107263,1000,932.642999
605.184755,1000,962.312659
462.342155,1000,990.248501
599.6871,1000,1019.87371
654.466239,1000,1049.562812
616.139056,1000,1077.460483
63.296518,116,1081.16074
756.16042,1000,1110.73756
588.821125,1000,1138.667888
9.251607,38,1140.483535
32.358953,84,1142.402124
404.499481,678,1162.381008
596.767036,1000,1190.315397
394.866299,1000,1230.076919
619.65536,1000,1259.747936
2.538447,21,1259.790872
662.708226,1000,1289.337888
601.567563,1000,1317.206101
499.442576,1000,1346.825106
482.768552,1000,1374.681349
675.411799,1000,1404.217238
649.611177,1000,1433.494115
554.691435,1000,1461.419799
358.449894,1000,1491.073139
435.868598,1000,1530.642638
517.632409,1000,1558.573195
477.785199,1000,1588.171236
549.662212,1000,1616.139514
448.746879,1000,1645.772676
689.378802,1000,1675.452748
419.773455,1000,1703.589373
520.470064,1000,1733.119072
600.071669,1000,1762.992958
493.35938,1000,1791.262431
571.434767,1000,1831.477861
579.837074,1000,1860.100508
685.384978,1000,1890.626986
649.597689,1000,1921.386533
697.827212,1000,1951.021648
631.093072,1000,1982.929748
456.987245,1000,2014.026491
392.615712,1000,2044.427086
408.52838,1000,2076.91865
462.10232,1000,2107.635452
435.706407,1000,2150.068264
452.62292,1000,2183.038531
729.756667,1000,2214.212331
780.829869,1000,2247.332707
364.940802,1000,2280.544632
627.981938,1000,2310.864652
738.933341,1000,2344.137848
416.904127,1000,2375.540961
624.553588,1000,2408.848966
