#{"t_start": 1623568316.162914, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.907335
98.046043,206,2.299614
489.975109,1000,4.206918
113.459319,246,4.682551
483.864999,1000,6.532567
408.058234,859,8.162833
502.951513,1000,10.025501
41.678752,83,10.182189
555.221435,1000,12.045252
519.64579,1000,13.892584
510.671148,1000,15.823739
514.711494,1000,17.692506
474.04413,1000,27.999195
392.087318,823,47.75723
294.136065,1000,71.031765
453.062395,1000,95.94614
244.056909,1000,122.003947
342.462877,1000,148.31038
225.292464,1000,176.499544
450.10055,1000,204.385542
256.050052,1000,230.83829
364.145467,1000,258.085827
547.252809,1000,296.423007
212.581649,455,308.591034
495.824073,1000,336.417208
2.662182,20,336.467916
530.092788,1000,362.410373
335.631586,1000,387.195454
524.25262,1000,410.405316
500.309359,1000,435.176534
528.091901,1000,459.57783
611.53301,1000,482.61107
564.429999,1000,507.255315
550.089362,1000,529.481081
623.507642,1000,565.615569
462.81299,1000,590.134288
496.418907,1000,613.343601
281.321984,554,627.259407
431.55643,1000,651.784905
574.16058,1000,674.943662
408.657602,1000,699.478559
471.323115,1000,722.621279
656.523723,1000,747.222167
581.580989,1000,770.772952
470.843129,1000,805.093001
496.321734,1000,829.691187
526.826091,1000,854.301003
486.738598,1000,877.388324
660.052412,1000,902.152393
596.69653,1000,928.695541
635.977591,1000,956.867005
177.149387,1000,984.932195
570.783612,1000,1011.379099
602.912054,1000,1039.164872
447.345528,1000,1079.951772
624.407219,1000,1106.39255
434.439569,1000,1134.587375
278.233613,1000,1161.183437
532.887908,1000,1189.246603
500.607289,1000,1217.409368
449.183361,1000,1243.981124
512.774935,1000,1271.981539
61.134996,61,1273.736032
61.017798,55,1275.451559
431.746772,1000,1302.134534
718.629347,1000,1329.871174
654.478771,1000,1368.751187
702.574583,1000,1395.173918
632.822635,1000,1423.376232
633.673977,1000,1451.531737
615.222046,1000,1478.110478
594.373585,1000,1506.238528
624.16643,1000,1533.037716
438.159206,1000,1561.286763
523.074279,1000,1589.582807
726.924979,1000,1616.048461
536.805132,1000,1653.492189
141.349775,194,1658.95868
520.666842,1000,1687.585528
688.996239,1000,1714.636731
698.305277,1000,1743.394172
487.947747,1000,1770.828161
442.677536,1000,1800.032401
610.094035,1000,1829.45261
608.769433,1000,1857.180994
593.463971,1000,1886.896777
540.062627,1000,1916.566443
682.374255,1000,1957.00525
607.724647,1000,1986.928864
729.798481,1000,2015.188879
543.448355,1000,2045.441143
600.967294,1000,2075.801392
688.370073,1000,2104.212203
747.687828,1000,2134.478408
531.063436,1000,2162.555317
605.746215,1000,2188.720266
699.775913,1000,2216.016577
754.416977,1000,2252.618752
661.138371,1000,2280.440993
650.749599,1000,2308.398671
501.04863,1000,2334.6464
200.916013,273,2343.254378
785.245292,1000,2369.681952
574.166687,1000,2397.682591
855.987301,1000,2424.059031
481.977742,1000,2451.897517
539.977786,1000,2479.971774
721.155294,1000,2505.52353
735.364466,1000,2544.468711
709.777001,1000,2572.378794
848.463265,1000,2598.611749
631.753838,1000,2626.713209
715.033981,1000,2653.038107
742.368073,1000,2681.1806
526.852948,1000,2709.045721
777.615387,1000,2735.51412
751.919416,1000,2763.501236
533.05593,1000,2790.657612
826.712026,1000,2827.771849
792.29655,1000,2855.789709
729.730857,1000,2882.215259
826.648171,1000,2910.280393
761.878086,1000,2938.24888
514.502411,1000,2964.707362
680.715327,1000,2992.693867
595.29011,1000,3020.758086
789.316428,1000,3047.126132
695.325542,1000,3074.357034
