#{"t_start": 1626205730.6439292, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,2.104719
98.046043,206,2.504896
489.975109,1000,4.506212
113.459319,246,4.985735
483.864999,1000,6.966372
408.058234,859,8.626439
502.951513,1000,10.534709
41.678752,83,10.694032
555.221435,1000,12.599491
519.64579,1000,14.522254
510.671148,1000,16.441108
514.711494,1000,18.414584
482.567931,1000,31.168832
408.485448,778,54.636459
6.483365,20,54.691374
84.757206,146,60.504581
536.678654,1000,90.433352
417.919053,1000,122.039393
542.65464,1000,153.650912
459.24144,1000,183.430297
6.319918,20,183.501574
404.339084,775,209.083206
-22.226316,128,213.039651
510.676962,1000,242.764218
361.134444,1000,274.288055
376.307197,814,299.736862
512.881897,1000,340.599455
25.741717,210,346.350559
203.438389,480,361.952918
562.255158,1000,393.177743
512.207124,1000,422.861209
501.595745,1000,454.27912
504.453288,1000,484.062953
606.906116,1000,515.603295
368.777803,1000,547.096786
569.57673,1000,576.820336
199.971029,366,588.661233
683.014699,1000,619.997939
565.804558,1000,661.748365
533.316714,1000,692.236786
531.029217,1000,723.473845
501.420365,1000,753.217302
794.566755,1000,784.757592
581.25683,1000,814.435162
711.632954,1000,846.031368
618.49996,1000,877.679591
576.90913,1000,907.506503
462.499768,1000,939.112896
437.924474,1000,981.768287
585.984541,1000,1011.208854
630.365356,1000,1041.421705
609.568386,1000,1070.812629
621.255683,1000,1102.364707
720.275954,1000,1133.843263
701.475244,1000,1163.632217
236.011415,441,1177.458423
472.638725,1000,1209.035604
551.799521,1000,1238.806225
671.361066,1000,1270.350103
482.826687,1000,1314.716984
658.865463,1000,1344.620254
592.027196,1000,1375.231193
645.863367,1000,1405.891865
642.546562,1000,1435.43937
545.85715,1000,1467.080093
732.658709,1000,1496.900432
689.367549,1000,1528.446076
367.285159,1000,1560.109482
669.999643,1000,1589.860828
733.311941,1000,1634.252944
689.603811,1000,1666.384845
792.030132,1000,1696.683156
712.275822,1000,1727.989388
572.400617,1000,1757.669124
497.064198,1000,1789.627073
634.506701,1000,1821.812393
516.095239,1000,1852.216067
628.697141,1000,1884.459223
246.350275,320,1894.444823
553.803821,1000,1926.622221
550.95638,1000,1969.669057
645.337204,1000,2001.966431
690.66885,1000,2032.555076
656.070576,1000,2065.001982
586.067146,1000,2096.412937
667.20795,1000,2126.862308
686.62064,1000,2159.656304
19.011248,32,2159.764797
666.345047,1000,2192.548958
818.353335,1000,2225.255481
675.825562,1000,2256.10266
722.768787,1000,2301.608384
592.971255,1000,2334.571242
605.304316,1000,2365.693885
578.337544,1000,2399.064374
663.363323,1000,2430.411355
588.116419,1000,2462.585346
662.593082,1000,2495.870902
493.916627,1000,2527.521363
712.789515,1000,2560.922191
515.76745,1000,2594.540148
537.907573,1000,2636.700558
697.63169,1000,2670.706908
859.516917,1000,2702.702352
759.000098,1000,2736.561649
761.684483,1000,2770.371676
733.548026,1000,2802.118143
648.339635,1000,2834.649668
789.835845,1000,2868.501204
619.528606,1000,2900.202375
950.624404,1000,2933.780892
701.17878,1000,2978.409116
802.021007,1000,3012.307541
768.042621,1000,3046.222888
577.50268,1000,3077.961795
683.979997,1000,3111.692517
741.333194,1000,3145.204084
527.405163,1000,3176.705399
716.5963,1000,3208.853352
702.722013,1000,3240.167621
749.170109,1000,3273.578613
647.547493,1000,3319.523216
768.423757,1000,3351.15878
761.896246,1000,3384.734714
804.301356,1000,3418.317481
573.293207,1000,3450.028013
671.600633,1000,3483.657328
730.17855,1000,3515.2904
803.158705,1000,3548.309825
844.014718,1000,3580.961133
604.755048,1000,3612.30562
