#{"t_start": 1625513305.3191268, "env_id": "AntBulletEnv-v0"}
r,l,t
141.982392,302,0.397588
438.771442,1000,1.570491
500.337123,1000,2.781018
103.321293,207,3.022326
475.835741,1000,4.19592
459.537184,1000,5.364741
472.637625,1000,6.535969
508.571633,1000,7.705716
483.647248,1000,8.880484
52.000837,117,9.017499
509.215458,1000,10.185908
510.922779,1000,11.346772
170.938845,369,11.776881
29.207427,48,12.034907
401.215298,1000,36.677742
40.63065,102,40.083051
291.905741,1000,69.427887
281.294448,1000,99.995499
-0.627173,20,100.041902
429.671182,1000,130.416023
322.624113,1000,158.910746
1.432112,70,162.531389
324.781991,1000,190.842846
95.170422,461,204.011751
124.776753,432,217.124563
411.242813,1000,247.083395
332.017475,1000,275.354146
322.678554,1000,316.917022
6.019545,61,318.792134
222.752347,615,336.457781
489.197512,1000,364.733461
-0.219048,74,366.627745
1.795881,20,368.410501
1.311118,20,368.457332
1.555801,20,368.504218
2.108584,20,370.278452
3.984172,20,370.340112
3.240833,20,370.387001
2.99907,20,372.153874
413.702682,718,392.854888
459.594226,1000,421.484764
265.188565,1000,451.905386
356.484701,687,472.510346
448.204532,1000,500.717843
509.411743,1000,530.61933
329.921997,1000,560.517869
491.350883,1000,588.755293
483.694849,1000,627.047945
574.810091,1000,655.281778
247.271074,407,668.300992
518.741151,1000,696.424896
503.50371,1000,726.305452
451.884253,1000,756.246185
483.316604,1000,784.507851
497.586351,1000,814.85728
619.915444,1000,845.101496
552.729224,1000,873.27535
522.750925,1000,902.079369
454.946217,1000,941.595563
341.412854,1000,971.584275
620.989524,1000,1001.452899
634.862115,1000,1029.564118
575.629097,1000,1059.403272
542.987009,1000,1089.266239
598.548628,1000,1117.405816
2.118881,20,1119.171797
472.993521,1000,1147.331715
658.736016,1000,1177.553065
514.082305,1000,1205.128409
680.103083,1000,1246.380131
670.589856,1000,1276.240143
487.165377,1000,1304.379843
613.131346,1000,1334.200287
519.674724,1000,1364.051846
