#{"t_start": 1625681791.1903946, "env_id": "AntBulletEnv-v0"}
r,l,t
141.982392,302,0.438562
438.771442,1000,1.601703
500.337123,1000,2.798249
103.321293,207,3.036487
475.835741,1000,4.196102
459.537184,1000,5.369769
472.637625,1000,6.536404
508.571633,1000,7.699976
483.647248,1000,9.046731
52.000837,117,9.295927
509.215458,1000,11.421234
510.922779,1000,13.560753
170.938845,369,14.337359
29.207427,48,14.76089
433.054826,1000,46.177659
34.42056,90,48.344231
195.247347,1000,81.766242
88.683698,589,100.619919
261.806248,1000,133.563538
116.26902,1000,166.304826
186.712788,677,187.072796
-2.682328,20,187.123163
-2.586345,20,188.99983
356.960646,1000,219.47735
236.913675,1000,252.197227
246.972516,1000,285.085246
506.769048,1000,315.71978
420.482425,1000,361.051011
418.863005,1000,391.787123
551.051193,1000,424.231911
450.41833,1000,456.951479
434.903831,1000,487.615941
16.617922,179,493.677068
401.107744,1000,526.143848
460.117383,1000,556.98121
426.832887,1000,589.973075
473.666741,1000,622.44318
426.106764,1000,653.031745
475.75056,1000,697.710995
474.896781,1000,729.94899
527.412456,1000,760.533465
610.00429,1000,793.557426
406.99277,1000,824.35956
531.869561,1000,857.059991
422.812011,1000,889.794324
357.575683,1000,920.678673
498.320739,1000,953.341055
354.217393,633,973.58179
462.070198,1000,1014.775338
554.97719,1000,1047.79072
107.63357,225,1055.977422
433.556905,1000,1086.89253
401.079054,982,1119.359453
455.979629,1000,1150.040383
424.547476,1000,1182.772218
584.118476,1000,1213.442084
248.305945,1000,1245.719123
711.985195,1000,1278.006371
485.424113,1000,1308.476557
494.253779,1000,1352.978047
516.579537,1000,1385.776764
531.258083,1000,1416.421837
707.984506,1000,1448.826913
576.908081,1000,1479.688385
99.17211,212,1487.663621
18.032119,38,1487.760483
593.450482,1000,1520.244554
217.862705,568,1538.519987
499.040156,1000,1569.047716
462.659831,1000,1601.609408
465.990117,1000,1634.156467
571.436481,1000,1676.885375
608.89306,1000,1709.118497
676.334322,1000,1741.91292
215.442897,390,1754.136288
319.082604,1000,1784.819527
418.905125,1000,1817.676339
543.631085,1000,1850.227998
573.207594,1000,1880.923337
390.473526,1000,1914.088696
532.824775,1000,1945.00788
478.123444,1000,1977.980556
411.989688,1000,2023.20704
474.101002,1000,2054.597211
328.879282,608,2075.197545
14.848605,42,2075.304674
514.056163,1000,2108.895137
432.246399,843,2136.521899
487.392053,1000,2170.266807
726.900504,1000,2202.297172
621.612875,1000,2236.63532
35.409313,67,2238.781509
509.86609,1000,2273.390202
