#{"t_start": 1625531433.8093085, "env_id": "AntBulletEnv-v0"}
r,l,t
141.982392,302,0.663309
438.771442,1000,2.587923
500.337123,1000,4.529423
103.321293,207,4.934543
475.835741,1000,6.868648
459.537184,1000,8.519401
472.637625,1000,10.143995
508.571633,1000,11.777395
483.647248,1000,13.517941
52.000837,117,13.706189
509.215458,1000,15.567131
510.922779,1000,17.473048
170.938845,369,18.245827
29.207427,48,18.654321
246.334516,440,31.438439
394.266737,1000,62.775076
289.574696,957,92.435447
4.793114,20,92.483125
4.452642,20,92.531134
265.331031,1000,124.041646
283.766021,1000,155.698234
288.569784,1000,185.240904
67.588509,104,189.095819
86.081042,127,193.143844
428.318246,1000,224.34517
396.001533,1000,253.919593
348.383909,1000,285.065538
438.904692,1000,314.651303
101.900013,507,340.368407
366.061646,1000,371.688348
417.681608,1000,402.948309
480.349529,1000,432.384892
489.933919,1000,463.572036
481.780935,1000,494.695406
439.68772,1000,524.109255
527.920635,1000,555.233968
418.680444,1000,584.782041
287.570966,1000,616.084099
306.55071,625,635.320413
477.728432,1000,675.12069
407.454237,1000,706.514861
1.222577,23,706.571339
-0.865726,20,708.39602
423.811335,1000,737.91656
484.609306,1000,769.243625
522.751073,1000,800.388196
419.355954,1000,829.792278
520.365435,1000,860.886908
503.683024,1000,890.22922
563.897837,1000,921.510895
617.640131,1000,951.963141
647.490998,1000,992.957875
428.937597,1000,1024.342302
433.239146,1000,1055.783139
411.612396,1000,1085.378018
586.333027,1000,1116.513959
528.614322,1000,1146.070753
535.564869,1000,1177.544525
404.115877,1000,1209.072711
508.748232,1000,1238.910909
580.515266,1000,1269.283453
526.273127,1000,1312.81533
421.375786,1000,1342.162554
549.404388,1000,1373.441324
408.941454,1000,1402.792148
685.393232,1000,1433.845452
426.093441,1000,1465.025664
641.28396,1000,1494.486766
513.033136,1000,1525.676593
639.15752,1000,1556.796103
724.365045,1000,1585.294699
584.890519,1000,1628.232563
564.320785,1000,1657.534939
678.108474,1000,1688.66609
587.243017,1000,1719.881905
717.620273,1000,1749.224463
610.575059,1000,1780.604517
606.845932,1000,1811.98502
560.939409,1000,1841.555063
439.64594,1000,1873.046447
574.391884,1000,1901.641475
594.151309,1000,1944.967763
464.423324,1000,1976.834603
684.428146,1000,2006.981865
633.717119,1000,2039.179256
674.089112,1000,2071.945364
371.171737,1000,2102.742734
482.502991,1000,2135.689269
614.977889,1000,2167.091423
373.279257,1000,2200.362899
599.012643,1000,2233.115036
804.694824,1000,2276.47025
480.176939,1000,2310.380012
633.975072,1000,2344.264931
494.158396,1000,2376.461345
410.713218,1000,2410.509038
471.156807,1000,2442.783842
604.223649,1000,2476.856196
522.13934,1000,2510.783788
319.167945,1000,2542.384712
537.858126,1000,2576.601882
616.593088,1000,2622.56728
592.788238,1000,2654.977115
393.55841,1000,2689.340335
668.800627,1000,2721.713767
734.159719,1000,2756.005075
774.244514,1000,2790.39005
767.094957,1000,2822.694165
799.822574,1000,2856.525949
629.842183,1000,2890.958017
698.79217,1000,2923.454393
790.710786,1000,2969.931811
692.383443,1000,3002.228819
555.725927,1000,3036.850043
747.365091,1000,3071.204387
509.251501,1000,3103.879105
719.593804,1000,3137.60574
489.45445,1000,3171.982259
709.638576,1000,3204.445824
635.316058,1000,3238.953724
743.983255,1000,3271.571488
822.850493,1000,3317.992704
565.077375,1000,3352.654182
650.373388,1000,3385.109066
644.253466,1000,3419.66414
570.038173,1000,3453.390205
676.618565,1000,3485.820297
618.511138,1000,3520.253111
401.210906,1000,3552.921315
537.89039,1000,3587.371917
578.832733,1000,3621.952914
796.110422,1000,3666.24027
789.243951,1000,3700.808008
696.726311,1000,3735.341128
659.879754,1000,3766.966041
724.020324,1000,3801.626382
653.031387,1000,3834.374889
707.988808,1000,3868.930071
648.586634,1000,3903.510612
143.972837,126,3907.816362
612.965796,1000,3940.46338
630.563942,1000,3987.101673
741.487339,1000,4021.616895
850.550207,1000,4054.172719
755.704064,1000,4087.951347
613.725502,1000,4120.632627
632.740049,1000,4155.181603
864.112989,1000,4189.761455
738.050086,1000,4222.166451
859.868385,1000,4256.724651
801.816213,1000,4291.268704
744.90211,1000,4335.61389
806.052188,1000,4369.629502
644.608632,1000,4401.795953
743.48485,1000,4436.278299
720.964893,1000,4470.85917
573.283884,1000,4503.650352
751.806624,1000,4538.278368
507.844282,1000,4573.027622
734.707337,1000,4605.542476
394.898694,1000,4640.22289
829.744599,1000,4683.355875
721.50817,1000,4718.046962
596.322307,1000,4752.592086
834.165089,1000,4785.078316
651.906389,1000,4819.887916
811.549732,1000,4854.340166
606.102071,1000,4886.893575
706.302284,1000,4921.43306
841.257629,1000,4954.152148
592.343175,1000,4988.201149
883.264585,1000,5034.226542
513.598076,1000,5066.792395
680.675093,1000,5101.520558
799.535343,1000,5136.096281
861.153195,1000,5168.578194
569.084444,1000,5203.138157
905.374756,1000,5236.021286
726.007358,1000,5270.62578
597.752157,1000,5304.204773
897.997456,1000,5336.72919
885.517043,1000,5383.274532
499.817848,1000,5417.728548
864.595635,1000,5450.390892
757.270507,1000,5485.022941
911.038465,1000,5517.584142
935.823612,1000,5552.441081
722.971442,1000,5586.869431
641.359227,1000,5618.538084
815.168929,1000,5653.040651
938.351958,1000,5687.505685
800.39994,1000,5731.638068
889.124879,1000,5766.201253
486.811966,1000,5798.660345
1168.605393,1000,5832.934022
787.636518,1000,5867.57487
674.29878,1000,5900.103537
615.811684,1000,5933.697415
962.413186,1000,5968.239921
694.108777,1000,6000.664578
810.669859,1000,6035.222559
693.777776,1000,6079.585935
817.354755,1000,6114.073714
674.799229,1000,6148.715547
844.324519,1000,6181.28133
1128.487752,1000,6215.845581
922.983622,1000,6249.497991
937.810019,1000,6282.207188
1042.556958,1000,6316.769716
1046.050401,1000,6349.270598
944.763536,1000,6383.921034
952.53195,1000,6430.16917
940.777764,1000,6462.853748
1155.472551,1000,6497.346627
1163.915335,1000,6531.785073
764.838732,1000,6563.470928
828.649462,1000,6598.263493
794.538138,1000,6630.804567
890.79767,1000,6665.485551
595.52673,1000,6700.361988
992.051483,1000,6733.095838
653.654324,1000,6779.635699
871.041951,1000,6814.426188
708.821142,1000,6846.669742
1179.585166,1000,6880.751394
849.46882,1000,6913.338625
995.966627,1000,6947.881294
1424.122618,1000,6982.453496
812.79481,1000,7015.062183
1189.124417,1000,7049.475791
854.51589,1000,7084.156776
844.097682,1000,7128.466438
888.653285,1000,7162.321243
991.216501,1000,7194.773816
851.556686,1000,7229.192022
1149.551842,1000,7263.631516
937.767919,1000,7296.321941
1737.503778,1000,7330.964751
920.238076,1000,7365.595022
1554.63767,1000,7398.036875
1626.361592,1000,7432.560264
788.389534,1000,7475.433977
880.658674,1000,7510.000262
1501.934343,1000,7544.535782
1432.576676,1000,7577.095653
955.087517,1000,7611.666012
1321.752016,1000,7646.349654
1120.728289,1000,7678.771733
1150.201723,1000,7713.42469
1529.560951,1000,7745.864065
1125.934807,1000,7780.220133
755.107343,1000,7825.99178
949.456863,1000,7858.548402
1254.259635,1000,7893.289569
1342.264507,1000,7927.829172
1391.879171,1000,7960.498453
1043.658526,1000,7995.269413
1053.373071,1000,8027.871223
1412.84211,1000,8062.626782
1099.995909,1000,8096.857506
1534.472006,1000,8129.247408
1021.180302,1000,8175.52776
1798.755279,1000,8210.13536
1073.893279,1000,8242.73895
1461.231691,1000,8277.197101
1635.289535,1000,8309.818112
1590.780717,1000,8344.335
1682.906312,1000,8378.753406
1631.878551,1000,8410.652699
1625.023906,1000,8444.988572
1732.35793,1000,8479.625361
1848.344735,1000,8524.010547
1735.788692,1000,8558.524004
1639.092309,1000,8591.143406
1815.453569,1000,8625.584649
1393.365964,1000,8660.258199
