#{"t_start": 1626640232.0324926, "env_id": "AntBulletEnv-v0"}
r,l,t
141.982392,302,0.396335
438.771442,1000,1.576097
500.337123,1000,2.748844
103.321293,207,2.989798
475.835741,1000,4.158037
459.537184,1000,5.32239
472.637625,1000,6.492029
508.571633,1000,7.669796
483.647248,1000,8.841077
52.000837,117,8.977307
509.215458,1000,10.153338
510.922779,1000,11.321444
170.938845,369,11.754442
29.207427,48,12.009807
371.667744,744,26.491203
32.757819,121,29.154104
4.588312,20,29.204395
3.807858,20,30.837922
550.054286,1000,59.43837
362.686453,1000,92.048779
309.660722,1000,122.750642
5.765232,55,124.746797
44.561723,105,128.729954
7.200568,20,128.777508
7.15988,20,130.704043
460.679702,1000,161.450768
8.460025,20,161.50143
11.05523,26,163.451862
10.687868,25,163.545399
196.507155,466,179.754575
6.772096,20,179.810044
6.797018,20,179.864312
6.427741,20,181.78642
183.778889,616,200.220191
113.909842,308,210.433209
372.943792,1000,242.925118
262.590094,1000,274.034686
374.734773,1000,306.543299
329.408108,1000,350.279313
478.281322,1000,382.259113
479.162462,1000,414.749665
82.723911,298,423.074489
490.57369,1000,455.496893
544.495536,1000,487.897002
509.299953,1000,518.602565
554.078777,1000,551.024066
287.905795,559,569.289749
460.323983,1000,600.006405
483.386966,1000,632.329023
4.568029,20,632.37938
4.672661,20,632.434676
5.529515,21,634.410803
5.526314,21,634.493874
5.378549,21,634.551099
5.069112,21,636.48609
3.501173,23,636.547298
4.370784,24,638.469965
451.514754,1000,681.733564
353.318788,1000,713.735902
460.948284,1000,744.326707
607.88911,1000,776.687601
423.984355,1000,809.126576
204.009299,429,821.458255
123.417139,295,831.667986
4.601024,21,831.75157
546.659392,1000,864.309859
650.658037,1000,896.67394
451.933464,1000,927.153922
503.795447,1000,959.397563
477.338735,1000,1003.190272
496.053571,1000,1035.830541
720.982671,1000,1067.602102
165.142409,275,1075.813717
440.517659,1000,1108.409998
422.113927,1000,1138.955814
489.129229,1000,1171.689133
463.760914,1000,1202.447709
336.053736,1000,1234.900154
373.599307,1000,1266.708537
226.114463,675,1287.122719
504.807263,1000,1332.733339
606.065809,1000,1363.374343
598.364769,1000,1395.23137
639.15632,1000,1427.627263
549.887381,1000,1458.171586
519.399701,1000,1490.791911
463.655483,1000,1523.149979
294.31336,712,1545.690923
432.894009,1000,1575.4818
588.643163,1000,1607.543103
556.105139,1000,1651.916467
624.641288,1000,1682.335409
629.377575,1000,1714.826724
564.002738,1000,1745.047725
608.244514,1000,1777.43382
526.568341,1000,1809.67826
689.611975,1000,1840.473239
485.005587,1000,1872.876642
496.068047,1000,1904.466054
644.067291,1000,1935.14451
445.635078,1000,1981.02901
400.658543,1000,2011.997567
612.867499,1000,2044.827085
462.744121,1000,2077.260381
575.973762,1000,2108.394885
578.174741,1000,2141.564802
466.571592,1000,2174.970269
565.678689,1000,2205.489149
481.451782,1000,2239.201619
547.428328,1000,2270.486844
616.79169,1000,2315.06285
456.190674,1000,2348.399926
551.584891,1000,2380.219688
531.684334,1000,2413.561074
464.142362,1000,2446.722643
404.60755,1000,2478.327831
545.299526,1000,2512.079414
444.664325,1000,2542.832021
601.074132,1000,2576.254866
678.978849,1000,2609.754071
673.380293,1000,2652.259365
622.897035,1000,2685.948032
660.116996,1000,2719.409824
435.039207,1000,2751.031437
483.264924,1000,2784.283003
483.488818,1000,2815.673723
229.701944,1000,2848.576332
404.102377,1000,2882.199499
497.877048,1000,2913.911632
723.849775,1000,2947.581696
780.678099,1000,2994.558658
677.416959,1000,3026.36175
639.349783,1000,3060.067943
715.504536,1000,3091.687341
527.193046,1000,3125.058824
700.753053,1000,3158.588162
471.74288,1000,3189.545623
600.361606,1000,3223.254911
311.470934,1000,3256.828312
489.186987,1000,3288.810922
507.807909,1000,3336.114913
512.797509,1000,3367.730388
513.645528,1000,3401.397955
480.977851,1000,3435.229916
842.340968,1000,3466.89357
537.431522,1000,3499.330868
673.695062,1000,3532.860764
485.158126,1000,3564.812131
573.864103,1000,3598.34785
519.166215,1000,3630.27666
735.642709,1000,3677.166169
679.665155,1000,3710.761747
817.828754,1000,3742.567061
642.139942,1000,3776.326088
880.345115,1000,3809.359509
772.38238,1000,3840.490559
634.194898,1000,3874.219057
835.633106,1000,3905.832369
762.547243,1000,3939.373514
899.350409,1000,3973.038967
599.932835,1000,4017.982684
763.5247,1000,4051.655218
642.150789,1000,4085.42399
676.553848,1000,4117.168225
660.11502,1000,4150.36729
705.986668,1000,4182.412399
835.046717,1000,4215.880005
784.610451,1000,4249.631836
653.228525,1000,4281.25518
774.19097,1000,4314.992989
657.891123,1000,4361.671543
940.016882,1000,4393.422621
768.922592,1000,4427.112495
727.622073,1000,4458.041609
911.365449,1000,4491.798938
851.519145,1000,4525.569407
489.261686,1000,4557.082691
911.492884,1000,4590.830505
798.843547,1000,4624.415826
654.321864,1000,4656.33491
784.595677,1000,4703.411187
648.696877,1000,4735.188294
980.915262,1000,4768.628094
831.276669,1000,4802.110878
932.369055,1000,4834.092972
1019.982686,1000,4867.88363
669.018135,1000,4901.140017
1015.624116,1000,4932.939432
662.731559,1000,4966.841649
636.208772,1000,4998.525281
