#{"t_start": 1626104513.2622042, "env_id": "AntBulletEnv-v0"}
r,l,t
113.513866,213,0.336993
490.439068,1000,1.51367
506.575103,1000,2.700569
486.444341,1000,3.881284
501.92141,1000,5.877367
509.20153,1000,7.991315
516.102281,1000,10.094223
472.896731,1000,12.202605
103.792972,245,12.730156
489.917131,1000,14.877365
488.413054,1000,16.992357
483.491323,1000,32.082988
47.574109,242,39.771438
0.357724,30,39.848304
82.283811,349,52.383571
17.367667,38,52.479672
5.420235,23,54.46788
301.785461,1000,85.732504
19.248849,173,92.027626
327.689675,1000,125.478057
357.447401,1000,157.035994
391.43542,1000,190.700687
213.480324,1000,222.290392
365.602065,1000,255.767488
333.414013,1000,289.243921
366.671962,1000,320.710426
526.675753,1000,355.016313
2.72541,91,357.203649
224.524624,853,386.693255
458.69691,1000,417.746053
497.139196,1000,451.206897
251.810064,1000,485.16223
328.035865,1000,516.492133
437.96217,1000,549.499474
560.526847,1000,580.384938
444.624467,1000,613.258982
510.979883,1000,645.801196
571.903057,1000,688.630201
378.533925,1000,721.401213
441.675308,1000,753.936256
214.04301,1000,784.942776
404.682135,1000,817.756285
339.106503,1000,847.979018
556.372268,1000,880.199955
475.431616,1000,913.242813
470.621753,1000,944.812886
469.096607,1000,978.067396
408.027307,1000,1020.362309
172.987441,718,1043.061827
434.887692,1000,1074.558938
530.790081,1000,1107.663399
442.979654,1000,1140.418166
101.47105,283,1148.920254
321.870922,1000,1182.908011
387.870682,1000,1214.343542
555.390265,1000,1247.878109
561.328569,1000,1281.785455
594.049596,1000,1313.391251
378.459013,1000,1354.789771
575.514409,1000,1385.660721
677.106318,1000,1418.98999
589.19049,1000,1451.793787
651.7876,1000,1482.94465
495.398163,1000,1516.042585
524.143001,1000,1548.663601
552.056698,1000,1579.456606
586.398903,1000,1611.748978
602.371968,1000,1642.928717
0.992497,20,1644.852355
6.108792,24,1644.910845
3.543231,21,1644.961524
3.631544,21,1646.974042
287.329403,567,1665.57248
136.471899,257,1684.3297
646.643884,1000,1715.149449
580.221112,1000,1748.423784
658.873979,1000,1779.787419
586.465807,1000,1812.198081
708.069546,1000,1845.486682
371.23021,1000,1875.921299
434.851114,1000,1908.906645
621.152229,1000,1941.722247
517.834145,1000,1972.602578
653.339419,1000,2017.49751
605.97704,1000,2048.291569
573.881973,1000,2080.72965
521.79632,1000,2113.582357
553.260063,1000,2144.617154
570.219572,1000,2178.259362
615.595873,1000,2212.236577
597.140391,1000,2245.019106
606.998446,1000,2279.397678
481.353324,1000,2311.550885
674.602733,1000,2357.463947
664.22267,1000,2391.179086
495.901945,1000,2423.352481
683.312082,1000,2458.041356
570.946078,1000,2492.649209
451.747749,1000,2525.119752
523.496514,1000,2560.23962
592.302715,1000,2593.713234
446.336527,1000,2629.249933
389.489655,612,2652.208719
616.40836,1000,2686.168706
637.116558,1000,2733.406768
653.998915,1000,2768.530942
626.681341,1000,2802.501751
689.603577,1000,2837.88931
586.767333,803,2864.508139
703.891845,1000,2899.949048
645.0232,1000,2934.993192
544.215062,1000,2968.385563
699.060236,1000,3004.18119
691.724154,1000,3037.740846
674.076779,1000,3085.250911
679.236546,1000,3121.436854
505.447639,1000,3154.709454
733.838421,1000,3189.864823
616.212545,1000,3225.232296
621.964634,1000,3259.15699
659.959037,1000,3295.105244
639.979532,1000,3328.503884
584.184402,1000,3363.966037
681.7874,1000,3399.951421
600.935864,1000,3445.497132
764.479512,1000,3481.525489
654.292484,1000,3516.196973
530.934469,1000,3547.566911
644.84468,1000,3580.928752
667.068547,1000,3612.405104
564.690159,1000,3645.852294
698.66976,1000,3679.417569
774.613572,1000,3710.891517
765.886288,1000,3744.303683
653.848903,1000,3787.613318
667.76374,1000,3819.40875
569.083286,1000,3853.005589
675.274725,1000,3884.618372
749.561471,1000,3918.308111
595.449367,1000,3951.772874
778.240211,1000,3983.101928
642.573974,1000,4016.262118
704.373907,1000,4049.470402
719.569579,1000,4081.030652
796.825499,1000,4124.022728
595.987676,1000,4155.482716
749.224367,1000,4189.16653
751.74783,1000,4222.804643
730.463599,1000,4254.129064
577.695514,1000,4287.375746
736.310437,1000,4320.707471
636.089575,1000,4351.85387
508.047739,1000,4384.59828
820.171045,1000,4415.215505
704.389731,1000,4457.310757
770.393756,1000,4490.253644
691.97937,1000,4521.241273
786.13958,1000,4554.749859
664.751369,1000,4588.22391
761.926199,1000,4619.584369
904.873263,1000,4652.64767
738.301197,1000,4683.751506
780.201771,1000,4716.610857
722.846784,1000,4749.725119
614.418372,1000,4790.678173
709.256076,1000,4824.198866
526.767255,1000,4857.530612
750.760922,1000,4888.292404
739.353869,1000,4920.94743
700.188819,1000,4952.00463
961.989581,1000,4985.162706
720.767772,1000,5017.860067
717.612177,1000,5048.808
673.492831,1000,5081.967015
687.542584,1000,5124.647647
680.251487,1000,5155.574475
1077.239565,1000,5188.321097
862.091268,1000,5219.344579
664.566547,1000,5252.72245
735.155449,1000,5286.145713
791.919226,1000,5318.294972
597.671287,1000,5353.711259
732.553411,1000,5389.71069
798.209077,1000,5423.213576
742.922306,1000,5470.711087
749.199565,1000,5504.206157
841.881368,1000,5539.385449
682.520324,1000,5574.653955
717.323519,1000,5608.120197
649.673324,1000,5643.537645
814.063106,1000,5678.66935
697.952924,1000,5712.347374
665.098979,1000,5747.905881
895.761725,1000,5781.428619
798.131743,1000,5829.571768
626.150154,1000,5865.776957
1126.891844,1000,5899.905997
1010.318925,1000,5935.239926
1158.643151,1000,5971.441256
879.082303,1000,6005.110205
1134.571614,1000,6040.084914
865.384437,1000,6073.203979
729.014059,1000,6108.067856
788.996469,1000,6143.292344
707.624777,1000,6188.076259
834.435087,1000,6223.795955
761.486836,1000,6259.503721
839.579296,1000,6293.19495
914.5244,1000,6328.996975
648.931495,1000,6363.618209
617.168786,1000,6399.053028
1150.427035,1000,6435.107795
618.830823,1000,6469.062322
858.667855,1000,6505.171766
899.108194,1000,6552.618585
839.265807,1000,6586.142622
742.9358,1000,6619.290015
980.830638,1000,6650.460294
603.780763,1000,6683.540756
691.061075,1000,6717.002473
933.000784,1000,6747.990208
649.454302,1000,6781.339829
785.781237,1000,6814.274219
674.828949,1000,6845.705528
829.001156,1000,6889.078798
923.797454,1000,6919.891065
733.628674,1000,6952.487244
872.942565,1000,6985.287713
637.022653,1000,7016.007946
1106.977428,1000,7048.297488
779.216424,1000,7080.656855
867.822341,1000,7111.535023
1013.411468,1000,7144.642985
1019.01924,1000,7175.898081
992.905378,1000,7219.468413
726.076269,1000,7253.014113
947.773925,1000,7284.540421
776.654869,1000,7317.655999
1106.272034,1000,7350.900604
836.26594,1000,7381.81687
1106.013083,1000,7414.907067
1154.160343,1000,7446.035204
1188.668655,1000,7479.749169
916.462497,1000,7513.682143
1489.282098,1000,7555.631439
749.036059,1000,7589.528947
1407.730283,1000,7623.093073
1151.247965,1000,7654.479546
1535.567061,1000,7687.673125
1006.892374,1000,7718.625418
1563.571505,1000,7751.822114
1011.56028,1000,7785.424714
1622.184331,1000,7817.122546
1513.807028,1000,7850.632641
1715.985327,1000,7893.704153
1467.595338,1000,7925.008194
1149.156254,1000,7958.092654
1506.239404,1000,7989.471211
1447.730298,1000,8022.519374
1704.971843,1000,8055.656511
1516.383696,1000,8087.174468
1607.317519,1000,8120.762415
1938.603455,1000,8154.009042
1116.471084,1000,8185.518255
569.763709,1000,8229.183966
1957.249255,1000,8260.414134
1946.596169,1000,8293.618288
1975.459539,1000,8326.900849
1865.79704,1000,8358.228293
2107.697791,1000,8391.658522
1969.99754,1000,8424.540996
1884.070738,1000,8455.313188
1978.254796,1000,8487.972577
1959.801765,1000,8519.018295
2119.264821,1000,8562.518428
2060.133163,1000,8595.858948
2045.681725,1000,8627.751093
1641.957934,1000,8661.150681
2090.487804,1000,8694.66538
2145.883444,1000,8726.185853
2198.70392,1000,8759.396394
2021.443819,1000,8790.237397
2122.14305,1000,8822.988304
2193.472923,1000,8856.402467
2163.336624,1000,8897.526747
2102.842274,1000,8930.988956
2223.157613,1000,8963.870328
2236.812416,1000,8995.064021
2276.553896,1000,9027.721288
2147.929903,1000,9059.159966
2153.149965,1000,9092.393927
2144.894685,1000,9125.846605
2301.909244,1000,9157.114796
2200.448664,1000,9190.577195
2281.195254,1000,9233.199977
2261.409208,1000,9264.436076
2321.174745,1000,9297.596527
2225.407788,1000,9329.023335
2188.361224,1000,9362.60173
2239.125994,1000,9395.982273
2340.647776,1000,9427.332077
2439.362915,1000,9460.361878
2263.281589,1000,9493.153409
