#{"t_start": 1624953733.3379054, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-104.212704,65,0.061169
-116.620449,88,0.121686
-106.837979,2000,1.089476
-100.660379,72,1.125594
-105.82102,76,1.163815
-116.315553,58,1.193964
-101.960684,73,1.230843
-117.224842,84,1.27198
-101.228775,83,1.315162
-100.239989,101,1.367224
-106.805091,2000,2.333324
-100.074255,67,2.36829
-100.937826,74,2.406312
-99.727124,99,2.455232
-109.730465,2000,3.744311
-100.572844,91,3.836816
-104.654413,57,3.897086
-103.902139,2000,5.8226
-161.477836,1463,22.270697
-152.44243,386,32.795993
-121.258173,51,34.230022
-139.034427,211,40.035634
-122.693438,51,41.437754
-118.089779,44,42.649815
-119.07979,53,44.118543
-114.662954,40,45.225141
-121.380723,46,46.524911
-114.588236,41,47.668079
-118.950239,43,48.860388
-110.661687,72,50.825542
-144.288372,657,68.913308
-106.057086,68,70.780314
-108.451446,55,72.287513
-108.173326,57,73.841003
-107.360267,55,75.352384
-106.271823,52,76.770015
-110.92274,47,78.088034
-111.381835,42,79.245634
-102.316401,70,81.174972
-103.989908,60,82.822307
-101.555574,74,84.881263
-102.505558,77,86.992618
-105.28436,119,90.306846
-104.738706,63,92.047291
-105.453598,85,94.392802
-100.475653,54,95.874079
-100.503921,62,97.564841
-101.993079,60,99.232127
-100.561147,60,100.898065
-100.308319,53,102.387134
-102.23932,56,103.95489
-101.788275,48,105.28345
-102.895854,55,106.829026
-221.954409,1730,154.258152
-105.180786,45,155.493021
-103.094294,60,157.16535
-125.719686,134,160.832048
-144.733523,2000,215.796483
-129.979746,158,220.136196
-106.797547,56,221.671127
-155.536505,538,236.41841
-126.788552,2000,292.133645
-132.581559,2000,347.518969
-115.634636,273,355.006328
-102.042715,2000,410.344816
-224.319476,1794,459.692119
-126.673445,432,471.662029
-131.934438,874,495.731686
-96.248492,2000,551.083055
-77.080591,2000,606.718689
-104.846512,67,608.568965
-106.610973,60,610.235608
-101.534676,72,612.234903
-131.008264,165,616.762
-104.494689,67,618.611503
-107.724161,63,620.357042
-102.603152,92,622.93546
-111.78601,103,625.791737
-102.773597,165,630.369136
-107.011786,68,632.249948
-114.432003,56,633.803911
-117.441545,85,636.162311
-103.82725,113,639.311959
-160.379727,1094,669.717047
-129.010876,1105,700.480472
-122.552212,127,703.990523
