#{"t_start": 1625034741.0615747, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-104.212704,65,0.09877
-116.620449,88,0.185389
-106.837979,2000,2.069748
-100.660379,72,2.142562
-105.82102,76,2.218964
-116.315553,58,2.280106
-101.960684,73,2.355836
-117.224842,84,2.439766
-101.228775,83,2.524588
-100.239989,101,2.615874
-106.805091,2000,4.50881
-100.074255,67,4.578141
-100.937826,74,4.652174
-99.727124,99,4.749925
-109.730465,2000,6.645441
-100.572844,91,6.738056
-104.654413,57,6.787784
-103.902139,2000,8.698522
-164.88709,1338,21.954492
-116.903936,62,23.621162
-110.519225,52,25.064803
-127.808023,132,28.669724
-200.985054,1132,60.019819
-105.059612,46,61.291862
-105.41249,72,63.320439
-103.956085,46,64.602242
-112.613039,88,67.04692
-121.640617,82,69.332835
-102.975086,56,70.917163
-102.111814,112,74.132362
-101.826804,46,75.454813
-101.587096,99,78.204788
-100.052708,56,79.765784
-102.051989,60,81.417441
-107.827918,193,86.910488
-100.427051,48,88.237044
-101.056618,50,89.644191
-101.706467,92,92.20821
-101.240745,95,94.848229
-112.427251,116,98.210569
-99.83645,69,100.165568
-103.284661,54,101.77637
-99.562976,87,104.20955
-98.681477,83,106.487939
-101.615944,51,107.919348
-99.328558,66,109.779558
-100.021339,69,111.710016
-100.809218,59,113.349865
-99.733668,59,114.993526
-104.247762,70,116.943899
-110.157968,53,118.424157
-104.251274,39,119.528509
-96.964323,97,122.242989
-113.066262,91,124.778333
-98.24205,94,127.364625
-109.75841,68,129.250573
-109.141858,76,131.387787
-127.984569,256,138.443085
-119.62783,294,146.719413
-129.848266,177,151.553828
-255.35511,1706,199.891004
-105.387892,127,203.500856
-146.265952,2000,260.055728
-100.877561,73,262.11592
-100.643839,65,263.978377
-117.741954,2000,323.742036
-108.850976,42,324.935829
-184.420756,1669,372.21407
-104.719415,2000,428.813033
-144.100292,2000,485.427329
-234.742071,1948,540.328235
-176.05145,1735,590.818227
-115.992347,71,592.828094
-116.001456,56,594.431577
-120.994627,69,596.373318
-109.787113,2000,652.600769
-222.883257,1668,699.437617
-184.132711,1020,728.213878
-119.88843,650,746.504325
-117.890725,2000,802.958916
-107.920555,2000,860.04479
-121.496343,67,862.454763
-133.526741,900,887.946709
-166.602534,2000,945.445053
-209.217628,1211,982.273947
-153.523399,577,999.7814
-106.211135,64,1001.713668
-115.480183,147,1006.160272
-112.388576,83,1008.703084
-190.83684,1365,1050.178617
-110.057762,2000,1110.970841
-137.175324,2000,1185.947206
-133.845512,2000,1246.552192
-139.042574,780,1270.203518
-120.729187,528,1286.176239
-103.887792,125,1290.004387
-123.344037,68,1292.076573
-122.91498,67,1294.173987
-128.508275,104,1297.345095
-118.571939,304,1306.577536
-116.723283,467,1320.487811
-132.737718,891,1345.387127
-109.102373,2000,1401.662215
-128.222694,113,1404.850873
-108.024527,37,1405.912884
-122.670957,76,1408.039101
-121.823815,72,1410.057794
-122.164889,58,1411.698551
