#{"t_start": 1626372355.6254313, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.144594
-1143.119155,1000,2.14545
-1247.080482,1000,3.128469
-1342.597029,1000,4.101068
-1223.700469,1000,5.070334
-1454.851774,1000,6.024273
-1216.596965,1000,7.010918
-1070.317227,1000,8.002858
-1152.0094,1000,8.959088
-1133.423199,1000,9.921812
-1136.043004,1000,46.249394
-1111.548918,1000,77.761651
-719.816058,1000,109.260853
-972.810967,1000,138.924207
-499.05562,1000,170.442105
477.998376,1000,199.983209
-37.299313,1000,231.360749
569.230402,1000,262.965858
-41.109012,1000,292.624516
515.624713,1000,324.055502
443.861928,1000,365.046906
-28.212812,1000,394.333666
403.889459,1000,425.653087
321.461153,1000,455.025787
282.237051,1000,486.295935
438.426452,1000,517.565733
274.260008,1000,546.939603
119.872326,1000,578.561911
-286.270709,1000,610.125909
469.602057,1000,639.75118
486.532003,1000,680.754835
420.15242,1000,709.976595
441.254416,1000,741.263073
451.473518,1000,772.610601
438.700371,1000,801.955508
339.551925,1000,833.205145
564.99435,1000,864.520893
-46.021039,1000,894.06351
378.069308,1000,925.301627
516.526774,1000,954.886824
561.561017,1000,996.347981
308.451102,1000,1027.783593
150.331936,1000,1057.091502
551.722552,1000,1088.665475
316.529382,1000,1120.299844
112.830432,1000,1149.977663
-119.391345,1000,1181.549775
449.898301,1000,1212.100692
556.827101,1000,1243.586227
611.90736,1000,1274.754696
526.753103,1000,1315.787329
571.823894,1000,1347.068553
592.733208,1000,1378.313748
600.488463,1000,1406.321728
529.183683,1000,1437.258686
604.471601,1000,1466.716181
645.328279,1000,1498.005225
636.5761,1000,1529.160107
671.039338,1000,1558.509457
626.226043,1000,1589.670875
672.113579,1000,1632.371087
678.519667,1000,1661.737062
630.266842,1000,1693.011265
735.805206,1000,1722.268036
637.10992,1000,1752.189981
645.986559,1000,1783.096109
597.456043,1000,1812.734622
597.07447,1000,1843.895225
716.822334,1000,1875.111897
558.584491,1000,1904.474445
665.222069,1000,1947.075153
149.472045,1000,1976.508737
615.483297,1000,2007.712029
640.920889,1000,2039.29952
690.039874,1000,2068.709171
697.200393,1000,2098.85897
672.3676,1000,2130.114863
715.520828,1000,2160.1007
685.775512,1000,2191.910633
721.951216,1000,2221.921609
693.258195,1000,2265.702542
685.645297,1000,2297.956085
687.115162,1000,2328.334049
668.884801,1000,2360.67906
687.45872,1000,2393.105421
707.324614,1000,2423.483719
703.364003,1000,2454.518382
686.737281,1000,2485.038035
760.302224,1000,2517.488774
737.621492,1000,2549.946159
769.275541,1000,2591.896265
773.941878,1000,2624.375343
705.213278,1000,2656.815345
772.703311,1000,2687.335157
750.742637,1000,2719.769495
761.634433,1000,2750.263818
727.388826,1000,2782.680362
758.700878,1000,2813.7722
761.38338,1000,2844.198969
789.744481,1000,2876.642969
720.148819,1000,2920.446297
797.746361,1000,2951.09102
760.326216,1000,2983.5395
746.488753,1000,3014.158132
748.793339,1000,3046.578805
769.758972,1000,3078.867353
715.622916,1000,3109.298826
736.995384,1000,3141.554254
804.307028,1000,3172.675058
701.344896,1000,3203.218598
763.478791,1000,3247.1132
693.218947,1000,3277.743907
695.000683,1000,3310.243255
754.850207,1000,3342.715809
752.87494,1000,3373.308063
743.148217,1000,3405.808883
795.298455,1000,3438.210656
773.161972,1000,3468.720546
779.379045,1000,3501.143712
777.119502,1000,3530.438341
594.442204,1000,3574.226791
697.254417,1000,3606.810254
764.73587,1000,3637.372218
742.359785,1000,3669.684302
822.968216,1000,3702.206444
902.49793,1000,3732.940883
778.476017,1000,3765.338732
890.345093,1000,3795.842735
963.269428,1000,3828.179121
947.247706,1000,3860.356242
859.62525,1000,3900.074355
984.316075,1000,3932.430329
901.970974,1000,3964.848522
980.272716,1000,3995.367483
924.787719,1000,4027.634521
1034.244282,1000,4058.080284
1108.395796,1000,4090.718658
1078.009738,1000,4123.10302
1043.663547,1000,4153.560635
1101.87984,1000,4186.182185
1136.023618,1000,4228.279482
1129.359801,1000,4258.816194
1145.882282,1000,4291.131621
1159.881574,1000,4321.828949
1189.921804,1000,4354.396423
1180.935239,1000,4386.780887
1237.876362,1000,4417.269014
1266.226437,1000,4449.561369
1254.02117,1000,4481.948615
1273.892202,1000,4512.292469
1252.380977,1000,4555.971076
1242.55804,1000,4585.252656
1275.674152,1000,4617.601804
1263.46541,1000,4649.940508
1256.655361,1000,4680.51935
1274.796249,1000,4712.943449
1273.577428,1000,4745.386411
1113.468857,1000,4776.022356
1273.274115,1000,4808.594624
1280.597963,1000,4839.174901
1284.418452,1000,4882.546328
1303.957451,1000,4914.842397
1313.147101,1000,4944.194492
1225.903825,1000,4976.660501
1325.807362,1000,5009.151923
1297.227267,1000,5039.901039
1353.4589,1000,5072.279357
1279.316282,1000,5102.792016
1346.591014,1000,5135.187065
1298.050821,1000,5167.448671
1358.605052,1000,5208.95862
1392.154839,1000,5241.365937
1396.805981,1000,5273.708945
1380.666105,1000,5303.158182
1401.594242,1000,5335.511319
1383.096142,1000,5366.013732
1376.170843,1000,5398.459535
1404.821804,1000,5430.83143
1423.294992,1000,5461.325027
1393.171572,1000,5493.781256
1399.017887,1000,5537.295638
1453.763134,1000,5567.770619
1424.414131,1000,5600.255163
1396.583431,1000,5630.819563
1416.780988,1000,5662.056078
1478.638495,1000,5694.525318
1450.430574,1000,5725.018708
1467.587674,1000,5757.474997
1439.643754,1000,5790.043798
1476.85072,1000,5820.549813
1458.552547,1000,5864.148554
1487.130889,1000,5894.548374
1515.148787,1000,5926.904106
1489.242448,1000,5959.273748
1499.477948,1000,5989.711158
1438.891357,1000,6020.912525
1494.307543,1000,6053.304517
1492.732216,1000,6083.818949
1501.565338,1000,6116.297849
1465.548781,1000,6146.88278
1536.97942,1000,6190.51315
1439.971709,1000,6222.982017
1463.043562,1000,6253.35147
1471.388396,1000,6285.877184
1524.713566,1000,6318.368275
1517.823306,1000,6348.993246
1522.498895,1000,6380.453997
1485.55252,1000,6410.94678
1536.795376,1000,6443.313244
1534.015533,1000,6475.610824
1503.275595,1000,6517.163001
1484.437988,1000,6549.594111
1505.215035,1000,6582.033344
1533.823173,1000,6612.585107
1540.694955,1000,6645.295847
1438.493998,1000,6676.065047
1481.294717,1000,6708.611487
1541.994391,1000,6740.215029
1551.800038,1000,6770.916177
1558.921104,1000,6803.503586
1532.110836,1000,6847.408203
1590.612663,1000,6878.13893
1569.703393,1000,6910.794097
1553.991991,1000,6941.350582
1566.503519,1000,6974.074728
1613.357306,1000,7006.626399
1541.880264,1000,7037.449746
1573.779241,1000,7069.108826
1537.190033,1000,7101.95935
1544.348187,1000,7132.820718
1575.444074,1000,7176.701369
1536.881062,1000,7207.543934
1611.337354,1000,7240.23787
1600.805461,1000,7272.905003
1600.852538,1000,7303.614684
1604.146106,1000,7336.372415
1605.741063,1000,7369.140677
1595.006927,1000,7398.72991
1646.092597,1000,7431.212635
1629.311377,1000,7461.864663
1616.425043,1000,7505.855556
1634.81301,1000,7538.477492
1586.286524,1000,7569.335285
1655.794676,1000,7601.886018
1615.903747,1000,7634.54764
1303.205932,1000,7665.196986
1655.958279,1000,7697.800959
1616.061897,1000,7727.359388
1616.468233,1000,7759.988049
1605.40498,1000,7792.663972
1661.279578,1000,7834.757938
1649.159772,1000,7867.368114
1661.738759,1000,7899.997346
1609.631076,1000,7930.712624
1651.874708,1000,7963.411319
1650.835151,1000,7993.861159
1619.634002,1000,8026.674728
1642.572349,1000,8058.388402
1639.213285,1000,8088.99792
1632.084629,1000,8121.552008
1648.091494,1000,8165.422618
1646.679238,1000,8196.183315
1687.205082,1000,8228.827778
1656.324104,1000,8259.622845
1598.327511,1000,8292.280913
1527.517777,1000,8324.85208
-1646.114648,1000,8355.627811
1625.106208,1000,8387.356433
1592.691965,1000,8420.223481
1631.332996,1000,8450.881388
1676.115132,1000,8494.75329
1685.440412,1000,8525.591529
1623.240784,1000,8558.215168
1612.967174,1000,8590.882708
1648.12698,1000,8621.590651
1714.510865,1000,8654.110549
1671.64998,1000,8686.699314
1709.339269,1000,8716.724499
1695.477915,1000,8749.015674
1703.284139,1000,8779.875819
1752.464931,1000,8823.938075
1729.030187,1000,8856.631978
1767.129192,1000,8887.393742
1726.443662,1000,8920.241781
1668.897054,1000,8953.01119
1703.449506,1000,8983.718437
1717.341578,1000,9016.560482
1775.030579,1000,9047.044334
1719.218269,1000,9078.842196
1735.157542,1000,9111.515692
1657.157171,1000,9153.321819
1756.967753,1000,9185.997166
1747.629817,1000,9218.563289
1760.454567,1000,9249.157402
1718.200243,1000,9281.751533
1727.810739,1000,9312.358831
1762.066534,1000,9345.096637
1870.926812,1000,9377.701842
1846.370354,1000,9407.308092
1760.004913,1000,9439.967329
1803.523782,1000,9484.017568
1821.22008,1000,9514.798302
1851.777127,1000,9547.355846
1865.799429,1000,9578.061915
1891.097242,1000,9610.700859
1828.95934,1000,9643.365321
1795.403174,1000,9674.338235
1896.889439,1000,9706.973537
1758.363308,1000,9738.461764
1781.494763,1000,9769.4457
1867.698632,1000,9813.421918
1834.175761,1000,9844.456642
1830.030942,1000,9877.361195
1837.568781,1000,9910.237342
1830.613614,1000,9941.196051
1903.266407,1000,9974.111044
1869.827411,1000,10007.054219
1887.124686,1000,10037.988944
1964.613948,1000,10069.738928
1964.702613,1000,10100.942845
1917.377202,1000,10145.087176
1930.082469,1000,10177.936401
1883.495627,1000,10208.914811
1918.153009,1000,10241.85692
1891.725663,1000,10274.709155
1903.15558,1000,10305.488632
1958.639145,1000,10338.411059
2009.731575,1000,10369.336839
1975.889807,1000,10401.245482
1961.067222,1000,10434.212515
2013.955037,1000,10476.354273
1963.526507,1000,10509.361099
1930.972934,1000,10542.361141
1975.686362,1000,10573.386925
1993.7189,1000,10606.465898
2017.07515,1000,10637.502243
1973.302695,1000,10670.571079
2046.639544,1000,10703.685684
1951.226747,1000,10733.735705
2005.764613,1000,10766.864564
1936.45302,1000,10810.850683
1981.075671,1000,10842.110541
1918.851355,1000,10875.192447
2055.141826,1000,10906.382632
2022.354176,1000,10939.638729
2057.182485,1000,10972.738487
2012.43772,1000,11003.913285
2024.360553,1000,11037.084216
1981.629572,1000,11069.720324
2111.422901,1000,11100.460541
2045.227718,1000,11144.433803
2109.783625,1000,11175.580794
2077.839515,1000,11208.800785
2034.316373,1000,11242.102387
2102.068102,1000,11273.400647
2106.644143,1000,11306.572927
2108.956476,1000,11339.658345
2098.016819,1000,11370.86341
2170.660618,1000,11403.909303
2099.647802,1000,11434.191765
2070.847643,1000,11478.333588
2137.489731,1000,11511.251386
2130.169037,1000,11542.30394
2135.868769,1000,11575.391486
2190.376024,1000,11608.517921
2135.605109,1000,11639.755613
2083.81171,1000,11672.903797
2170.092711,1000,11704.09216
2180.852288,1000,11737.151221
2120.308045,1000,11769.041628
2191.995641,1000,11811.201968
2074.099296,1000,11844.315478
2084.6299,1000,11877.583442
2092.820427,1000,11908.84239
2037.683714,1000,11942.005637
2155.572612,1000,11973.245244
2107.868334,1000,12006.543804
2222.756088,1000,12039.687585
2116.980085,1000,12070.881026
2186.018108,1000,12103.190288
2139.782853,1000,12147.585237
2159.23293,1000,12178.798957
2186.813254,1000,12211.814704
2163.380319,1000,12243.174647
2180.658332,1000,12276.412642
2246.480062,1000,12309.486273
2225.339573,1000,12340.680449
2175.628711,1000,12373.983534
2196.274168,1000,12407.333824
2274.824646,1000,12437.58123
2181.812078,1000,12481.887569
2279.997527,1000,12513.171479
2114.535985,1000,12546.380067
2244.80194,1000,12579.59712
2317.907682,1000,12610.865594
2248.311422,1000,12643.995236
2254.674,1000,12677.297044
2276.11609,1000,12708.683733
