#{"t_start": 1626372363.3439806, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.011158
-1143.119155,1000,2.00673
-1247.080482,1000,2.976724
-1342.597029,1000,3.931666
-1223.700469,1000,5.043758
-1454.851774,1000,6.40372
-1216.596965,1000,7.722698
-1070.317227,1000,9.020974
-1152.0094,1000,10.351294
-1133.423199,1000,11.877023
-1377.885047,1000,55.807264
-1490.48798,1000,89.886125
-1336.936919,1000,123.834716
-1190.368308,1000,155.493644
-1049.353993,1000,189.059637
-1465.007398,1000,221.131882
-894.068283,1000,254.984993
-891.559485,1000,288.952303
-675.366626,1000,320.895114
-256.75949,1000,354.340598
210.105621,1000,400.864391
343.543817,1000,432.967491
437.399686,1000,467.248123
446.36021,1000,498.940925
270.560786,1000,532.977494
553.002385,1000,567.175484
452.976209,1000,599.246565
-237.240032,1000,633.035046
181.7667,1000,666.780769
476.102646,1000,698.039862
458.465253,1000,744.710002
457.052156,1000,776.510678
593.468365,1000,810.474398
504.835988,1000,844.57868
548.671603,1000,876.401247
-239.70916,1000,910.279678
593.052479,1000,944.242272
493.553571,1000,975.852375
464.491346,1000,1009.803091
381.260916,1000,1041.108012
468.681946,1000,1087.543226
619.284804,1000,1121.474571
169.385103,1000,1153.371502
585.196296,1000,1187.136851
609.296308,1000,1221.503913
583.258621,1000,1253.66036
609.72821,1000,1287.526001
644.987346,1000,1319.595566
540.884026,1000,1353.837118
490.895714,1000,1387.77641
610.87941,1000,1432.568455
597.895245,1000,1466.848765
637.568484,1000,1501.139546
595.563454,1000,1533.242011
602.184419,1000,1567.434946
709.580909,1000,1599.256198
542.729631,1000,1633.341317
634.766688,1000,1667.598165
580.812347,1000,1699.956992
585.511729,1000,1733.960007
664.820239,1000,1781.263717
694.404615,1000,1813.456624
589.314833,1000,1847.801996
342.508361,1000,1880.108167
516.724442,1000,1914.077512
658.713852,1000,1948.288073
650.851891,1000,1980.340997
677.047681,1000,2014.494232
571.344182,1000,2048.649323
632.836999,1000,2080.461938
701.89917,1000,2127.501149
466.093823,1000,2159.410523
686.032566,1000,2193.462068
703.003562,1000,2227.228498
530.977588,1000,2259.17288
434.317658,1000,2293.243242
637.248967,1000,2327.45993
