#{"t_start": 1625477966.1369956, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.1322
-1143.119155,1000,2.173332
-1247.080482,1000,3.179835
-1342.597029,1000,4.168564
-1223.700469,1000,5.166469
-1454.851774,1000,6.141834
-1216.596965,1000,7.142978
-1070.317227,1000,8.148754
-1152.0094,1000,9.132461
-1133.423199,1000,10.112535
-1261.827854,1000,49.583696
-1209.108803,1000,80.126922
-1100.258702,1000,110.848601
-699.788561,1000,139.743001
-12.682855,1000,170.390864
440.052702,1000,199.254266
365.204501,1000,230.547332
127.912745,1000,260.870797
173.701362,1000,289.426525
624.821268,1000,319.729386
478.016516,1000,361.030125
562.587447,1000,389.904538
541.576474,1000,420.53215
237.553523,1000,449.154293
469.842129,1000,479.320586
491.196639,1000,509.434566
459.117716,1000,537.943519
541.495628,1000,568.218641
535.627698,1000,598.48164
534.645893,1000,626.95004
385.48139,1000,668.056847
670.500751,1000,696.446104
600.908463,1000,726.640959
223.258121,1000,756.787707
475.282741,1000,785.782019
494.186554,1000,816.442689
242.401025,1000,846.693525
535.20854,1000,875.117641
569.923521,1000,905.361757
619.645174,1000,933.866128
614.689545,1000,975.332762
636.000972,1000,1005.302591
613.234109,1000,1033.745633
604.407263,1000,1063.933513
486.445969,1000,1094.091921
628.131455,1000,1122.489408
-1610.065872,1000,1152.955484
190.17442,1000,1181.647818
628.333463,1000,1212.205344
226.641291,1000,1242.485339
706.592264,1000,1281.978675
647.485975,1000,1312.148657
403.097659,1000,1339.770469
676.685272,1000,1366.237108
633.147819,1000,1394.279835
649.104606,1000,1420.676398
596.269619,1000,1448.698373
666.460029,1000,1476.760776
-29.504169,1000,1503.178545
548.129603,1000,1531.256356
690.738899,1000,1569.871861
732.534475,1000,1596.73366
643.970131,1000,1624.829491
746.57726,1000,1650.188581
773.734726,1000,1678.190941
480.188073,1000,1706.231435
747.120205,1000,1732.68212
749.627648,1000,1760.768661
786.956214,1000,1788.847944
718.274599,1000,1815.230294
597.619101,1000,1853.316248
720.922989,1000,1879.745597
778.391125,1000,1907.858536
782.811425,1000,1935.948979
728.876797,1000,1962.388473
692.318042,1000,1990.943431
805.87775,1000,2019.384167
729.356339,1000,2046.24153
779.329451,1000,2074.844419
782.046976,1000,2101.964705
736.253744,1000,2140.97908
772.711093,1000,2170.016135
527.051261,1000,2197.395341
761.592044,1000,2226.56677
786.731441,1000,2255.192324
815.66004,1000,2282.213637
781.838966,1000,2311.799086
835.851782,1000,2339.640963
839.560922,1000,2369.095953
879.231452,1000,2398.247568
795.199408,1000,2435.577009
745.790502,1000,2464.876261
789.231981,1000,2494.04116
882.334978,1000,2521.466248
736.043323,1000,2550.483123
