#{"t_start": 1626205973.5017347, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.067023
-1143.119155,1000,2.084907
-1247.080482,1000,3.083442
-1342.597029,1000,4.065686
-1223.700469,1000,5.061724
-1454.851774,1000,6.027112
-1216.596965,1000,7.018276
-1070.317227,1000,8.024348
-1152.0094,1000,9.001419
-1133.423199,1000,9.986342
-1175.420974,1000,45.371972
-1162.341896,1000,73.820891
-1041.198361,1000,102.08215
-1145.383362,1000,128.532066
-473.052462,1000,156.520444
27.253308,1000,182.744736
331.623921,1000,210.626508
361.673778,1000,238.474285
-534.145686,1000,264.844776
-47.635822,1000,292.848671
-25.346474,1000,329.501279
477.375137,1000,355.875454
217.188241,1000,383.852859
575.257788,1000,410.232181
579.150578,1000,438.326751
376.036682,1000,466.277165
388.971344,1000,492.635984
369.393891,1000,520.603675
191.396927,1000,548.645197
589.392658,1000,575.025947
378.646183,1000,611.637311
603.249453,1000,637.984175
-620.729396,1000,666.004339
437.484781,1000,693.97765
623.469136,1000,720.380086
640.993925,1000,748.357338
609.888385,1000,776.397042
-17.784713,1000,802.729879
583.671748,1000,830.699389
708.345888,1000,857.051693
614.845577,1000,893.857413
585.359896,1000,921.463749
613.72187,1000,947.878982
719.924598,1000,975.884454
765.867692,1000,1003.877852
794.792838,1000,1030.252672
720.985428,1000,1058.279664
733.907853,1000,1084.6098
717.51693,1000,1112.683243
640.299258,1000,1140.660461
662.414251,1000,1175.805511
675.263193,1000,1203.639978
-1570.770943,1000,1231.373617
-1540.001128,1000,1257.673529
-247.084763,1000,1285.602311
638.484705,1000,1311.900744
269.244668,1000,1339.945069
703.371535,1000,1367.936745
794.907649,1000,1394.262496
809.193944,1000,1422.249323
830.442742,1000,1459.002365
805.762496,1000,1485.455982
896.152153,1000,1513.136028
850.481981,1000,1539.525807
367.876642,1000,1567.625684
887.491149,1000,1595.674641
891.321842,1000,1622.08776
898.070294,1000,1650.190591
867.560075,1000,1678.317053
842.169973,1000,1704.722626
925.936517,1000,1741.542693
