#{"t_start": 1625495418.4959128, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.022042
-1143.119155,1000,2.02973
-1247.080482,1000,3.029335
-1342.597029,1000,4.091519
-1223.700469,1000,5.074364
-1454.851774,1000,6.045657
-1216.596965,1000,7.05248
-1070.317227,1000,8.078079
-1152.0094,1000,9.061973
-1133.423199,1000,10.037293
-1260.598534,1000,37.83071
-1138.56823,1000,65.403657
-1186.146185,1000,95.575907
-842.807432,1000,123.615891
-620.011697,1000,153.761048
-554.345921,1000,181.963612
-1018.412213,1000,211.628797
34.011293,1000,241.356307
-421.307554,1000,269.287823
41.249451,1000,299.002223
146.543716,1000,339.296364
171.685792,1000,366.532187
243.640803,1000,395.930291
476.304832,1000,423.777727
460.689511,1000,453.666981
-732.861682,1000,483.230655
-301.57517,1000,511.071361
568.04143,1000,540.553234
622.046252,1000,570.106032
360.307267,1000,598.298105
-1050.493362,1000,638.462206
513.381896,1000,666.271389
646.675036,1000,694.623343
469.460243,1000,724.245013
806.317993,1000,752.02055
376.001017,1000,781.436958
646.209188,1000,810.787735
681.791689,1000,838.650448
419.814814,1000,868.125057
210.622377,1000,896.004987
433.065759,1000,935.881334
665.470538,1000,965.482733
535.75122,1000,995.731508
419.790941,1000,1027.825154
861.734448,1000,1059.926219
791.075532,1000,1090.026551
633.983306,1000,1122.011474
656.382945,1000,1152.190817
627.746973,1000,1184.353189
606.080787,1000,1216.423333
914.290061,1000,1257.840706
894.816087,1000,1289.805198
931.031418,1000,1321.737829
749.491344,1000,1350.488848
184.272507,1000,1379.405168
1028.381884,1000,1407.371107
658.151578,1000,1437.025509
290.127426,1000,1466.599302
954.547454,1000,1494.819418
686.323903,1000,1524.595969
693.337678,1000,1564.784236
719.131705,1000,1592.775138
788.679742,1000,1622.245501
725.056229,1000,1650.365363
1009.412711,1000,1678.943955
1095.591004,1000,1708.504067
1221.294383,1000,1736.406571
1125.447184,1000,1765.910779
1397.599383,1000,1795.708444
833.446278,1000,1823.704593
883.324932,1000,1863.828392
1348.630859,1000,1891.703392
959.338212,1000,1921.692103
1054.867524,1000,1951.562265
1215.387708,1000,1979.753431
1132.398029,1000,2008.752158
522.726289,1000,2038.632118
1436.62516,1000,2066.783912
1346.379932,1000,2097.09862
1440.993402,1000,2125.544034
1130.384019,1000,2165.853784
1508.094897,1000,2196.029002
1385.723629,1000,2224.56591
1607.729818,1000,2255.170915
1548.303741,1000,2285.628359
1084.473769,1000,2314.514355
1298.207205,1000,2344.233442
1569.638907,1000,2372.909396
1381.234132,1000,2403.554724
1371.167129,1000,2434.34499
1325.46172,1000,2473.414485
1293.380422,1000,2503.975801
1504.374182,1000,2534.648922
1572.927151,1000,2563.675245
1592.781575,1000,2594.540698
1401.128061,1000,2623.597207
1705.488173,1000,2654.237213
1595.374854,1000,2683.90801
1389.938221,1000,2712.842932
1557.216769,1000,2743.632459
1693.405568,1000,2784.342811
1538.208158,1000,2813.239929
1541.892055,1000,2843.752589
1682.731762,1000,2872.619986
1621.369862,1000,2903.403457
1582.519027,1000,2934.066687
1720.482677,1000,2962.816977
1409.758196,1000,2993.471833
1485.033355,1000,3023.557108
1600.366822,1000,3051.959483
1409.334683,1000,3092.739186
1375.991666,1000,3121.55524
1675.985462,1000,3152.299783
1744.256906,1000,3182.975266
1563.5761,1000,3211.6675
1740.0498,1000,3242.117842
1774.870574,1000,3272.673395
1692.102867,1000,3301.424808
1365.216782,1000,3331.819812
1676.319306,1000,3360.575016
1507.542399,1000,3400.195337
360.667749,1000,3430.765479
1735.452555,1000,3459.48911
1801.074657,1000,3489.948609
1577.033065,1000,3520.801425
1758.26891,1000,3549.591898
1754.601451,1000,3580.536924
1805.218306,1000,3609.315476
1812.934874,1000,3639.760506
1769.688144,1000,3670.377383
2001.430549,1000,3709.370778
1667.580975,1000,3739.106447
1726.085081,1000,3769.609092
1580.693394,1000,3798.65496
1729.456732,1000,3829.499217
1710.856639,1000,3858.239307
1819.93882,1000,3888.777879
1728.267896,1000,3919.492635
1618.592491,1000,3948.298648
1751.710249,1000,3979.011493
1767.068007,1000,4019.400033
1952.918108,1000,4048.064888
1790.639018,1000,4077.84549
1822.688306,1000,4106.371696
1955.595034,1000,4136.963553
1815.496043,1000,4167.507026
1946.513202,1000,4196.401934
1829.59189,1000,4226.916936
1626.237698,1000,4257.517279
1985.470016,1000,4286.495317
1855.07729,1000,4326.97395
1856.058469,1000,4355.807867
230.64619,1000,4386.391197
1988.794705,1000,4417.184426
2065.297549,1000,4444.970473
1869.471867,1000,4475.638955
1798.559849,1000,4506.049351
1919.427559,1000,4534.900268
1862.849451,1000,4565.39254
1928.533949,1000,4594.494142
1963.511061,1000,4634.858182
1927.677807,1000,4665.381344
1654.334037,1000,4694.162084
1996.779751,1000,4724.911765
1991.58038,1000,4755.370784
1828.773872,1000,4783.274624
1368.618722,1000,4813.900452
1857.200797,1000,4842.560507
1879.293015,1000,4873.242002
1863.205864,1000,4903.826985
1990.935038,1000,4942.462388
2102.140764,1000,4973.054096
2021.060438,1000,5003.597866
2075.543801,1000,5032.303705
1922.496756,1000,5062.775383
2012.361983,1000,5091.975455
1956.60269,1000,5122.345953
2048.089477,1000,5152.086396
2097.867331,1000,5180.751431
1866.485205,1000,5211.29433
2073.155711,1000,5252.125296
1791.329799,1000,5280.868123
2025.009159,1000,5311.643604
2085.66674,1000,5340.632043
2050.402031,1000,5371.513797
2035.600271,1000,5402.374298
2077.832152,1000,5431.313653
2085.958369,1000,5461.833973
1845.908427,1000,5491.431098
2117.33075,1000,5520.621381
1690.002274,1000,5561.197622
2082.110728,1000,5589.963466
2096.576385,1000,5620.629505
2197.346515,1000,5651.229202
2081.549435,1000,5680.218532
2070.819927,1000,5710.744557
2109.242765,1000,5741.587888
1872.206198,1000,5770.753798
2200.225356,1000,5801.434046
2090.026517,1000,5830.281998
2066.583002,1000,5870.16618
1951.974252,1000,5900.864496
2090.27378,1000,5929.76919
2157.594847,1000,5960.612638
2144.36942,1000,5991.30611
1720.207997,1000,6020.071813
2121.503243,1000,6050.780052
2200.546211,1000,6079.841169
2167.549641,1000,6110.498076
2222.092782,1000,6141.381788
2164.524654,1000,6179.958466
2100.380611,1000,6210.319052
2129.004904,1000,6241.038658
2026.063851,1000,6269.870263
2010.279126,1000,6300.419702
2175.152751,1000,6329.379986
2062.296025,1000,6360.114279
2034.513852,1000,6390.634553
2168.783936,1000,6419.432719
2095.999436,1000,6450.465285
2019.398561,1000,6491.16108
2210.532225,1000,6519.916054
2115.53358,1000,6549.618755
2088.921594,1000,6578.583425
2110.292442,1000,6609.277394
2227.075722,1000,6639.890538
2166.810292,1000,6668.762971
2047.390944,1000,6699.27473
2119.195693,1000,6729.87153
1990.627502,1000,6758.76886
2034.105898,1000,6799.596733
2165.222731,1000,6828.336059
2080.274009,1000,6859.014265
2174.252634,1000,6888.755498
2009.015164,1000,6917.428945
2145.250027,1000,6947.999315
2180.367265,1000,6978.590076
2263.697613,1000,7007.382357
2212.870555,1000,7038.135975
2157.729607,1000,7066.866445
2162.557406,1000,7107.387579
2022.746542,1000,7138.046732
2172.675658,1000,7167.063435
2184.097982,1000,7197.8533
2117.848853,1000,7228.529262
1838.400528,1000,7256.543046
2259.65689,1000,7287.160554
2230.096296,1000,7315.927237
2158.342434,1000,7346.508258
2152.822823,1000,7377.013458
2117.338756,1000,7415.465396
2226.363934,1000,7446.089277
2141.995579,1000,7476.838673
2229.668086,1000,7505.569273
2117.484308,1000,7536.365145
2108.429519,1000,7565.368577
2100.338013,1000,7595.161002
2120.191533,1000,7625.745454
2181.00962,1000,7654.766638
2185.117192,1000,7685.433569
2186.179285,1000,7725.899618
2080.821333,1000,7754.781675
2127.984246,1000,7785.250817
2111.132102,1000,7813.921945
1999.614111,1000,7844.655062
1949.022663,1000,7875.343072
2288.066862,1000,7904.184154
2288.825702,1000,7934.205771
2239.347449,1000,7964.448609
2116.687498,1000,7993.142677
2309.844848,1000,8033.385561
2219.995404,1000,8062.232427
2235.200105,1000,8092.86908
2258.071505,1000,8123.298287
2266.653268,1000,8152.248951
2224.568923,1000,8182.741775
2266.978009,1000,8213.303559
2333.268077,1000,8242.127017
2234.315648,1000,8272.954171
2311.398945,1000,8300.875438
2256.54307,1000,8341.468591
2300.0257,1000,8372.27447
2268.650436,1000,8401.064845
2250.998618,1000,8431.706692
2223.63288,1000,8462.459428
2232.778298,1000,8491.283928
2283.557138,1000,8521.82455
2234.605991,1000,8550.568158
2235.992211,1000,8581.035199
2318.386627,1000,8611.437307
2310.466097,1000,8649.063323
2246.644312,1000,8679.615938
2282.295839,1000,8710.2161
2204.327768,1000,8739.023404
2266.600272,1000,8769.687711
2270.294147,1000,8798.567854
2146.526667,1000,8829.27202
2334.414594,1000,8859.914923
