#{"t_start": 1626640239.1774056, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.017255
-1143.119155,1000,2.023762
-1247.080482,1000,3.018745
-1342.597029,1000,3.986059
-1223.700469,1000,4.955413
-1454.851774,1000,5.923889
-1216.596965,1000,6.916359
-1070.317227,1000,7.91616
-1152.0094,1000,8.884192
-1133.423199,1000,9.852683
-1207.89885,1000,43.903659
-1018.595545,1000,77.886319
-807.777189,1000,111.842718
-659.08632,1000,143.749724
-169.079644,1000,177.656719
-443.78532,1000,209.721678
-419.019793,1000,243.692366
-327.22872,1000,277.374243
417.421672,1000,309.203409
-278.851896,1000,342.637176
348.298095,1000,389.363226
503.499563,1000,421.261357
461.413226,1000,455.018755
564.92238,1000,487.027106
621.524372,1000,520.826497
623.43642,1000,554.780711
602.769032,1000,586.598145
620.539971,1000,620.38093
542.681362,1000,653.615473
-919.534824,1000,685.229442
550.003485,1000,731.969203
102.549173,1000,763.794524
498.792864,1000,797.755021
683.124739,1000,831.693166
665.72046,1000,863.506598
544.264799,1000,897.223975
351.026683,1000,931.182178
534.284549,1000,962.868621
654.112155,1000,996.107283
640.181111,1000,1027.848214
604.760252,1000,1074.572234
616.225871,1000,1108.421474
634.928553,1000,1140.173347
593.266298,1000,1174.149845
619.074889,1000,1207.980191
587.516622,1000,1239.819261
593.871011,1000,1273.550164
611.511026,1000,1305.079213
-662.904241,1000,1338.620772
-69.086593,1000,1372.42547
505.566602,1000,1417.128505
667.350406,1000,1450.962157
570.867165,1000,1484.702537
641.480753,1000,1516.565213
608.082963,1000,1550.242419
-139.599733,1000,1582.15129
697.163804,1000,1615.907006
692.656019,1000,1649.218333
735.532684,1000,1680.924709
716.314285,1000,1714.725771
751.512784,1000,1761.518506
683.483298,1000,1793.503225
706.114831,1000,1827.505565
651.622752,1000,1859.39408
674.015992,1000,1893.32215
683.199615,1000,1927.071938
675.678878,1000,1958.896181
705.712601,1000,1992.228311
669.874596,1000,2026.000318
747.890703,1000,2057.728257
692.455234,1000,2104.343865
738.840671,1000,2136.07958
651.345233,1000,2169.767565
702.809218,1000,2203.698259
712.071618,1000,2235.810995
771.661463,1000,2269.721185
705.070735,1000,2303.346789
790.608375,1000,2335.471201
795.417231,1000,2369.7674
671.948139,1000,2402.428253
824.136458,1000,2449.988596
804.444387,1000,2484.705805
658.926661,1000,2517.423968
664.902434,1000,2552.244669
730.16701,1000,2587.016943
336.555938,1000,2619.747497
762.948075,1000,2654.205387
841.190738,1000,2687.033928
758.309367,1000,2722.013367
775.456229,1000,2756.975208
745.06436,1000,2802.557384
823.755259,1000,2837.458579
798.642172,1000,2872.221763
805.956019,1000,2905.156148
758.024064,1000,2940.245183
827.603769,1000,2973.152751
827.800537,1000,3007.746224
808.673709,1000,3042.802197
809.644634,1000,3075.792735
803.597496,1000,3110.697393
774.757147,1000,3158.667169
830.609254,1000,3191.495286
858.660948,1000,3226.359191
668.6061,1000,3259.096518
894.075063,1000,3293.982382
874.177347,1000,3328.560884
759.890323,1000,3361.373639
846.87198,1000,3396.305629
865.217258,1000,3431.36082
850.330271,1000,3464.256773
834.794902,1000,3512.038876
866.878892,1000,3544.807183
827.12467,1000,3579.882957
880.91986,1000,3614.781358
883.706004,1000,3647.767528
848.023118,1000,3682.344696
826.179116,1000,3717.306572
857.909887,1000,3750.337264
882.130989,1000,3785.308717
864.524039,1000,3818.237706
905.320013,1000,3865.917178
900.729577,1000,3900.565012
930.148227,1000,3933.45038
749.332232,1000,3968.465999
888.265353,1000,4002.98238
884.673565,1000,4035.72343
902.529916,1000,4070.870993
737.63154,1000,4103.997737
854.026475,1000,4139.100906
916.405651,1000,4174.077569
929.621529,1000,4219.939969
941.900281,1000,4254.725925
888.546058,1000,4289.641822
904.436357,1000,4322.603685
972.775301,1000,4357.00742
942.686168,1000,4390.033635
965.019442,1000,4424.973681
905.327029,1000,4459.919618
950.036543,1000,4492.92694
949.47519,1000,4527.920937
965.063615,1000,4575.688611
985.088623,1000,4608.587396
1006.119089,1000,4643.455187
1008.374275,1000,4676.243683
1027.300398,1000,4710.790233
503.180247,1000,4745.753109
-1633.219905,1000,4778.748227
-1373.931702,1000,4813.91569
955.821969,1000,4848.970583
1066.484926,1000,4882.122552
1042.121811,1000,4929.553475
1092.268987,1000,4962.859752
1061.250448,1000,4997.681482
1076.935617,1000,5032.211455
1153.204579,1000,5065.188324
1163.196424,1000,5100.119543
1188.782401,1000,5135.141401
1173.905733,1000,5168.18851
1183.085764,1000,5203.364356
1243.856637,1000,5236.162903
1209.833213,1000,5284.103748
1273.723022,1000,5319.205669
1228.231163,1000,5352.118789
1159.08172,1000,5386.647956
1251.270802,1000,5421.724104
1244.918702,1000,5454.768416
1263.216155,1000,5489.863009
1281.222722,1000,5522.885442
1360.83982,1000,5557.813749
1335.459291,1000,5592.922743
1286.355879,1000,5638.802488
1303.220569,1000,5673.894422
1315.014572,1000,5708.845035
1359.241706,1000,5741.502876
1340.711751,1000,5776.623791
1358.590884,1000,5809.709584
1322.598788,1000,5845.005623
1478.65199,1000,5879.89598
1406.696364,1000,5912.876992
1451.806947,1000,5948.038386
1414.153795,1000,5995.574038
1416.289872,1000,6028.855282
1506.02558,1000,6063.415139
1466.311412,1000,6096.318548
1484.861761,1000,6131.487808
1511.051422,1000,6166.736976
1567.703055,1000,6199.858229
1523.509472,1000,6234.915411
1501.920606,1000,6270.109193
1545.742171,1000,6303.363448
1551.736807,1000,6350.96734
1557.335186,1000,6383.896729
1620.318851,1000,6418.75294
1594.64674,1000,6454.01986
1593.614304,1000,6487.07997
1599.049989,1000,6522.241914
1634.403442,1000,6557.342629
1680.40029,1000,6590.499091
1645.475334,1000,6625.566689
1715.252305,1000,6658.672151
1697.545502,1000,6706.234018
1765.914844,1000,6741.181733
1748.391745,1000,6774.030232
1730.418354,1000,6809.1608
1689.569239,1000,6844.071725
1737.218364,1000,6877.277188
1733.102514,1000,6912.198377
1713.526779,1000,6945.259426
1758.139767,1000,6980.476969
1809.970484,1000,7015.718371
1710.597123,1000,7061.173475
1700.763559,1000,7095.691091
1741.211095,1000,7130.764983
1772.994456,1000,7163.707978
1791.114367,1000,7198.848842
1799.494672,1000,7231.723317
1815.3507,1000,7266.79382
1833.344589,1000,7301.831626
1829.263261,1000,7334.936595
1825.468302,1000,7370.072567
1830.22253,1000,7417.344714
1856.267996,1000,7450.223517
1835.218859,1000,7485.312619
1830.527324,1000,7518.380949
1818.435196,1000,7553.495777
1833.757255,1000,7588.472286
1787.154374,1000,7621.579136
1841.032916,1000,7656.705367
1828.171119,1000,7691.803241
1813.214004,1000,7724.837134
1884.798776,1000,7771.690918
1796.155436,1000,7804.346619
1816.76966,1000,7839.126922
