#{"t_start": 1623127269.1451533, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,2.318624
-1143.119155,1000,4.321741
-1247.080482,1000,6.385536
-1342.597029,1000,8.480499
-1223.700469,1000,10.496458
-1454.851774,1000,12.712904
-1216.596965,1000,14.810102
-1070.317227,1000,16.810266
-1152.0094,1000,18.860702
-1133.423199,1000,21.174933
-1131.446041,1000,111.543335
-1408.614156,1000,177.485461
-1468.235874,1000,243.267878
-1349.314051,1000,305.550007
-1372.868258,1000,371.521719
-1338.801378,1000,433.507195
-1421.956396,1000,499.242027
-1398.629752,1000,565.190915
-1258.564654,1000,629.766631
-1263.84499,1000,701.151228
-1417.153726,1000,795.638938
-1324.228595,1000,861.60645
-1261.402357,1000,931.706872
-1332.746973,1000,997.398318
-1351.455953,1000,1065.734797
-1214.915476,1000,1135.856532
-632.593461,1000,1200.827055
-1118.796349,1000,1270.245958
-1150.262391,1000,1339.459416
-984.529497,1000,1404.790748
-109.154748,1000,1498.301083
-1227.513294,1000,1563.725094
-230.164167,1000,1632.313068
-1121.451459,1000,1701.047885
-481.122975,1000,1765.761074
-334.210229,1000,1834.237053
-50.274693,1000,1902.550289
336.51688,1000,1968.657061
-31.309741,1000,2035.007694
533.909937,1000,2097.563279
-667.57397,1000,2190.33696
-1003.162949,1000,2260.933185
483.040265,1000,2327.488322
-437.985713,1000,2398.243329
-785.058912,1000,2469.238746
-898.527679,1000,2535.728029
-298.280938,1000,2606.478787
32.214935,1000,2672.884262
422.436421,1000,2743.130091
-551.104103,1000,2814.55772
195.018776,1000,2903.257747
262.17908,1000,2973.769361
632.562413,1000,3044.387375
13.898526,1000,3110.33849
-28.478487,1000,3181.059215
-461.32087,1000,3247.505167
-531.229606,1000,3317.859593
-164.108261,1000,3388.310018
-110.483121,1000,3454.410921
607.693005,1000,3526.792727
550.101649,1000,3619.425274
24.605898,1000,3685.032203
107.176875,1000,3755.381197
-607.475387,1000,3821.800711
485.680236,1000,3891.65949
-22.517847,1000,3964.304301
235.271811,1000,4033.522865
587.017321,1000,4107.119296
-58.973481,1000,4180.846873
-574.320864,1000,4252.126118
-570.454793,1000,4343.40128
-246.968173,1000,4409.227554
-93.711665,1000,4479.534
550.678659,1000,4549.879439
-35.798938,1000,4615.799104
552.761604,1000,4686.415518
459.018299,1000,4757.402583
382.794573,1000,4825.192676
431.636082,1000,4900.403359
563.274373,1000,4972.105854
439.502167,1000,5066.036037
226.080455,1000,5141.423024
467.37724,1000,5212.764207
512.033009,1000,5288.55158
515.068986,1000,5363.626181
579.735458,1000,5434.309828
486.973541,1000,5508.6157
501.877199,1000,5577.526456
94.906832,1000,5651.121951
580.497777,1000,5726.461325
510.809706,1000,5820.455291
536.192024,1000,5896.359509
479.671001,1000,5971.975773
-364.308708,1000,6042.875377
455.87735,1000,6118.272036
467.57568,1000,6189.410544
312.404088,1000,6262.593704
530.263052,1000,6337.168606
316.755838,1000,6404.881602
-529.403497,1000,6459.236433
360.342295,1000,6500.104993
-264.703724,1000,6528.860083
363.141789,1000,6559.648432
-182.833938,1000,6588.46641
624.904318,1000,6619.120686
290.818477,1000,6649.686259
590.128505,1000,6678.559747
551.49812,1000,6709.135292
500.59591,1000,6738.859128
