#{"t_start": 1623474094.6779873, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,2.363724
-1143.119155,1000,4.302631
-1247.080482,1000,6.176962
-1342.597029,1000,8.082407
-1223.700469,1000,9.841899
-1454.851774,1000,12.160078
-1216.596965,1000,14.254904
-1070.317227,1000,16.681138
-1152.0094,1000,18.926696
-1133.423199,1000,21.144885
-1160.340328,1000,102.357173
-1011.630696,1000,165.620772
-947.943602,1000,226.896755
-272.659803,1000,283.204382
-889.176297,1000,343.610543
-611.033807,1000,402.518182
303.703782,1000,466.074252
-428.271038,1000,539.937929
506.428049,1000,612.192876
560.366431,1000,680.267649
308.604715,1000,768.817086
142.127241,1000,829.387328
