#{"t_start": 1623475451.7999675, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.623762
-1143.119155,1000,3.213573
-1247.080482,1000,4.715026
-1342.597029,1000,6.267981
-1223.700469,1000,7.769982
-1454.851774,1000,9.234345
-1216.596965,1000,10.745308
-1070.317227,1000,12.277223
-1152.0094,1000,13.765362
-1133.423199,1000,15.249395
-1252.677825,1000,52.28675
-1078.992335,1000,81.103668
-1072.845401,1000,114.442705
-898.693792,1000,171.403151
-311.704472,1000,236.259553
97.761133,1000,305.877759
179.094075,1000,378.967597
-645.114991,1000,416.255669
475.490323,1000,454.654129
475.414696,1000,518.248313
224.041868,1000,604.33592
409.778033,1000,666.009147
437.50824,1000,733.351193
525.011956,1000,793.550281
503.297845,1000,854.681883
586.566333,1000,919.63779
405.116354,1000,977.591227
601.718721,1000,1039.383237
487.834618,1000,1101.297892
294.994107,1000,1163.235265
192.926334,1000,1244.80353
469.925344,1000,1308.560257
590.125729,1000,1375.144567
501.610938,1000,1439.396696
532.0755,1000,1498.851187
533.704303,1000,1560.929516
319.069682,1000,1630.195478
398.109317,1000,1698.825756
600.42913,1000,1760.714967
604.053117,1000,1817.373539
723.226549,1000,1897.107418
697.216864,1000,1953.221819
716.624139,1000,2006.33362
789.298941,1000,2069.524928
279.486609,1000,2133.593087
729.202049,1000,2193.640751
723.708017,1000,2261.921264
135.552023,1000,2320.547026
926.721593,1000,2383.46558
794.547387,1000,2447.136211
717.723792,1000,2526.890101
776.065265,1000,2590.787444
947.692609,1000,2650.139381
958.731844,1000,2708.779878
884.68905,1000,2770.532557
850.009739,1000,2827.355238
996.088066,1000,2887.681732
467.927813,1000,2946.461585
1069.90636,1000,3000.650556
1003.533471,1000,3056.603838
1000.229215,1000,3130.46469
960.123572,1000,3183.285152
1172.254933,1000,3239.14072
1168.607149,1000,3291.161252
1202.792663,1000,3346.52706
1179.446444,1000,3401.961825
1448.166824,1000,3458.752829
1361.784259,1000,3519.250449
1384.576242,1000,3575.502518
1301.661203,1000,3630.639331
1326.916258,1000,3712.11566
