#{"t_start": 1623474025.7154777, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.71085
-1143.119155,1000,3.488207
-1247.080482,1000,5.088665
-1342.597029,1000,6.864462
-1223.700469,1000,8.594273
-1454.851774,1000,10.303916
-1216.596965,1000,12.128451
-1070.317227,1000,13.74437
-1152.0094,1000,15.61382
-1133.423199,1000,17.279174
-1190.855448,1000,74.953608
-794.746372,1000,146.461431
-933.406095,1000,219.616815
-1184.8164,1000,290.204324
-428.491724,1000,365.340703
302.499053,1000,433.303883
278.68633,1000,491.528735
-30.509037,1000,545.947063
14.253634,1000,602.16711
-64.288384,1000,661.727419
532.312713,1000,757.039346
-181.534212,1000,817.178451
473.506305,1000,880.715405
-64.671054,1000,941.927197
-605.829364,1000,985.695569
428.659306,1000,1027.205096
296.878197,1000,1066.335449
358.12859,1000,1108.40535
595.824864,1000,1150.36563
574.61859,1000,1193.014125
201.866623,1000,1252.839444
463.705831,1000,1290.346422
668.63789,1000,1314.562036
331.776241,1000,1337.955703
571.497921,1000,1359.355112
621.605328,1000,1382.206407
617.519725,1000,1405.159578
582.045715,1000,1427.58357
615.115923,1000,1469.915617
621.235552,1000,1529.127174
496.924531,1000,1632.101313
656.554329,1000,1704.777872
582.974641,1000,1769.694659
378.628821,1000,1839.838974
638.710478,1000,1913.182383
306.588078,1000,1985.08279
583.367987,1000,2058.110613
666.253437,1000,2127.001383
724.830884,1000,2198.158833
633.401807,1000,2265.074947
729.251585,1000,2353.555291
685.03625,1000,2416.187783
772.902637,1000,2492.529994
629.451232,1000,2555.109216
688.004995,1000,2615.592285
523.503419,1000,2673.954013
666.447595,1000,2748.219248
700.760914,1000,2820.512938
652.070379,1000,2887.550994
693.745841,1000,2959.035715
355.628794,1000,3052.910541
710.576098,1000,3122.700203
736.178839,1000,3196.485632
714.729505,1000,3266.482189
757.94923,1000,3336.588425
625.649885,1000,3402.017233
714.525564,1000,3461.19835
757.715044,1000,3525.111882
754.28979,1000,3588.861165
832.83416,1000,3648.591476
881.950375,1000,3731.568103
953.573403,1000,3790.870639
935.751385,1000,3854.711441
869.010128,1000,3924.080701
667.650609,1000,3984.966472
828.161442,1000,4048.424405
829.166661,1000,4113.08958
862.623218,1000,4175.888382
973.193944,1000,4241.547694
983.085709,1000,4303.267868
928.906112,1000,4386.83668
971.946504,1000,4452.888147
934.849835,1000,4513.413094
944.776223,1000,4578.309662
1003.466281,1000,4642.944165
1052.592506,1000,4702.57251
1026.452395,1000,4764.81998
1094.806566,1000,4823.581566
1031.587319,1000,4899.20397
1041.298638,1000,4975.953169
1026.236567,1000,5068.459888
1022.680154,1000,5136.47382
1120.10495,1000,5204.707054
1116.646658,1000,5260.898942
1005.037132,1000,5319.388514
569.941774,1000,5374.757967
990.860908,1000,5433.180326
1064.166432,1000,5491.691528
1119.970417,1000,5546.952113
1095.102202,1000,5605.159714
1148.647781,1000,5684.598316
1129.049505,1000,5740.547946
1123.298068,1000,5802.025304
1071.012154,1000,5858.506629
1164.91137,1000,5919.916979
1081.023071,1000,5983.672338
1145.756419,1000,6043.858921
1193.597171,1000,6107.510876
1047.633542,1000,6169.239294
