#{"t_start": 1624305321.4980268, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.537775
-1143.119155,1000,3.034081
-1247.080482,1000,4.489554
-1342.597029,1000,5.959501
-1223.700469,1000,7.441422
-1454.851774,1000,8.898019
-1216.596965,1000,10.406915
-1070.317227,1000,11.915792
-1152.0094,1000,13.391893
-1133.423199,1000,14.852858
-1267.280004,1000,84.27666
-1348.294054,1000,157.644135
-920.398005,1000,227.472041
-34.399962,1000,293.02089
305.965204,1000,362.573092
-21.936089,1000,428.300307
-273.948929,1000,497.989777
372.813633,1000,567.674646
521.365278,1000,633.384943
-1434.437132,1000,703.079028
281.459753,1000,796.608917
449.446008,1000,862.327533
-19.572377,1000,935.530193
156.023932,1000,1001.144001
120.059417,1000,1070.623443
-134.31888,1000,1139.725306
520.520155,1000,1203.180977
600.964825,1000,1274.710505
-57.353943,1000,1342.748934
635.31768,1000,1405.540448
599.280103,1000,1496.5686
616.934159,1000,1560.492148
562.438399,1000,1628.468208
260.461779,1000,1696.1816
365.367987,1000,1760.591878
441.901051,1000,1828.801896
650.16734,1000,1896.979033
759.976677,1000,1961.224334
652.618837,1000,2029.267921
683.70109,1000,2093.129694
768.652529,1000,2184.285043
788.205731,1000,2252.248497
859.113751,1000,2316.433218
676.85063,1000,2384.597144
574.392664,1000,2453.289243
804.38022,1000,2517.661567
863.874738,1000,2585.685462
761.866703,1000,2651.191229
281.613258,1000,2721.733094
824.46313,1000,2791.975213
901.75513,1000,2880.871347
854.658513,1000,2952.601054
764.315899,1000,3023.133715
850.082324,1000,3089.6041
846.951467,1000,3159.967814
824.690911,1000,3225.816218
719.985058,1000,3296.347815
830.471757,1000,3366.96374
714.953105,1000,3432.940296
-339.930262,1000,3503.099357
928.581443,1000,3597.025923
1018.303963,1000,3663.149143
1035.364096,1000,3734.264513
1000.256399,1000,3801.304643
932.854014,1000,3871.816109
1042.149919,1000,3942.478726
851.944092,1000,4008.291917
1076.080451,1000,4078.29186
792.341311,1000,4148.773829
1069.473212,1000,4215.26285
1097.511186,1000,4315.149281
1106.244265,1000,4387.287951
1104.607908,1000,4464.255132
1156.199223,1000,4541.205612
1038.308625,1000,4614.446115
1136.425265,1000,4691.925797
855.847084,1000,4771.770242
1108.174147,1000,4845.646188
870.295485,1000,4924.709295
1208.446317,1000,4999.374133
1169.550094,1000,5102.181942
1175.182379,1000,5181.298774
1210.843046,1000,5255.996294
1289.62473,1000,5335.101646
1215.204298,1000,5408.665641
1219.291273,1000,5473.000196
1221.821151,1000,5544.407719
1140.55716,1000,5608.788993
1273.270486,1000,5677.089072
794.931764,1000,5745.612504
1256.024018,1000,5833.191666
1194.848615,1000,5901.468676
1207.767316,1000,5970.110035
1244.137461,1000,6034.728419
1277.77512,1000,6102.916857
1259.757827,1000,6175.605127
1289.367654,1000,6255.050498
1263.810557,1000,6337.521903
1349.572157,1000,6412.380652
1269.77064,1000,6492.06673
1269.072816,1000,6595.20673
1344.809773,1000,6669.871407
1352.92553,1000,6749.31402
1344.621731,1000,6821.539865
1088.51573,1000,6890.215051
1363.201329,1000,6958.924128
1297.507492,1000,7023.497795
1351.399609,1000,7092.08788
1380.080262,1000,7160.300189
1454.948369,1000,7224.746912
1376.257202,1000,7316.349329
1378.095827,1000,7380.767104
1348.234686,1000,7449.116225
1429.386802,1000,7517.093894
1284.781517,1000,7581.583417
1471.842304,1000,7649.85411
1433.072427,1000,7718.207321
1132.711465,1000,7782.454455
1431.631163,1000,7857.590231
1413.499319,1000,7931.104555
1420.489684,1000,8030.324477
1444.110131,1000,8100.83321
1413.305611,1000,8168.090782
1423.476291,1000,8242.86192
1399.621196,1000,8320.870115
1470.754187,1000,8386.429714
1455.531929,1000,8454.789111
1412.588562,1000,8514.853899
1399.749004,1000,8590.674686
1426.172354,1000,8669.757194
1448.94993,1000,8766.606714
1486.446515,1000,8843.34317
1441.374348,1000,8924.75948
1485.35162,1000,8998.637366
1494.454577,1000,9074.869124
1477.682619,1000,9117.037658
1422.08255,1000,9149.78385
1498.5571,1000,9182.514793
1418.777017,1000,9213.291514
1561.806386,1000,9246.001404
1522.783393,1000,9289.588475
1535.792173,1000,9320.357635
1489.160439,1000,9353.051265
1451.673748,1000,9383.80021
1536.761843,1000,9416.474905
1530.225579,1000,9449.21235
1576.567486,1000,9480.000673
1498.248513,1000,9512.677112
1584.966427,1000,9545.393038
1547.446702,1000,9576.182392
1506.694199,1000,9619.678459
1588.576079,1000,9650.440576
1522.358859,1000,9683.140772
1536.909716,1000,9715.833589
1606.306992,1000,9746.636616
1650.809836,1000,9779.323221
1600.100047,1000,9812.005152
1592.476996,1000,9842.891226
1500.460809,1000,9875.626752
1604.04544,1000,9906.459117
1535.104486,1000,9949.77581
915.680058,1000,9982.506839
1598.080844,1000,10013.2906
1624.227575,1000,10045.979575
1633.174114,1000,10078.746319
1632.391952,1000,10109.559734
1656.97344,1000,10142.281504
1643.190896,1000,10173.065654
1684.781904,1000,10205.85155
1686.645689,1000,10238.431636
1609.005627,1000,10280.10122
1717.641514,1000,10312.827922
1585.719399,1000,10345.508098
1775.414613,1000,10376.251903
1692.526055,1000,10408.915495
1702.992595,1000,10439.690531
1741.556988,1000,10472.424083
1624.075798,1000,10505.154894
1752.48286,1000,10535.989261
1719.357427,1000,10568.619749
1727.819603,1000,10612.280193
1697.458293,1000,10643.143521
1686.961322,1000,10675.885426
1794.785028,1000,10706.758566
1771.051549,1000,10739.519265
1722.968104,1000,10772.260461
1772.314747,1000,10803.061869
1838.398192,1000,10835.78393
1741.441779,1000,10868.373409
1740.579941,1000,10899.152796
1820.72303,1000,10942.742435
1732.141631,1000,10973.515481
1817.06213,1000,11006.286224
1828.64045,1000,11038.988273
1796.469693,1000,11069.786956
1849.298421,1000,11102.478538
1807.840924,1000,11135.193048
1856.907791,1000,11166.01104
1811.592629,1000,11198.625578
1894.437491,1000,11229.391002
1838.184911,1000,11272.948462
1728.590385,1000,11305.622988
1794.755198,1000,11336.370464
1873.734066,1000,11369.061207
1815.879883,1000,11401.774708
1824.897298,1000,11432.555383
1859.889269,1000,11465.197324
1934.647419,1000,11495.87056
1929.836877,1000,11528.568992
1835.349134,1000,11561.192941
1793.097713,1000,11602.749058
1907.742608,1000,11635.390168
1912.349516,1000,11668.014098
1758.220413,1000,11698.753004
1831.024903,1000,11731.380104
1885.235716,1000,11762.173581
1873.530966,1000,11794.788462
1904.123915,1000,11827.299838
1820.173307,1000,11858.071689
1910.500996,1000,11890.746385
1874.40428,1000,11934.313627
1957.995182,1000,11965.081239
1920.189718,1000,11997.757623
1918.533134,1000,12028.487159
1951.804116,1000,12061.139444
1890.203799,1000,12093.759817
1969.698702,1000,12124.428848
1858.278799,1000,12157.054038
1904.192664,1000,12189.756204
1956.296691,1000,12220.561491
1913.487995,1000,12264.153413
1973.277035,1000,12294.949052
1982.712412,1000,12327.67133
1892.980405,1000,12360.338351
2008.422282,1000,12391.164347
2027.965392,1000,12423.861012
2034.246858,1000,12456.440753
1944.257382,1000,12487.231859
1934.309573,1000,12519.951854
1987.798756,1000,12550.751826
2048.622631,1000,12594.305717
2054.523751,1000,12626.97452
2007.700791,1000,12657.776267
2019.012839,1000,12690.492064
2048.263673,1000,12723.142354
1998.735221,1000,12753.845689
1998.915397,1000,12786.488999
2056.629292,1000,12817.295185
2058.778998,1000,12849.966963
2029.98052,1000,12882.603513
1987.49574,1000,12924.268526
2065.674032,1000,12956.963509
2028.782924,1000,12989.58299
2017.434847,1000,13020.249194
2012.213542,1000,13052.884239
2037.318028,1000,13083.502969
2068.831061,1000,13116.156725
2072.914998,1000,13148.805079
2118.058776,1000,13179.566046
