#{"t_start": 1624277177.5709438, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.068432
-1143.119155,1000,2.073571
-1247.080482,1000,3.05982
-1342.597029,1000,4.026862
-1223.700469,1000,5.002129
-1454.851774,1000,5.965833
-1216.596965,1000,6.963238
-1070.317227,1000,7.963665
-1152.0094,1000,8.946043
-1133.423199,1000,9.924703
-1035.801655,1000,45.105574
-562.698355,1000,73.085006
-784.543458,1000,101.113947
-339.920173,1000,127.447483
370.60106,1000,155.434172
385.473761,1000,181.713952
379.820926,1000,209.676179
-1115.945482,1000,237.578038
-1023.895198,1000,263.880332
332.989868,1000,298.642897
290.335918,1000,336.743737
214.109877,1000,363.070228
545.723068,1000,390.989422
609.986238,1000,417.358269
421.503732,1000,445.242788
150.65047,1000,473.032063
181.744747,1000,499.171046
569.545166,1000,527.060446
579.59228,1000,554.897175
659.104176,1000,580.923755
592.183968,1000,617.514204
622.232146,1000,643.740862
512.361202,1000,671.608992
520.184524,1000,699.432404
607.776814,1000,725.531613
392.921349,1000,753.367506
667.566876,1000,781.16217
631.01246,1000,807.341701
701.012219,1000,835.079427
652.349485,1000,861.27805
657.928461,1000,897.967691
696.004111,1000,925.832702
605.664817,1000,951.960305
690.040825,1000,979.730069
728.456532,1000,1007.485629
629.003094,1000,1033.671307
646.265403,1000,1061.481252
469.383552,1000,1087.645361
549.176268,1000,1115.4314
788.950363,1000,1143.175119
753.33385,1000,1178.07024
767.135826,1000,1205.85429
780.92397,1000,1233.619477
694.324186,1000,1259.703312
761.653179,1000,1287.507003
782.448487,1000,1313.744477
712.471456,1000,1341.556057
799.182622,1000,1369.342594
734.809869,1000,1395.524666
772.737871,1000,1423.325685
783.270641,1000,1459.859676
752.071164,1000,1486.085175
716.967008,1000,1513.922738
763.92392,1000,1540.101711
774.865401,1000,1567.956296
561.66182,1000,1595.643
732.895121,1000,1621.730286
721.195242,1000,1649.549892
768.06157,1000,1677.443579
734.776478,1000,1703.823368
793.199297,1000,1740.415521
777.756827,1000,1766.836597
835.809735,1000,1794.988722
905.138054,1000,1823.205146
825.26924,1000,1849.921917
838.318865,1000,1878.534373
891.182885,1000,1907.289073
870.838288,1000,1934.51399
866.232736,1000,1963.626334
858.122086,1000,1991.175641
780.643832,1000,2029.26382
897.5017,1000,2058.846226
913.196914,1000,2086.690612
975.168463,1000,2116.281436
763.249869,1000,2145.929064
941.47588,1000,2173.854401
972.382167,1000,2203.549435
889.104993,1000,2231.489274
343.382083,1000,2261.191981
814.986632,1000,2290.911612
1059.42628,1000,2327.551866
972.23129,1000,2357.274217
915.378507,1000,2387.063317
1102.800767,1000,2415.409676
1109.915853,1000,2445.610736
1132.471122,1000,2473.77601
1142.844153,1000,2504.020725
1178.28682,1000,2534.017779
1150.557946,1000,2562.272858
1143.392096,1000,2592.333478
1126.790857,1000,2631.138708
1123.739102,1000,2659.324441
1190.149936,1000,2689.291308
1156.242472,1000,2717.470626
727.817146,1000,2747.468057
1073.559623,1000,2777.470377
949.701203,1000,2805.676667
1176.324513,1000,2835.683091
1173.014723,1000,2865.735084
1185.758907,1000,2894.016969
1217.460041,1000,2932.785419
1052.377429,1000,2961.029138
1205.336593,1000,2991.065618
1170.173953,1000,3021.126032
1184.674502,1000,3049.417678
1105.689858,1000,3079.427562
1244.096149,1000,3109.48858
1235.708395,1000,3137.724155
1163.984986,1000,3167.778535
1195.550779,1000,3196.028944
1209.28134,1000,3234.686043
1253.252418,1000,3264.644268
1296.271178,1000,3292.858017
1258.661903,1000,3322.816965
1202.629483,1000,3352.8733
1298.561816,1000,3381.11396
671.613077,1000,3411.196702
1285.773371,1000,3439.38147
1313.465472,1000,3469.40293
1332.678172,1000,3499.436308
1333.417719,1000,3536.518858
1350.665796,1000,3566.53055
1324.420468,1000,3596.637112
1290.880065,1000,3624.889278
1348.273051,1000,3654.968066
1305.076215,1000,3683.305296
1307.78861,1000,3713.36099
1342.23566,1000,3743.3667
1348.826783,1000,3771.658422
1364.658904,1000,3801.69352
1404.199326,1000,3840.504708
1338.848571,1000,3868.735385
1413.980123,1000,3898.804049
1365.820521,1000,3927.207567
1385.444131,1000,3957.317694
1348.209911,1000,3987.522319
1346.917388,1000,4015.867001
1401.272446,1000,4045.988167
1393.882779,1000,4076.052505
1425.995698,1000,4104.319924
1355.689118,1000,4143.24894
1429.479078,1000,4171.435105
1347.549736,1000,4201.535681
1437.895193,1000,4231.65773
1425.92104,1000,4259.978502
1398.096031,1000,4290.080462
1440.959563,1000,4320.302515
1410.641651,1000,4348.632162
1396.173005,1000,4378.736519
1485.500201,1000,4407.092307
1473.062008,1000,4446.147619
1457.36256,1000,4476.107236
1427.691138,1000,4504.487169
1486.381799,1000,4534.614821
1494.143064,1000,4564.824273
1520.227399,1000,4593.242385
1545.740038,1000,4623.395295
1539.777219,1000,4651.745068
1498.646903,1000,4681.836927
1555.777891,1000,4711.91353
1561.348392,1000,4749.095082
1446.237431,1000,4778.977702
1459.159531,1000,4809.137119
1546.844334,1000,4837.385944
1614.094998,1000,4867.464515
1621.811026,1000,4896.840431
1583.437419,1000,4929.719355
1640.314824,1000,4962.408059
1664.372976,1000,4993.021382
1633.136389,1000,5025.660005
1662.265022,1000,5069.298504
1630.749165,1000,5099.934921
1583.623997,1000,5132.605381
1625.725038,1000,5163.502171
