#{"t_start": 1624305344.9969559, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,2.321722
-1143.119155,1000,4.489706
-1247.080482,1000,6.602762
-1342.597029,1000,8.796695
-1223.700469,1000,11.117655
-1454.851774,1000,13.613946
-1216.596965,1000,15.950915
-1070.317227,1000,18.287786
-1152.0094,1000,20.712697
-1133.423199,1000,23.120176
-1037.670931,1000,109.281745
-878.886824,1000,175.823112
-372.998621,1000,242.456244
-863.579525,1000,305.338488
-724.862583,1000,371.751228
64.892698,1000,434.824161
298.021752,1000,504.254269
426.868567,1000,570.296447
255.827079,1000,632.488598
538.330993,1000,698.146515
305.492093,1000,788.398913
325.953478,1000,850.572402
480.342701,1000,916.186626
611.086975,1000,978.220894
617.753946,1000,1044.428599
534.02565,1000,1110.366427
639.329249,1000,1171.829848
479.466358,1000,1236.667905
585.128844,1000,1301.445537
-173.924877,1000,1362.694854
-54.770245,1000,1450.771396
604.000903,1000,1512.084057
722.742557,1000,1576.88046
468.229959,1000,1641.742785
-315.578697,1000,1704.636845
467.438782,1000,1777.404275
753.759582,1000,1849.898759
665.694193,1000,1918.148878
682.553032,1000,1990.516555
605.854698,1000,2058.761826
541.367681,1000,2153.00939
543.689524,1000,2225.226691
672.989253,1000,2293.298725
715.017125,1000,2365.569947
799.609801,1000,2441.162888
770.432003,1000,2508.82685
759.747895,1000,2581.17002
556.592492,1000,2640.461923
416.238536,1000,2702.648985
276.506244,1000,2764.916903
886.757414,1000,2845.215734
798.144654,1000,2906.598471
545.963471,1000,2968.858958
778.420095,1000,3027.69117
784.228714,1000,3089.989501
834.65737,1000,3148.878559
913.624228,1000,3216.169496
705.428814,1000,3278.62752
867.38083,1000,3337.393121
875.258262,1000,3399.847249
884.738064,1000,3484.534872
900.965099,1000,3542.993943
856.078933,1000,3605.03021
681.551613,1000,3663.625306
713.414535,1000,3724.88347
829.395487,1000,3787.174341
945.298172,1000,3846.077217
759.212289,1000,3908.549977
962.789171,1000,3975.804631
963.32173,1000,4034.932969
970.162739,1000,4120.597228
987.027801,1000,4179.933957
950.162528,1000,4244.507566
960.582827,1000,4310.554295
1043.258007,1000,4373.363055
970.031834,1000,4440.43776
904.990787,1000,4507.704033
991.812363,1000,4570.975273
961.403876,1000,4638.238738
898.56925,1000,4701.92632
989.962219,1000,4792.802142
1001.9211,1000,4860.40808
1047.392389,1000,4924.020164
871.684737,1000,4991.409981
938.553297,1000,5058.805655
592.378028,1000,5122.27885
1115.96904,1000,5189.77644
1117.342613,1000,5253.301852
1198.053198,1000,5320.782196
1121.94404,1000,5390.765539
1227.712149,1000,5480.258684
875.861616,1000,5550.475636
1230.956756,1000,5620.87894
1141.991351,1000,5687.044626
1278.20474,1000,5756.086103
1221.817459,1000,5819.193183
1260.976948,1000,5886.034414
1309.268791,1000,5953.124275
1247.641221,1000,6016.234764
1233.602881,1000,6083.04289
1319.73547,1000,6174.502218
1201.985908,1000,6238.010286
1256.593318,1000,6305.936391
1328.158388,1000,6369.381953
1389.959554,1000,6436.705786
1296.26039,1000,6503.730845
1349.015427,1000,6567.150536
1377.087617,1000,6634.484314
1359.35263,1000,6701.926022
1350.177222,1000,6765.37838
1360.680505,1000,6856.025275
1417.503555,1000,6919.284877
1460.441084,1000,6986.234447
1456.269707,1000,7053.288516
1459.983186,1000,7116.383686
1461.097133,1000,7183.181815
1449.79893,1000,7250.780062
1466.378683,1000,7313.896352
1481.771055,1000,7383.670743
1471.926504,1000,7449.905427
1482.816762,1000,7543.794971
1494.240246,1000,7613.907948
1507.906512,1000,7680.099988
1532.482658,1000,7750.071778
976.274137,1000,7819.935462
1501.432661,1000,7881.557971
1539.882994,1000,7947.544101
1564.755401,1000,8010.234402
1567.058706,1000,8074.48088
1598.38601,1000,8140.00252
1608.983812,1000,8224.916001
1575.464048,1000,8290.377539
1618.281947,1000,8356.509014
1606.511098,1000,8418.230031
1613.035903,1000,8479.450325
1627.833367,1000,8542.371834
1604.341247,1000,8608.311465
1690.084895,1000,8673.495636
1772.465699,1000,8735.564469
1741.227548,1000,8802.628382
1759.80914,1000,8886.599496
1710.513714,1000,8948.730513
1754.510456,1000,9015.468292
1835.872503,1000,9075.223191
1789.605444,1000,9106.218474
1795.284625,1000,9137.193453
1832.551511,1000,9166.459718
1795.205978,1000,9197.428719
1894.7669,1000,9228.404739
1740.878174,1000,9257.560675
1866.699392,1000,9299.475223
1833.205613,1000,9328.651461
1801.316666,1000,9359.627975
1966.266097,1000,9390.608053
1913.940637,1000,9419.845172
1867.168232,1000,9450.840228
1845.750136,1000,9481.845981
1848.923391,1000,9511.008355
1953.325142,1000,9541.9527
1858.382058,1000,9571.026649
1912.178186,1000,9612.792428
1861.279186,1000,9643.761856
1899.440703,1000,9672.957664
1851.859811,1000,9703.936934
1899.877488,1000,9734.87232
1997.887845,1000,9764.08529
2001.672842,1000,9795.047232
1963.409089,1000,9824.294541
1955.548587,1000,9855.263211
1988.832561,1000,9886.203633
2037.659215,1000,9925.991652
1928.662082,1000,9956.983139
2038.125003,1000,9987.934838
2052.997733,1000,10017.062567
2078.025582,1000,10048.065663
2050.723539,1000,10077.210349
2032.607999,1000,10108.173029
2064.905271,1000,10139.161104
2058.587084,1000,10168.361507
2034.061878,1000,10199.346575
2107.870052,1000,10241.036394
2065.338062,1000,10270.207952
2051.467545,1000,10301.198543
-1663.551846,1000,10330.486184
-1471.103905,1000,10361.573065
-1541.942004,1000,10392.763343
-936.609061,1000,10422.211418
892.269688,1000,10453.483508
1954.459358,1000,10484.731924
1792.347867,1000,10514.173877
2020.580177,1000,10556.07513
2006.156328,1000,10585.428178
2086.115186,1000,10616.623999
2037.621811,1000,10647.753297
2099.997275,1000,10677.107022
2147.99423,1000,10708.319395
2168.544505,1000,10739.501816
2184.839095,1000,10768.805876
2159.41634,1000,10799.959682
2147.353992,1000,10829.312194
2212.161391,1000,10871.362546
2209.450071,1000,10902.44261
2223.908511,1000,10931.806844
2250.264678,1000,10962.949764
2160.908013,1000,10994.20973
2255.597471,1000,11023.4922
2260.918519,1000,11054.622303
2226.474223,1000,11083.914287
2211.785954,1000,11115.045461
2278.651648,1000,11146.150828
2288.30175,1000,11186.217705
2277.862616,1000,11217.228207
2227.334565,1000,11248.327484
2296.512835,1000,11277.658185
2293.706251,1000,11308.749122
2307.600451,1000,11338.076413
2326.902399,1000,11369.197456
2267.181433,1000,11400.312381
2287.957996,1000,11429.631042
2336.927691,1000,11460.711551
2260.186323,1000,11502.527453
2336.147682,1000,11531.789726
2251.791539,1000,11562.726019
2346.396535,1000,11592.040564
2354.842303,1000,11623.128365
2341.160446,1000,11654.169202
2294.542223,1000,11683.421407
2342.169577,1000,11714.517711
2360.167691,1000,11745.626473
2315.489342,1000,11774.882612
2357.608751,1000,11816.758597
2380.87612,1000,11846.029493
2359.959461,1000,11877.072278
2346.250974,1000,11908.154462
2331.436901,1000,11937.432139
2361.292489,1000,11968.55462
2408.053273,1000,11999.637305
2372.009149,1000,12028.925681
2371.61594,1000,12060.005242
2399.492314,1000,12089.285117
2379.061944,1000,12130.967992
2404.150324,1000,12162.087503
2429.767014,1000,12191.398007
2393.597718,1000,12222.43168
2356.901616,1000,12253.535085
2402.719957,1000,12282.787034
2417.075822,1000,12313.869116
2408.771489,1000,12343.116342
2402.036014,1000,12374.251914
2441.890739,1000,12405.327018
2408.565005,1000,12445.390348
2374.147539,1000,12476.535742
2344.632395,1000,12507.661983
2388.969442,1000,12536.912781
2438.552562,1000,12568.000118
2385.139331,1000,12597.297007
2237.63803,1000,12628.45423
2420.195034,1000,12659.596442
2400.271251,1000,12688.949454
2433.688839,1000,12720.064853
2459.265999,1000,12762.104015
2424.832026,1000,12791.530618
2473.707185,1000,12822.706979
2432.794958,1000,12852.066242
2454.296041,1000,12883.170181
2460.109871,1000,12914.372247
2472.221221,1000,12943.768878
2312.872822,1000,12974.908053
2412.015212,1000,13006.05718
2461.562533,1000,13035.435318
2473.178182,1000,13077.452328
2482.704266,1000,13106.84767
2429.181054,1000,13138.035184
2470.007248,1000,13169.192029
2482.93642,1000,13198.485522
2468.036361,1000,13229.606044
2433.908398,1000,13260.769833
2467.807786,1000,13290.060975
2470.396051,1000,13321.170075
2489.063295,1000,13350.51519
2471.612568,1000,13392.428812
2397.979032,1000,13423.552536
2441.389767,1000,13452.896793
2442.689937,1000,13484.029551
2513.665182,1000,13515.229289
2463.492719,1000,13544.534225
2469.166568,1000,13575.710598
2414.095155,1000,13605.072871
2438.110887,1000,13636.26533
2425.991024,1000,13667.445635
2524.663493,1000,13707.571966
2491.09941,1000,13738.8278
2452.908414,1000,13770.117961
2502.098087,1000,13799.701101
2516.607,1000,13830.866532
2501.459165,1000,13860.159293
2431.397995,1000,13891.358638
2507.041635,1000,13922.531996
2465.892577,1000,13951.845384
2468.869557,1000,13983.003347
2467.240206,1000,14024.801921
2484.737532,1000,14054.113861
2487.780617,1000,14085.243696
2493.723705,1000,14114.628516
2496.742439,1000,14145.80842
2485.856863,1000,14176.997327
2482.895295,1000,14206.263257
2472.645768,1000,14237.504992
2442.156537,1000,14268.651637
2466.908338,1000,14298.027298
2499.863693,1000,14339.79681
2511.629122,1000,14369.210036
2539.635061,1000,14400.428307
2524.449019,1000,14431.665649
2501.076535,1000,14461.035291
2520.694531,1000,14492.281127
2472.582067,1000,14523.370996
2526.424484,1000,14552.769764
2512.276553,1000,14583.993418
2519.81596,1000,14613.328729
2460.263644,1000,14655.230225
2456.556732,1000,14686.574259
2516.2926,1000,14716.031792
2507.102523,1000,14747.299788
2548.38601,1000,14778.603737
2567.464029,1000,14808.063734
2548.878708,1000,14839.289675
2539.033893,1000,14868.710774
2503.920531,1000,14899.981879
2564.290121,1000,14931.28893
2521.319721,1000,14971.482401
2547.199389,1000,15002.717445
2541.946972,1000,15033.951717
2520.255291,1000,15063.309647
2551.487685,1000,15094.515234
2556.655759,1000,15123.931646
2547.299689,1000,15155.185317
2527.259481,1000,15186.330141
2544.516227,1000,15215.728533
2494.717525,1000,15247.004805
2567.406223,1000,15288.909935
2527.742191,1000,15318.362545
2587.404441,1000,15349.677072
2529.627657,1000,15379.117347
2553.568179,1000,15410.402339
2596.422147,1000,15441.718461
2557.855646,1000,15471.244542
2548.433826,1000,15502.57469
2545.369339,1000,15533.929156
2504.492229,1000,15563.549827
2566.844814,1000,15605.740848
2554.958385,1000,15635.414088
2558.736329,1000,15666.948272
2594.586036,1000,15698.497518
2552.675378,1000,15728.222414
2579.061915,1000,15759.796263
2584.402469,1000,15791.308473
2541.956363,1000,15821.008421
2575.958332,1000,15852.44371
2567.840455,1000,15882.185804
2568.010313,1000,15924.446543
2584.856429,1000,15956.062905
2601.309383,1000,15985.835868
2512.61456,1000,16017.377092
2578.836285,1000,16049.016644
2584.808405,1000,16078.84777
2582.621274,1000,16110.524995
2600.782929,1000,16140.294648
2598.739657,1000,16171.928006
2607.56494,1000,16203.49683
