#{"t_start": 1625288704.5028489, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1181.007201,1000,1.080368
-1331.780166,1000,2.106101
-1315.250235,1000,3.086592
-1189.669487,1000,4.08216
-1111.401745,1000,5.114764
-1390.78232,1000,6.101636
-1331.715029,1000,7.170562
-1331.560737,1000,8.148891
-1410.964577,1000,9.131878
-1279.624824,1000,10.115737
-1268.610049,1000,36.644266
-1227.493501,1000,57.875558
-1046.620261,1000,78.974351
-899.230998,1000,98.548668
-592.433348,1000,122.976945
-1070.819452,1000,151.510169
-272.096768,1000,183.774102
242.49485,1000,214.691555
-546.373643,1000,243.821516
-244.825291,1000,276.763928
-106.060845,1000,322.047123
471.825575,1000,353.435646
249.09273,1000,386.830504
434.679992,1000,418.107536
492.506229,1000,451.473461
237.118556,1000,484.86885
627.284192,1000,516.244027
0.294516,1000,549.734332
678.999237,1000,583.409348
342.561688,1000,614.880166
611.638786,1000,660.288551
599.550617,1000,692.07685
504.143001,1000,725.693243
604.725859,1000,759.549759
370.286907,1000,791.347082
319.591079,1000,825.056522
354.933465,1000,858.507428
149.38405,1000,890.514277
692.245198,1000,924.121877
775.717419,1000,955.774972
743.128272,1000,997.557989
726.311696,1000,1028.943922
488.007229,1000,1058.371372
707.295079,1000,1089.895401
756.878014,1000,1121.653187
667.635657,1000,1151.375336
728.60918,1000,1181.639686
607.218117,1000,1210.894353
442.371537,1000,1243.813208
381.166202,1000,1276.189982
741.97147,1000,1316.696578
967.062808,1000,1349.195935
599.610492,1000,1383.734875
799.037142,1000,1415.598776
869.456294,1000,1447.292203
902.017924,1000,1478.031633
851.860578,1000,1509.800003
890.048242,1000,1541.543105
868.630704,1000,1571.072806
721.903196,1000,1602.67897
826.549558,1000,1644.997656
947.228493,1000,1674.561951
595.089889,1000,1705.963736
552.09025,1000,1735.317875
863.462717,1000,1766.722052
917.762421,1000,1798.210891
952.076731,1000,1827.758278
888.005366,1000,1859.002038
931.554234,1000,1889.153419
774.135738,1000,1918.494488
211.997044,1000,1960.7593
125.01457,1000,1990.339794
233.009586,1000,2021.836983
279.894559,1000,2053.448771
42.27106,1000,2083.333816
-319.807014,1000,2115.255244
716.065494,1000,2147.317472
756.29382,1000,2177.567137
708.754933,1000,2208.456927
944.442801,1000,2238.947244
686.812005,1000,2281.941422
783.539924,1000,2314.579989
957.344483,1000,2345.407965
1024.517968,1000,2378.171906
1071.45604,1000,2410.962464
1109.831282,1000,2441.692163
1108.910019,1000,2474.394369
1128.688845,1000,2506.039717
1125.205965,1000,2541.046297
62.336087,1000,2576.043362
702.805902,1000,2620.522209
1176.894639,1000,2655.805495
1019.573186,1000,2690.978784
1200.375105,1000,2724.185981
1221.935292,1000,2759.408992
1193.268853,1000,2792.581149
1229.247281,1000,2827.851439
1263.200519,1000,2863.108524
1265.416729,1000,2896.358353
1269.21152,1000,2931.689237
1240.030842,1000,2978.592398
1212.741164,1000,3011.820911
1123.211542,1000,3047.226186
1291.391395,1000,3080.3964
1235.67198,1000,3115.581044
1272.672705,1000,3150.812013
1249.669645,1000,3184.026337
1331.746823,1000,3219.343103
1247.616856,1000,3254.972589
1228.907481,1000,3288.28841
1286.29111,1000,3335.879521
1310.503496,1000,3369.670433
