#{"t_start": 1622439104.3840556, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1116.561924,1000,1.076509
-1138.309073,1000,2.049644
-1104.645577,1000,3.048015
-1330.379714,1000,4.024329
-1179.215905,1000,5.013466
-1224.386403,1000,5.98171
-1246.09242,1000,6.979497
-1188.090352,1000,7.960476
-1316.10977,1000,8.946569
-1055.720978,1000,9.954355
-1199.55867,1000,45.321288
-1432.573991,1000,73.803818
-1031.509756,1000,101.955794
-446.277644,1000,128.437439
44.465883,1000,156.513295
-34.483338,1000,182.974631
466.910448,1000,210.919958
363.861197,1000,238.914953
472.804602,1000,265.385382
509.505754,1000,293.393138
470.959018,1000,330.270581
-173.46978,1000,356.713247
139.159662,1000,384.765039
332.430907,1000,411.167372
62.051833,1000,439.187883
607.587869,1000,467.227318
620.217344,1000,493.666478
129.843593,1000,521.687861
607.921561,1000,549.748674
391.090405,1000,576.127209
-97.543657,1000,613.002834
637.075592,1000,639.363708
743.997682,1000,667.438813
660.021178,1000,695.432931
708.027962,1000,721.843288
397.131421,1000,749.79419
520.363685,1000,777.698999
795.795769,1000,804.040364
699.901347,1000,831.985475
445.447254,1000,858.342873
522.978321,1000,894.937999
514.142932,1000,922.883692
643.899203,1000,949.234488
648.968463,1000,977.193032
546.436293,1000,1005.125393
525.962027,1000,1031.468825
597.6968,1000,1059.45672
691.601219,1000,1085.788702
621.095843,1000,1113.750054
768.661711,1000,1141.74242
790.398627,1000,1176.742655
820.942146,1000,1204.702276
545.877713,1000,1232.733273
829.658412,1000,1259.084679
680.179385,1000,1287.016832
793.842058,1000,1313.415802
799.933866,1000,1341.426569
924.948248,1000,1369.421527
-933.139887,1000,1395.732358
-682.286168,1000,1423.724308
904.73149,1000,1460.301633
1032.19883,1000,1486.595877
997.01883,1000,1514.555163
986.526266,1000,1540.912931
999.519467,1000,1569.023802
967.313845,1000,1597.064971
918.648033,1000,1623.369007
1035.333135,1000,1651.368143
974.450824,1000,1679.386192
1022.232437,1000,1705.838469
1030.821335,1000,1742.457347
1004.987049,1000,1768.860922
959.621607,1000,1797.024381
990.023059,1000,1825.142128
1105.829525,1000,1851.696008
1086.271346,1000,1879.999325
1119.47183,1000,1908.299242
1135.395494,1000,1935.017268
1039.390038,1000,1963.596901
1082.572137,1000,1990.649974
1142.599551,1000,2028.112782
1134.28331,1000,2056.7902
1185.270724,1000,2084.03273
1185.580519,1000,2112.890077
1134.971288,1000,2141.86822
1178.766933,1000,2169.188958
1183.107851,1000,2198.230281
960.82088,1000,2225.536439
1189.120226,1000,2254.572115
1235.706427,1000,2283.576419
1042.811983,1000,2319.706203
1226.598312,1000,2348.311524
1281.227457,1000,2377.253887
1209.41441,1000,2404.499305
1305.639579,1000,2433.469985
1349.623674,1000,2460.694232
1254.47645,1000,2489.720574
1304.133144,1000,2518.719794
1310.569981,1000,2545.994926
1325.870499,1000,2574.942503
1356.895897,1000,2612.755755
1409.959126,1000,2639.714995
1422.195672,1000,2668.64012
1330.729425,1000,2695.874566
1371.028646,1000,2724.815363
1383.267625,1000,2753.756708
1468.046909,1000,2781.047993
1410.082013,1000,2810.046874
1399.496907,1000,2839.045422
1225.26888,1000,2866.409245
1370.265336,1000,2904.227913
1502.777872,1000,2931.456152
1501.632519,1000,2960.156196
1430.96249,1000,2989.156006
1346.071392,1000,3016.527674
1490.773491,1000,3045.586632
1503.280048,1000,3074.594534
1441.16569,1000,3101.897271
1493.629187,1000,3130.909127
1513.236104,1000,3158.284094
1462.288862,1000,3196.071162
1396.415607,1000,3225.078918
1535.757064,1000,3252.171914
1552.260527,1000,3281.146632
1364.10115,1000,3310.1712
1486.35607,1000,3337.490366
1604.881185,1000,3366.451767
1529.04293,1000,3393.778631
1500.33019,1000,3422.794769
1484.950934,1000,3451.740121
1539.992048,1000,3488.022713
1591.602859,1000,3517.126204
1598.536319,1000,3545.934955
1431.228219,1000,3573.263409
1527.965389,1000,3602.394766
641.113713,1000,3629.847994
-1632.271346,1000,3659.052678
823.822955,1000,3688.124721
1008.349835,1000,3715.485386
1402.658411,1000,3744.62109
1459.65536,1000,3782.458739
1525.485291,1000,3809.793227
1582.667728,1000,3838.832841
1566.111358,1000,3865.826121
1556.688127,1000,3894.827347
1521.312189,1000,3923.913179
1649.388075,1000,3951.285747
1617.765488,1000,3980.380627
1568.383619,1000,4009.455273
1565.466985,1000,4036.859783
1607.88796,1000,4074.539299
1612.861478,1000,4101.844985
1512.674889,1000,4130.835403
1592.324263,1000,4159.412157
1629.31362,1000,4186.725531
1575.679262,1000,4215.682427
1572.932149,1000,4244.714724
1636.635279,1000,4272.00634
1644.141807,1000,4301.019191
1679.276097,1000,4328.279904
1613.909021,1000,4366.076111
1630.74529,1000,4395.00261
1663.890687,1000,4422.319216
1623.355649,1000,4451.339201
1601.369369,1000,4480.098789
1646.382804,1000,4507.494692
1639.077339,1000,4536.566685
1628.808912,1000,4566.069526
1587.812713,1000,4597.187624
1634.640488,1000,4628.283694
1585.68082,1000,4668.452925
1657.039457,1000,4699.556263
1667.283763,1000,4730.718584
1688.859703,1000,4760.039348
1696.310232,1000,4791.038213
1629.103983,1000,4820.421368
1696.575089,1000,4851.598043
1664.834875,1000,4882.711591
1661.645258,1000,4912.072345
1657.702078,1000,4943.211117
1686.356396,1000,4985.201227
1624.703322,1000,5014.5238
1668.573366,1000,5045.650614
1720.053469,1000,5075.030679
1692.215172,1000,5106.163562
1671.36227,1000,5137.166494
1702.418587,1000,5166.498158
1643.489555,1000,5196.981444
1697.351493,1000,5226.078308
1759.753863,1000,5253.48214
1738.698209,1000,5291.367156
1737.907901,1000,5318.79003
1743.575875,1000,5347.918994
1742.272739,1000,5377.056937
1731.527882,1000,5404.47163
1727.143624,1000,5433.323672
1740.907662,1000,5462.431963
1652.945328,1000,5489.875256
1724.965145,1000,5518.948588
1782.787044,1000,5546.295365
1789.796167,1000,5584.202055
1720.820469,1000,5613.344953
1726.130884,1000,5640.768915
1781.785521,1000,5669.971691
1750.351565,1000,5699.069707
1731.197706,1000,5726.425456
1779.393225,1000,5755.336531
1810.868347,1000,5782.737997
1600.025261,1000,5811.830928
1792.147049,1000,5840.918297
1845.880653,1000,5877.159704
1826.225753,1000,5906.279932
1862.119701,1000,5935.412167
1766.926869,1000,5962.788675
1827.553755,1000,5992.0216
1852.941872,1000,6019.418347
1757.078345,1000,6048.159268
1850.293412,1000,6077.26743
1843.330785,1000,6104.70924
1740.444836,1000,6133.810141
1775.32723,1000,6171.593509
1862.063051,1000,6198.907781
1783.830711,1000,6227.972334
1867.354637,1000,6255.417135
1846.491785,1000,6284.483838
1884.799255,1000,6313.534689
1883.319504,1000,6340.599523
1881.589366,1000,6369.624813
1811.693279,1000,6398.684621
1844.160446,1000,6426.069938
1899.925217,1000,6463.914901
1860.832393,1000,6491.368399
1891.248379,1000,6520.42965
1846.808368,1000,6549.497689
1863.361093,1000,6576.865815
1903.207771,1000,6606.029793
1697.139568,1000,6635.185416
1932.253755,1000,6662.291631
1927.425775,1000,6691.379213
1853.656543,1000,6718.776612
1876.283541,1000,6756.615336
1941.159787,1000,6785.753127
1889.414182,1000,6813.141383
1878.1784,1000,6842.314997
1899.122149,1000,6871.890196
1846.181381,1000,6901.275473
1863.816875,1000,6932.390874
1916.103496,1000,6961.603701
1939.799216,1000,6992.792484
1936.529695,1000,7024.004069
1915.696475,1000,7064.281842
1928.948023,1000,7095.544845
1899.715895,1000,7126.798784
1948.11372,1000,7156.178666
1874.203633,1000,7187.421058
1909.546611,1000,7216.806681
1939.770118,1000,7247.981508
1739.901411,1000,7279.211221
1877.731843,1000,7308.39947
1909.365994,1000,7339.604938
1892.86021,1000,7381.705737
1923.733422,1000,7411.130725
1843.082609,1000,7442.351453
1967.593343,1000,7471.786378
1940.34861,1000,7503.048772
1907.36264,1000,7534.238369
1859.559592,1000,7563.649686
1908.972675,1000,7594.921924
1900.994415,1000,7626.000861
1924.419033,1000,7655.343213
1980.125387,1000,7697.399548
1920.328392,1000,7726.80362
2005.305593,1000,7758.027792
1912.918651,1000,7789.294666
1951.260038,1000,7818.626077
1952.365533,1000,7849.825558
1946.357228,1000,7881.029495
1865.195632,1000,7910.437465
1922.671544,1000,7941.666702
1950.532202,1000,7970.906039
1955.536308,1000,8012.918554
1909.248138,1000,8044.103203
1873.420098,1000,8073.537488
2048.439388,1000,8104.815598
2014.762545,1000,8136.082424
1983.805686,1000,8165.479755
1980.71401,1000,8196.673692
1944.269541,1000,8226.087296
1989.882452,1000,8257.350089
1972.829476,1000,8288.518573
1979.74807,1000,8328.680435
1963.103611,1000,8359.919091
1902.236931,1000,8391.059852
2056.925618,1000,8420.432325
1977.51598,1000,8451.593245
2009.020173,1000,8480.962251
1969.885316,1000,8512.102128
1962.213877,1000,8543.272649
1981.639474,1000,8572.602036
1995.664665,1000,8603.788296
2013.403605,1000,8645.605113
1983.79674,1000,8675.000671
2036.50908,1000,8706.233589
2000.25205,1000,8735.594375
2000.324425,1000,8766.855042
2051.248113,1000,8798.073209
1994.568457,1000,8827.478928
2035.140337,1000,8858.657331
2087.500527,1000,8889.864916
1994.323021,1000,8919.334186
2036.311902,1000,8961.317997
2081.033538,1000,8990.715739
2095.521654,1000,9021.947352
2125.820513,1000,9053.271558
2030.158188,1000,9082.814847
1989.802984,1000,9114.072928
1999.963904,1000,9145.329865
2063.022105,1000,9174.822953
2010.002835,1000,9206.110589
1991.066146,1000,9235.6019
2018.701754,1000,9277.682095
2085.469442,1000,9308.79215
2054.100473,1000,9338.276625
2027.971143,1000,9369.562309
2073.155009,1000,9400.819785
2038.837898,1000,9430.321332
2062.910951,1000,9461.626432
2043.533469,1000,9491.088219
2053.499242,1000,9522.369392
