#{"t_start": 1625757792.8341353, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1116.561924,1000,1.07329
-1138.309073,1000,2.106078
-1104.645577,1000,3.542653
-1330.379714,1000,4.873273
-1179.215905,1000,6.227935
-1224.386403,1000,7.566334
-1246.09242,1000,8.914549
-1188.090352,1000,10.459993
-1316.10977,1000,12.111
-1055.720978,1000,13.774531
-1362.99173,1000,51.187499
-1432.143952,1000,81.334694
-1277.260213,1000,111.228709
-932.892034,1000,139.472145
-736.970762,1000,169.345334
48.906081,1000,197.588571
-389.698315,1000,227.76195
177.597595,1000,257.764856
-294.78928,1000,286.007242
77.351039,1000,314.714636
-114.241207,1000,354.597758
303.020025,1000,382.603107
319.353083,1000,412.409305
342.732926,1000,440.361189
531.004607,1000,470.113353
317.600703,1000,498.422055
633.579178,1000,525.095039
469.433337,1000,553.316486
502.866806,1000,581.558375
623.876096,1000,607.047646
673.382371,1000,645.044673
778.289503,1000,671.646561
699.242052,1000,699.955919
802.452059,1000,728.133419
948.445305,1000,754.691349
789.152183,1000,782.993983
859.989168,1000,811.394144
785.515997,1000,837.968564
826.695387,1000,866.206503
496.275848,1000,892.097943
744.367042,1000,929.933485
718.338854,1000,958.531415
615.763884,1000,985.223857
219.286974,1000,1013.536055
548.377358,1000,1041.946758
759.758484,1000,1068.788383
712.42096,1000,1097.135654
838.241891,1000,1123.791334
322.684629,1000,1152.126194
882.940273,1000,1179.935087
791.128549,1000,1215.699106
867.89494,1000,1244.058912
968.591213,1000,1272.288662
1042.783534,1000,1298.974434
1066.918483,1000,1327.249302
-11.055597,1000,1353.892437
939.694145,1000,1382.181483
969.147652,1000,1410.441607
964.287703,1000,1437.010916
1133.74683,1000,1465.152963
1102.795733,1000,1502.198442
1072.847693,1000,1529.010018
1140.413555,1000,1557.279454
1225.293234,1000,1583.804969
1175.840681,1000,1612.225443
1241.205762,1000,1640.551152
1126.188803,1000,1667.187046
1159.817292,1000,1695.369478
1146.955002,1000,1726.457976
1086.244501,1000,1755.876911
