#{"t_start": 1625329402.728176, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1116.561924,1000,1.036272
-1138.309073,1000,2.056212
-1104.645577,1000,3.072223
-1330.379714,1000,4.07005
-1179.215905,1000,5.088075
-1224.386403,1000,6.086767
-1246.09242,1000,7.096008
-1188.090352,1000,8.090948
-1316.10977,1000,9.112261
-1055.720978,1000,10.136563
-1160.464872,1000,38.033909
-1489.302656,1000,60.564769
-952.604725,1000,83.804037
-1130.229503,1000,114.354729
-376.266048,1000,156.391384
-363.361119,1000,211.574387
-588.811333,1000,272.452513
369.008485,1000,335.338595
467.28191,1000,399.512286
685.596211,1000,459.629734
-1071.643947,1000,537.689839
206.318844,1000,596.086869
93.581829,1000,656.540463
480.579863,1000,713.179986
210.938555,1000,771.091143
231.67585,1000,830.986147
408.995381,1000,886.339198
375.377621,1000,945.865481
428.01075,1000,1007.215048
452.230051,1000,1062.782569
505.330312,1000,1141.783539
322.832789,1000,1197.122637
557.924392,1000,1256.052836
506.687006,1000,1316.971897
584.113976,1000,1372.783548
50.978709,1000,1431.821141
385.11827,1000,1492.079782
599.960955,1000,1547.961655
-487.910862,1000,1617.237781
613.267336,1000,1682.050997
593.061756,1000,1767.74735
579.188648,1000,1836.153054
622.33686,1000,1891.13947
710.056285,1000,1949.858238
471.444232,1000,2009.798404
653.884013,1000,2065.116137
638.37252,1000,2123.852875
567.823179,1000,2178.093226
550.777803,1000,2238.022244
617.019022,1000,2297.671651
471.932652,1000,2370.866429
653.927975,1000,2429.421156
698.50535,1000,2490.976212
551.700367,1000,2548.008603
323.252849,1000,2608.048849
663.205887,1000,2664.412586
734.873296,1000,2725.498515
713.256466,1000,2785.121271
551.033108,1000,2840.567311
834.054301,1000,2900.265865
945.955658,1000,2980.684741
736.574377,1000,3041.657736
782.855689,1000,3105.75846
837.814097,1000,3162.546503
734.656222,1000,3220.356744
658.126173,1000,3279.325138
517.461786,1000,3335.423577
873.155599,1000,3396.859911
742.415949,1000,3462.421789
850.894321,1000,3519.255038
931.118082,1000,3601.159456
828.316551,1000,3657.854137
637.53426,1000,3725.000629
902.154813,1000,3794.500816
708.645523,1000,3851.475739
838.435478,1000,3915.190912
794.971578,1000,3974.269949
865.857518,1000,4032.873019
748.618894,1000,4095.433705
796.147048,1000,4153.784
830.000359,1000,4231.800187
843.713238,1000,4292.654342
821.276651,1000,4352.330737
830.583373,1000,4414.757805
999.919693,1000,4477.257302
1106.02742,1000,4535.640053
995.992164,1000,4605.508423
828.538189,1000,4664.40964
944.405789,1000,4724.957356
927.804921,1000,4788.376245
1016.779592,1000,4870.832556
1090.307603,1000,4935.880932
1108.413374,1000,4999.879175
1075.672473,1000,5057.050744
1038.576353,1000,5122.35465
1121.73752,1000,5182.985858
1109.409575,1000,5255.111305
1088.181741,1000,5325.72871
1120.975256,1000,5384.249463
1087.035873,1000,5446.129398
1136.783711,1000,5525.421701
1161.483502,1000,5584.286296
1099.216174,1000,5646.59348
1284.751412,1000,5704.168162
1193.819808,1000,5766.383096
1262.099821,1000,5828.781205
1283.64811,1000,5887.504794
1212.019999,1000,5948.643949
1201.67743,1000,6009.623195
989.672255,1000,6071.378032
1267.662845,1000,6153.404917
1343.118883,1000,6218.818072
1229.242391,1000,6279.365876
1390.004499,1000,6341.022748
1280.995881,1000,6404.600791
1185.559497,1000,6470.836552
1446.929984,1000,6533.356277
1392.553216,1000,6592.453414
1313.878129,1000,6654.477389
1248.927526,1000,6713.512784
1464.405195,1000,6794.681211
1357.851193,1000,6857.351959
