#{"t_start": 1626372324.5839834, "env_id": "HopperBulletEnv-v0"}
r,l,t
17.13645,7,0.095645
19.411622,12,0.110451
17.4635,10,0.123115
20.139862,8,0.132984
18.736607,16,0.154471
18.842999,8,0.164122
20.246585,11,0.17914
16.991355,11,0.192577
18.662069,8,0.203933
18.977198,10,0.216352
16.377163,6,0.224554
19.288609,10,0.234948
17.986421,15,0.251441
19.38914,15,0.266247
22.177238,16,0.281537
18.025104,18,0.299065
19.954209,9,0.309469
18.435879,12,0.322423
17.27894,6,0.328916
22.803313,22,0.352364
20.26015,12,0.366283
19.922728,12,0.381927
15.478293,11,0.39593
18.709931,8,0.406395
16.161468,8,0.417291
20.560247,12,0.432612
17.564687,6,0.44017
21.536232,10,0.453185
19.34013,9,0.465029
20.756739,13,0.481771
20.610796,17,0.503045
20.022221,8,0.51283
20.524502,12,0.529146
21.121423,10,0.541984
16.465327,5,0.548976
22.495861,14,0.566567
26.65027,16,0.587301
21.946484,18,0.609036
17.293626,12,0.623971
20.360883,9,0.636055
20.882118,12,0.65193
19.554341,7,0.661206
19.143366,8,0.671241
21.067478,15,0.68949
22.543302,10,0.702824
18.673139,19,0.726336
21.586531,17,0.746992
18.391641,6,0.75511
20.596184,10,0.768703
16.369978,10,0.781389
19.633827,8,0.791106
16.786939,13,0.807774
23.022809,17,0.829588
18.524429,8,0.839228
16.705626,15,0.858243
21.024466,22,0.884994
24.673167,23,0.914416
18.345595,11,0.928692
16.917707,8,0.938329
21.871765,14,0.956391
24.359455,14,0.975511
19.538559,10,0.987772
17.961301,14,1.005241
22.977212,12,1.020074
28.944549,19,1.045169
24.171751,20,1.069352
19.015414,8,1.079194
27.993544,24,1.108449
23.144071,14,1.127434
18.385277,8,1.137712
18.775911,21,1.163352
17.139865,11,1.176758
20.687053,12,1.193224
19.66471,10,1.206142
6.332462,15,1.224274
27.732609,18,1.246639
22.140835,10,1.260329
17.804796,8,1.270675
24.506084,19,1.294663
19.598445,10,1.30699
14.985899,18,1.331011
19.287901,14,1.348048
18.69776,9,1.3596
17.894044,10,1.372268
19.427944,7,1.383564
19.760955,13,1.399064
24.626024,13,1.415139
19.346577,8,1.425262
19.565931,8,1.437289
17.863866,10,1.450097
20.751463,16,1.478622
22.726101,13,1.508029
22.345448,11,1.52306
18.652537,15,1.54159
27.486151,26,1.579288
28.254789,22,1.609546
23.305604,16,1.63095
17.557608,7,1.640541
18.084964,11,1.654562
15.469398,12,1.669658
17.624474,10,1.683464
17.089302,10,1.69659
20.420588,12,1.711787
18.668825,7,1.720782
19.224126,10,1.73524
26.389364,18,1.756884
15.00411,12,1.771672
19.195817,8,1.781916
22.09841,14,1.800769
20.495871,16,1.821507
14.023816,12,1.836337
21.062633,17,1.857693
22.918041,11,1.872772
17.652063,11,1.887255
15.740231,12,1.902142
13.590101,14,1.91923
17.934733,10,1.93301
21.568689,12,1.947707
21.819592,9,1.959088
23.806947,16,1.979434
20.303753,9,1.992049
18.771751,11,2.006359
18.676262,8,2.01632
18.949851,13,2.032439
22.450681,11,2.047548
30.880663,24,2.077532
21.376211,9,2.088939
20.590218,16,2.108866
22.659732,10,2.122982
16.966651,18,2.145883
20.162297,7,2.154897
18.949971,7,2.164039
16.561957,16,2.184931
14.438662,11,2.198842
20.080654,13,2.215378
22.582826,13,2.231302
16.302193,15,2.25099
23.138471,13,2.266867
19.605659,7,2.275799
17.635017,9,2.287312
22.602496,18,2.311789
12.522039,15,2.330427
26.30318,17,2.351217
18.178037,12,2.365817
20.810986,9,2.378481
20.095983,14,2.395898
19.867748,10,2.408477
16.740558,10,2.421064
23.796744,11,2.436653
23.653056,14,2.453425
19.859328,7,2.46307
20.45445,12,2.47863
22.495804,11,2.493807
21.278428,13,2.50953
23.22142,19,2.533384
21.248066,12,2.548933
18.232179,6,2.558243
18.185691,11,2.571776
17.148599,9,2.583583
15.073577,11,2.596741
22.107266,12,2.613644
18.243487,9,2.625014
18.849007,12,2.640284
18.809348,10,2.652886
21.469646,12,2.669436
22.139029,16,2.688969
22.434406,14,2.706095
18.341864,8,2.71699
14.874922,5,2.72506
19.59404,8,2.735381
23.906914,15,2.753858
22.042975,12,2.768584
22.654873,12,2.784613
21.996225,10,2.797517
18.175688,7,2.806562
18.365568,9,2.81823
24.659723,15,2.837867
21.353231,16,2.857924
22.891674,13,2.875335
22.199283,19,2.898223
23.504731,12,2.914305
17.236953,5,2.92107
21.656131,14,2.938982
22.437285,18,2.9622
19.518744,6,2.971332
20.187798,9,2.983181
20.526147,8,2.993359
18.312823,9,3.004533
20.283657,12,3.020159
19.844264,13,3.035466
24.025599,15,3.054581
18.134922,12,3.069669
22.56825,11,3.084635
21.302772,9,3.09614
22.8456,23,3.12473
18.362163,11,3.138229
17.224187,6,3.147133
24.625544,19,3.17035
20.239156,17,3.191345
22.354145,11,3.205869
20.470117,9,3.218968
22.394542,12,3.23426
20.392929,15,3.252569
16.383752,10,3.26519
23.637622,11,3.280296
18.368104,12,3.296014
21.591863,13,3.311989
17.881612,6,3.319726
18.613888,6,3.32894
17.428893,7,3.337875
17.433677,7,3.346931
22.225202,17,3.368226
20.946811,8,3.379735
22.123501,12,3.394546
13.605506,10,3.406844
9.651456,14,3.42412
20.854392,11,3.439354
18.943567,11,3.453499
19.234047,13,3.469909
20.484105,12,3.484239
19.338416,14,3.50269
20.141048,10,3.515412
26.184745,18,3.537949
16.837176,16,3.557514
23.710836,12,3.574118
21.275023,14,3.59129
25.654628,13,3.607325
28.184443,17,3.628223
21.147427,15,3.647788
16.317931,6,3.65608
18.562244,8,3.666028
19.39769,12,3.681045
21.17518,12,3.697953
18.194484,8,3.708524
19.266822,6,3.71642
17.620652,17,3.737302
26.107648,15,3.756641
19.46321,9,3.768324
20.307944,12,3.78376
21.683122,9,3.79499
18.9774,8,3.807138
19.063894,12,3.821879
19.987876,9,3.833549
19.38676,11,3.847425
19.254338,8,3.859378
17.951264,8,3.870416
18.157642,7,3.878917
27.406958,19,3.902695
21.916954,10,3.91675
20.69509,8,3.926954
19.606972,9,3.938861
26.911059,23,3.967313
16.594138,9,3.979814
20.077307,9,3.991038
21.802335,14,4.008078
18.542469,10,4.020525
20.934548,16,4.042254
19.065719,7,4.051592
19.852558,7,4.060893
24.749438,14,4.078935
19.686955,13,4.096201
19.350501,10,4.109307
18.628515,10,4.121568
25.395356,24,4.150121
21.380292,10,4.164475
21.284004,14,4.182284
24.438514,22,4.210215
17.689068,8,4.220404
16.074243,21,4.247507
18.82843,16,4.266995
15.185669,12,4.282089
14.605327,12,4.296837
19.483102,7,4.307637
16.84263,6,4.31582
18.254024,8,4.326249
19.491384,10,4.338851
18.661397,6,4.347998
19.274791,15,4.367188
24.168483,21,4.392579
22.797134,17,4.41363
16.329255,6,4.423117
22.708961,24,4.453371
18.749641,7,4.462543
16.169254,8,4.472807
22.760891,20,4.497681
19.165713,7,4.506773
21.582546,15,4.525969
21.312192,17,4.546353
22.569561,10,4.560654
22.02116,12,4.575765
19.036881,9,4.586811
17.600738,6,4.594669
12.435714,18,4.61864
17.389301,8,4.628962
17.063936,14,4.645822
18.678697,8,4.656022
22.806934,12,4.672892
22.420477,9,4.685122
15.408352,9,4.696585
18.617157,8,4.706599
21.169754,15,4.72572
21.63581,14,4.743074
18.15266,7,4.752246
18.003155,8,4.762671
21.210215,12,4.779696
15.598316,7,4.788666
17.639637,8,4.79922
18.895831,9,4.810972
23.243136,17,4.833571
18.334668,7,4.842798
21.416308,16,4.863147
22.321433,13,4.879421
22.591574,13,4.896696
19.740837,8,4.907431
17.573165,11,4.921388
16.763837,11,4.93592
14.489097,10,4.950353
20.202896,10,4.963874
23.296042,12,4.979099
20.110527,10,4.992088
20.974305,11,5.007004
19.887432,9,5.01908
25.376051,18,5.041938
21.992997,11,5.055863
19.098846,10,5.070188
20.343637,13,5.085803
20.078434,15,5.104632
18.197515,11,5.118344
24.706592,17,5.140309
9.060033,14,5.157759
17.020659,12,5.172861
25.982935,20,5.197936
19.799234,11,5.212919
18.553528,16,5.232865
16.266054,7,5.241597
16.165739,10,5.25432
19.969924,13,5.272283
19.117295,8,5.282387
20.933884,8,5.292511
17.707864,10,5.305658
22.15408,18,5.329373
21.457682,10,5.342048
17.41368,10,5.355186
16.948779,8,5.365209
22.932565,9,5.378064
19.622746,8,5.3884
16.550418,13,5.404538
18.263809,6,5.412674
19.577207,9,5.425474
22.647905,11,5.440176
20.232776,8,5.45016
22.831631,13,5.466235
15.610507,8,5.478077
18.093581,8,5.488368
21.402921,14,5.505208
20.911723,13,5.521726
19.874828,8,5.533188
21.993758,18,5.55581
19.853802,9,5.567052
18.20358,6,5.575044
14.359903,23,5.605429
19.996941,13,5.621891
15.914426,7,5.630841
18.181613,7,5.639968
18.689608,9,5.652424
15.724043,19,5.675813
18.600596,7,5.685341
22.041703,11,5.699589
19.943809,18,5.723065
15.165441,12,5.737721
23.948,12,5.752762
21.378024,21,5.779113
24.581313,13,5.796045
21.419571,9,5.807439
19.201001,12,5.821881
21.018176,10,5.834052
21.069419,12,5.851075
17.681433,13,5.867231
19.392182,15,5.886016
20.660662,10,5.898714
17.32349,6,5.907701
20.357607,20,5.932478
24.696905,16,5.951735
22.052388,16,5.971319
23.677716,13,5.988959
19.035307,11,6.002216
18.936869,10,6.015436
17.797959,23,6.04341
21.144961,12,6.059883
18.917968,7,6.068988
21.859164,11,6.082999
17.422469,7,6.092525
18.752569,13,6.110996
16.248669,6,6.118947
19.855645,14,6.136414
22.720307,13,6.152282
20.631199,15,6.172561
17.301317,12,6.187655
17.841865,6,6.195408
20.83781,11,6.209427
21.064496,10,6.223555
20.214203,7,6.232669
15.473801,8,6.242719
20.582339,10,6.255734
15.746809,12,6.271623
17.243565,8,6.281745
16.126942,6,6.289523
14.353564,13,6.305146
22.858327,12,6.321992
17.069757,9,6.333183
19.230604,14,6.350744
23.256451,17,6.371519
21.445043,9,6.383889
19.647176,8,6.393917
21.705441,14,6.411544
20.804882,7,6.4213
20.895178,9,6.434437
16.058315,17,6.455146
20.06713,7,6.464381
20.992142,11,6.478456
22.211606,14,6.496824
16.410338,7,6.506517
20.027742,11,6.520458
17.377934,19,6.543115
24.890017,16,6.564362
16.004116,6,6.572313
23.758799,13,6.588818
20.031503,12,6.603649
21.180289,13,6.621578
18.33305,10,6.634261
16.986121,6,6.642013
20.249117,9,6.65381
19.678479,14,6.67329
15.850421,14,6.691033
21.317293,16,6.711074
14.033804,18,6.733092
19.894283,9,6.74607
21.086873,7,6.755715
38.354225,36,6.7996
21.2338,13,6.815829
25.667399,16,6.83759
20.583915,23,6.866815
26.382793,15,6.884931
43.94805,40,6.934802
20.96787,16,6.956061
18.91602,14,6.973703
23.330054,18,6.997306
16.288939,9,7.008885
25.379692,18,7.032464
19.526919,16,7.051718
22.525035,13,7.067846
19.57477,10,7.081347
20.57872,20,7.106994
21.015992,13,7.123051
22.552379,11,7.136747
18.831406,12,7.151282
20.824798,8,7.163898
21.290008,20,7.189549
19.493149,8,7.200032
16.513196,9,7.211138
20.262355,8,7.222713
23.475167,22,7.249977
19.226487,8,7.260003
23.676306,15,7.277921
21.686157,12,7.294368
20.913777,12,7.30996
20.587302,16,7.331013
19.041106,10,7.343465
18.235231,15,7.363326
18.687416,14,7.38118
16.920165,8,7.391274
18.238586,11,7.40585
16.284063,7,7.416322
20.290454,12,7.431154
20.626514,8,7.441278
17.396687,12,7.456542
18.212053,10,7.470586
17.93258,8,7.481409
19.859622,8,7.49209
15.788663,8,7.502264
21.868933,10,7.515985
20.824878,15,7.533943
19.231664,7,7.543072
20.532108,13,7.558699
24.28469,15,7.579049
16.795776,11,7.593039
17.38506,7,7.601818
19.184776,7,7.611029
15.336294,9,7.623301
22.139224,14,7.640202
20.907895,6,7.64791
25.556978,13,7.664537
18.339448,11,7.679189
19.250816,12,7.693868
18.100122,7,7.702876
19.699589,15,7.721281
18.399783,10,7.735362
17.961285,6,7.743138
19.735802,11,7.756786
16.734739,6,7.764633
20.859659,15,7.783845
17.482297,13,7.799728
23.608655,15,7.819272
16.582461,13,7.835271
