#{"t_start": 1626105386.128585, "env_id": "HopperBulletEnv-v0"}
r,l,t
17.13645,7,0.076328
19.411622,12,0.091351
17.4635,10,0.103108
20.139862,8,0.113466
18.736607,16,0.133724
18.842999,8,0.144042
20.246585,11,0.158141
16.991355,11,0.1719
18.662069,8,0.18339
18.977198,10,0.19532
16.377163,6,0.2033
19.288609,10,0.21496
17.986421,15,0.235029
19.38914,15,0.252714
22.177238,16,0.27178
18.025104,18,0.295697
19.954209,9,0.309926
18.435879,12,0.328047
17.27894,6,0.337002
22.803313,22,0.365552
20.26015,12,0.382099
19.922728,12,0.396388
15.478293,11,0.410624
18.709931,8,0.420022
16.161468,8,0.431516
20.560247,12,0.446415
17.564687,6,0.454468
21.536232,10,0.466818
19.34013,9,0.478617
20.756739,13,0.495119
20.610796,17,0.514948
20.022221,8,0.524895
20.524502,12,0.540213
21.121423,10,0.552765
16.465327,5,0.559188
22.495861,14,0.575955
26.65027,16,0.596925
21.946484,18,0.6178
17.293626,12,0.632506
20.360883,9,0.643116
20.882118,12,0.659065
19.554341,7,0.667901
19.143366,8,0.677271
21.067478,15,0.695362
22.543302,10,0.707407
18.673139,19,0.726347
21.586531,17,0.743264
18.391641,6,0.749681
20.596184,10,0.761467
16.369978,10,0.771588
19.633827,8,0.779931
16.786939,13,0.793512
23.022809,17,0.811483
18.524429,8,0.819797
16.705626,15,0.836467
21.024466,22,0.863087
24.673167,23,0.891479
18.345595,11,0.905115
16.917707,8,0.914403
21.871765,14,0.932281
24.359455,14,0.95058
19.538559,10,0.963344
17.961301,14,0.979863
22.977212,12,0.994377
28.944549,19,1.019302
24.171751,20,1.042467
19.015414,8,1.052887
27.993544,24,1.081295
23.144071,14,1.099778
18.385277,8,1.109971
18.775911,21,1.135195
17.139865,11,1.148051
20.687053,12,1.164336
19.66471,10,1.176947
6.332462,15,1.195143
27.732609,18,1.216123
22.140835,10,1.229664
17.804796,8,1.240178
24.506084,19,1.263062
19.598445,10,1.27526
14.985899,18,1.297196
19.287901,14,1.314249
18.69776,9,1.324569
17.894044,10,1.337782
19.427944,7,1.34788
19.760955,13,1.362683
24.626024,13,1.378633
19.346577,8,1.388207
19.565931,8,1.399534
17.863866,10,1.412356
20.751463,16,1.431097
22.726101,13,1.44749
22.345448,11,1.462373
18.652537,15,1.480961
27.486151,26,1.511928
28.254789,22,1.538438
23.305604,16,1.559071
17.557608,7,1.568404
18.084964,11,1.581973
15.469398,12,1.596248
17.624474,10,1.610045
17.089302,10,1.622398
20.420588,12,1.63639
18.668825,7,1.644984
19.224126,10,1.658694
26.389364,18,1.681003
15.00411,12,1.695162
19.195817,8,1.704969
22.09841,14,1.723258
20.495871,16,1.743108
14.023816,12,1.757852
21.062633,17,1.778022
22.918041,11,1.793189
17.652063,11,1.806794
15.740231,12,1.821406
13.590101,14,1.837881
17.934733,10,1.851813
21.568689,12,1.866215
21.819592,9,1.877602
23.806947,16,1.897148
20.303753,9,1.909708
18.771751,11,1.922845
18.676262,8,1.933257
18.949851,13,1.948804
22.450681,11,1.963981
30.880663,24,1.993022
21.376211,9,2.004564
20.590218,16,2.023153
22.659732,10,2.03696
16.966651,18,2.059233
20.162297,7,2.067604
18.949971,7,2.076652
16.561957,16,2.0965
14.438662,11,2.110107
20.080654,13,2.125907
22.582826,13,2.141853
16.302193,15,2.160904
23.138471,13,2.176996
19.605659,7,2.185544
17.635017,9,2.196873
22.602496,18,2.223502
12.522039,15,2.244739
26.30318,17,2.269112
18.178037,12,2.285884
20.810986,9,2.300717
20.095983,14,2.32097
19.867748,10,2.335047
16.740558,10,2.349721
23.796744,11,2.36705
23.653056,14,2.386676
19.859328,7,2.397764
20.45445,12,2.412598
22.495804,11,2.427162
21.278428,13,2.443088
23.22142,19,2.465322
21.248066,12,2.480396
18.232179,6,2.489705
18.185691,11,2.502923
17.148599,9,2.513507
15.073577,11,2.526636
22.107266,12,2.542222
18.243487,9,2.553523
18.849007,12,2.568287
18.809348,10,2.580722
21.469646,12,2.596788
22.139029,16,2.616122
22.434406,14,2.632824
18.341864,8,2.643412
14.874922,5,2.650958
19.59404,8,2.66084
23.906914,15,2.67854
22.042975,12,2.693529
22.654873,12,2.708174
21.996225,10,2.718489
18.175688,7,2.725669
18.365568,9,2.734877
24.659723,15,2.751131
21.353231,16,2.767092
22.891674,13,2.780813
22.199283,19,2.799389
23.504731,12,2.812856
17.236953,5,2.818194
21.656131,14,2.832162
22.437285,18,2.850598
19.518744,6,2.859667
20.187798,9,2.871345
20.526147,8,2.881445
18.312823,9,2.893106
20.283657,12,2.908926
19.844264,13,2.924665
24.025599,15,2.943396
18.134922,12,2.957997
22.56825,11,2.972883
21.302772,9,2.984437
22.8456,23,3.012566
18.362163,11,3.026225
17.224187,6,3.035602
24.625544,19,3.0589
20.239156,17,3.079426
22.354145,11,3.093911
20.470117,9,3.106751
22.394542,12,3.121505
20.392929,15,3.140053
16.383752,10,3.152705
23.637622,11,3.167258
18.368104,12,3.182606
21.591863,13,3.198535
17.881612,6,3.2062
18.613888,6,3.216014
17.428893,7,3.224698
17.433677,7,3.233927
22.225202,17,3.25535
20.946811,8,3.26736
22.123501,12,3.282615
13.605506,10,3.29496
9.651456,14,3.312321
20.854392,11,3.328209
18.943567,11,3.342276
19.234047,13,3.359088
20.484105,12,3.374244
19.338416,14,3.39305
20.141048,10,3.405735
26.184745,18,3.428256
16.837176,16,3.447901
23.710836,12,3.463942
21.275023,14,3.480879
25.654628,13,3.496646
28.184443,17,3.517657
21.147427,15,3.537329
16.317931,6,3.545324
18.562244,8,3.55591
19.39769,12,3.571823
21.17518,12,3.588892
18.194484,8,3.59943
19.266822,6,3.607475
17.620652,17,3.628177
26.107648,15,3.647338
19.46321,9,3.658547
20.307944,12,3.687683
21.683122,9,3.698489
18.9774,8,3.710176
19.063894,12,3.724888
19.987876,9,3.736749
19.38676,11,3.750008
19.254338,8,3.762271
17.951264,8,3.77311
18.157642,7,3.78199
27.406958,19,3.805892
21.916954,10,3.819335
20.69509,8,3.829534
19.606972,9,3.841099
26.911059,23,3.868833
16.594138,9,3.881597
20.077307,9,3.892999
21.802335,14,3.91111
18.542469,10,3.924548
20.934548,16,3.949197
19.065719,7,3.959068
19.852558,7,3.968843
24.749438,14,3.98817
19.686955,13,4.007627
19.350501,10,4.022267
18.628515,10,4.036212
25.395356,24,4.068001
21.380292,10,4.083448
21.284004,14,4.103124
24.438514,22,4.132915
17.689068,8,4.14406
16.074243,21,4.174047
18.82843,16,4.196893
15.185669,12,4.214224
14.605327,12,4.231136
19.483102,7,4.242481
16.84263,6,4.251618
18.254024,8,4.262932
19.491384,10,4.276878
18.661397,6,4.287084
19.274791,15,4.308576
24.168483,21,4.337673
22.797134,17,4.360397
16.329255,6,4.370317
22.708961,24,4.400964
18.749641,7,4.410004
16.169254,8,4.419968
22.760891,20,4.445585
19.165713,7,4.454711
21.582546,15,4.473358
21.312192,17,4.49376
22.569561,10,4.507757
22.02116,12,4.522479
19.036881,9,4.533769
17.600738,6,4.541661
12.435714,18,4.565347
17.389301,8,4.575446
17.063936,14,4.592782
18.678697,8,4.602982
22.806934,12,4.619661
22.420477,9,4.631819
15.408352,9,4.643607
18.617157,8,4.653591
21.169754,15,4.673442
21.63581,14,4.690126
18.15266,7,4.698948
18.003155,8,4.709015
21.210215,12,4.725959
15.598316,7,4.734822
17.639637,8,4.744765
18.895831,9,4.75613
23.243136,17,4.778169
18.334668,7,4.787084
21.416308,16,4.807935
22.321433,13,4.82464
22.591574,13,4.842329
19.740837,8,4.852349
17.573165,11,4.866194
16.763837,11,4.880629
14.489097,10,4.894628
20.202896,10,4.906957
23.296042,12,4.92182
