#{"t_start": 1626372321.6996636, "env_id": "HopperBulletEnv-v0"}
r,l,t
17.13645,7,0.076183
19.411622,12,0.091319
17.4635,10,0.10398
20.139862,8,0.114248
18.736607,16,0.135228
18.842999,8,0.145629
20.246585,11,0.160064
16.991355,11,0.17427
18.662069,8,0.186903
18.977198,10,0.200188
16.377163,6,0.208865
19.288609,10,0.222255
17.986421,15,0.243954
19.38914,15,0.263555
22.177238,16,0.284639
18.025104,18,0.308407
19.954209,9,0.322051
18.435879,12,0.338436
17.27894,6,0.346856
22.803313,22,0.376032
20.26015,12,0.393584
19.922728,12,0.409806
15.478293,11,0.424857
18.709931,8,0.435901
16.161468,8,0.448441
20.560247,12,0.464451
17.564687,6,0.473083
21.536232,10,0.486484
19.34013,9,0.500188
20.756739,13,0.518182
20.610796,17,0.540774
20.022221,8,0.552019
20.524502,12,0.569109
21.121423,10,0.582859
16.465327,5,0.590329
22.495861,14,0.609642
26.65027,16,0.632335
21.946484,18,0.656015
17.293626,12,0.672308
20.360883,9,0.685278
20.882118,12,0.703155
19.554341,7,0.712615
19.143366,8,0.723792
21.067478,15,0.743611
22.543302,10,0.759219
18.673139,19,0.785109
21.586531,17,0.807537
18.391641,6,0.816271
20.596184,10,0.831008
16.369978,10,0.844717
19.633827,8,0.855498
16.786939,13,0.873386
23.022809,17,0.897062
18.524429,8,0.908462
16.705626,15,0.928669
21.024466,22,0.958202
24.673167,23,0.990098
18.345595,11,1.004682
16.917707,8,1.016028
21.871765,14,1.035285
24.359455,14,1.055933
19.538559,10,1.069736
17.961301,14,1.088339
22.977212,12,1.104774
28.944549,19,1.132177
24.171751,20,1.158489
19.015414,8,1.169837
27.993544,24,1.201142
23.144071,14,1.222194
18.385277,8,1.232954
18.775911,21,1.260982
17.139865,11,1.276146
20.687053,12,1.293753
19.66471,10,1.308338
6.332462,15,1.327895
27.732609,18,1.351814
22.140835,10,1.367034
17.804796,8,1.378054
24.506084,19,1.404123
19.598445,10,1.417954
14.985899,18,1.442891
19.287901,14,1.461735
18.69776,9,1.474216
17.894044,10,1.4889
19.427944,7,1.500014
19.760955,13,1.517644
24.626024,13,1.535051
19.346577,8,1.546361
19.565931,8,1.558481
17.863866,10,1.573157
20.751463,16,1.594285
22.726101,13,1.612144
22.345448,11,1.631723
18.652537,15,1.651804
27.486151,26,1.686664
28.254789,22,1.716624
23.305604,16,1.738774
17.557608,7,1.749028
18.084964,11,1.763895
15.469398,12,1.779596
17.624474,10,1.795138
17.089302,10,1.808382
20.420588,12,1.824715
18.668825,7,1.834423
19.224126,10,1.849746
26.389364,18,1.87355
15.00411,12,1.890098
19.195817,8,1.900766
22.09841,14,1.921077
20.495871,16,1.943364
14.023816,12,1.959243
21.062633,17,1.981774
22.918041,11,1.998349
17.652063,11,2.013348
15.740231,12,2.028358
13.590101,14,2.04626
17.934733,10,2.060709
21.568689,12,2.076042
21.819592,9,2.08762
23.806947,16,2.108451
20.303753,9,2.121098
18.771751,11,2.135298
18.676262,8,2.145832
18.949851,13,2.162785
22.450681,11,2.179929
30.880663,24,2.212028
21.376211,9,2.224822
20.590218,16,2.245675
22.659732,10,2.261277
16.966651,18,2.28608
20.162297,7,2.296168
18.949971,7,2.305665
16.561957,16,2.328248
14.438662,11,2.343218
20.080654,13,2.360851
22.582826,13,2.378808
16.302193,15,2.400032
23.138471,13,2.41756
19.605659,7,2.427422
17.635017,9,2.440118
22.602496,18,2.466301
12.522039,15,2.485893
26.30318,17,2.508045
18.178037,12,2.524507
20.810986,9,2.538185
20.095983,14,2.557144
19.867748,10,2.571114
16.740558,10,2.584403
23.796744,11,2.600481
